Mã CK,VNM
Kỳ/năm,Năm/2024
Trạng thái hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán
Công ty kiểm toán,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần
Ngày công bố báo cáo,28-02-2025
Ngày ký kiểm toán,28-02-2025
CÂN ĐỐI KẾ TOÁNMS,
TÀI SẢN,
A. TÀI SẢN NGẮN HẠN100,37553650065098
I. Tiền và các khoản tương đương tiền110,2225943732075
1. Tiền111,1877943732075
2. Các khoản tương đương tiền112,348000000000
II. Đầu tư tài chính ngắn hạn120,23260088671767
1. Chứng khoán kinh doanh121,1248322211
2. Dự phòng giảm giá chứng khoán kinh doanh122,-920681738
3. Đầu tư nắm giữ đến ngày đáo hạn123,23259761031294
III. Các khoản phải thu ngắn hạn130,6233758612009
1. Phải thu ngắn hạn của khách hàng131,4793132726166
2. Trả trước cho người bán ngắn hạn132,566479222775
3. Phải thu nội bộ ngắn hạn133,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,
5. Phải thu về cho vay ngắn hạn135,
6. Phải thu ngắn hạn khác136,896479529747
7. Dự phòng phải thu ngắn hạn khó đòi137,-22332866679
8. Tài sản thiếu chờ xử lý139,
IV. Hàng tồn kho140,5686840161996
1. Hàng tồn kho141,5723932310689
2. Dự phòng giảm giá hàng tồn kho 149,-37092148693
V. Tài sản ngắn hạn khác150,147018887251
1. Chi phí trả trước ngắn hạn151,89544473336
2. Thuế GTGT còn được khấu trừ152,33580977723
3. Thuế và các khoản khác phải thu của nhà nước153,23893436192
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,
5. Tài sản ngắn hạn khác155,
B. TÀI SẢN DÀI HẠN200,17495411471963
I. Các khoản phải thu dài hạn210,17592137763
1. Phải thu dài hạn của khách hàng211,398152069
2. Trả trước cho người bán dài hạn212,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,
4. Phải thu nội bộ dài hạn214,
5. Phải thu về cho vay dài hạn215,
6. Phải thu dài hạn khác216,17193985694
7. Dự phòng phải thu dài hạn khó đòi219,
II. Tài sản cố định220,12550564799221
1. Tài sản cố định hữu hình221,11520200967499
- Nguyên giá222,32713051932999
- Giá trị hao mòn lũy kế 223,-21192850965500
2. Tài sản cố định thuê tài chính224,
- Nguyên giá225,
- Giá trị hao mòn lũy kế 226,
3. Tài sản cố định vô hình227,1030363831722
- Nguyên giá228,1466192051516
- Giá trị hao mòn lũy kế 229,-435828219794
III. Bất động sản đầu tư230,53617793172
- Nguyên giá231,98822678885
- Giá trị hao mòn lũy kế232,-45204885713
IV. Tài sản dở dang dài hạn240,1539776005637
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",404666242750
2. Chi phí xây dựng cơ bản dở dang242,1135109762887
V. Đầu tư tài chính dài hạn250,1373189677193
1. Đầu tư vào công ty con251,
"2. Đầu tư vào công ty liên kết, liên doanh252",622223692780
3. Đầu tư góp vốn vào đơn vị khác253,94548675081
4. Dự phòng đầu tư tài chính dài hạn254,-23582690668
5. Đầu tư nắm giữ đến ngày đáo hạn255,680000000000
6. Đầu tư dài hạn khác,
VI. Tài sản dài hạn khác260,1960671058977
1. Chi phí trả trước dài hạn261,792476015491
2. Tài sản thuế thu nhập hoãn lại262,92172946105
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",
4. Tài sản dài hạn khác268,
