Mã CK,BHK,BHN,BHP,BIG,BIO,BKC,BKG,BLF,BLN,BLT,BMC,BMD,BMF,BMG,BMJ,BMN,BMP,BMV,BNA,BNW,BOT,BPC,BQB,BRC,BRR,BRS,BSA,BSC,BSD,BSG,BSH,BSL,BSP,BSQ,BSR,BST,BT1,BT6,BTB,BTD,BTG
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AVA,NVT,AnViet,CPA VIETNAM,A&C,CPA VIETNAM,IAV,AASCS,CPA VIETNAM,CPA VIETNAM,AASCS,AAC,AFC,AVA,AnViet,AISC,KPMG,AnViet,AVA,AASC,,AnViet,NVT,AASC,IAV,IAV,A&C,A&C,KPMG,CPA VIETNAM,KPMG,KPMG,KPMG,KPMG,Deloitte,AAC,AASC,,NVA,CPA VIETNAM,CPA VIETNAM
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần
Ngày công bố báo cáo,07-02-2025,31-03-2025,14-03-2025,02-04-2025,25-03-2025,26-03-2025,01-04-2025,02-04-2025,21-03-2025,21-02-2025,19-02-2025,31-03-2025,18-03-2025,03-03-2025,01-04-2025,20-03-2025,26-03-2025,17-03-2025,01-04-2025,13-03-2025,20-01-2025,05-03-2025,10-03-2025,06-03-2025,28-03-2025,10-03-2025,13-03-2025,25-02-2025,18-03-2025,07-03-2025,13-03-2025,17-03-2025,10-03-2025,06-03-2025,21-03-2025,11-03-2025,14-03-2025,07-03-2025,19-03-2025,31-03-2025,07-03-2025
Ngày ký kiểm toán,03-02-2025,28-03-2025,08-03-2025,31-03-2025,18-03-2025,18-03-2025,27-03-2025,27-03-2025,15-03-2025,14-02-2025,18-02-2025,29-03-2025,10-03-2025,24-02-2025,28-03-2025,17-03-2025,24-03-2025,10-03-2025,28-03-2025,06-03-2025,,25-02-2025,06-03-2025,26-02-2025,24-03-2025,03-03-2025,12-03-2025,18-02-2025,07-03-2025,03-03-2025,05-03-2025,06-03-2025,03-03-2025,26-02-2025,12-03-2025,02-03-2025,10-03-2025,,10-03-2025,27-03-2025,28-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,26184240258,5352518818851,55286900259,230437536353,73559016560,284957202331,447967321580,520039254986,78312524162,39111854471,211050541521,65118779141,628705383141,110968220994,514585372124,57942438567,2596113208905,387064769378,1210576890994,158940740516,517432642113,176638289028,23113379347,224600631095,335679735426,95517013154,392682169504,25845072463,49712228683,220171443373,322728308410,440134092166,138165476659,448998204247,71515534342682,23503022429,206919071990,43051398143,9457058095,531411370790,15423625098
I. Tiền và các khoản tương đương tiền110,111974182,1036109602407,20488829458,33196042677,30905248701,143694292293,43620737013,8949976926,10617551775,26988119869,45356517032,16652286188,42620435447,19154911891,35695563544,6719375777,504172685550,5347171332,77509856030,30986613786,481149669,1483217135,2226041352,29528607541,151952246929,25685085170,70440053820,729809027,7483388241,111262456296,204809224918,50433344833,36367541408,37710615164,28994990599830,2765846243,18264800123,9113171675,1333322116,56543733033,636510451
1. Tiền111,111974182,548279602407,11588829458,33196042677,10905248701,143694292293,40075737013,8949976926,10617551775,26988119869,45356517032,10652286188,17620435447,10369911891,5695563544,6719375777,44672685550,5347171332,29199374158,4454854882,481149669,1483217135,226041352,19528607541,5452246929,18885085170,440053820,729809027,7483388241,14262456296,6609224918,50433344833,19267541408,37710615164,559488222871,2765846243,18264800123,4569964130,1333322116,51423943246,636510451
2. Các khoản tương đương tiền112,,487830000000,8900000000,,20000000000,,3545000000,,,,,6000000000,25000000000,8785000000,30000000000,,459500000000,,48310481872,26531758904,,,2000000000,10000000000,146500000000,6800000000,70000000000,,,97000000000,198200000000,,17100000000,,28435502376959,,,4543207545,,5119789787,
II. Đầu tư tài chính ngắn hạn120,,3297999912329,,,,,,,777286153,,35000000000,1550000000,258300000000,20020000000,,66172000,1410000000000,141600000000,34907669396,76304501392,9200000000,692640000,2000000000,328425400,87000000000,10600000000,,23900000000,,20725616438,10000000000,259500000000,,,14022266010000,7000000000,900000000,,,8337871694,
1. Chứng khoán kinh doanh121,,,,,,,,,,,,,,,,,,,,,,2952000000,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,,,,,,,,-2259360000,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,3297999912329,,,,,,,777286153,,35000000000,1550000000,258300000000,20020000000,,66172000,1410000000000,141600000000,34907669396,76304501392,9200000000,,2000000000,328425400,87000000000,10600000000,,23900000000,,20725616438,10000000000,259500000000,,,14022266010000,7000000000,900000000,,,8337871694,
III. Các khoản phải thu ngắn hạn130,2202014611,250501738886,5531107034,159490389495,30687484669,39494748451,276402201868,243266357397,65905589453,4976497700,12744913029,44569767765,152105465172,20608414391,334909311888,45380661244,177752774225,136245650568,642711069365,20551163932,459425785582,154595530409,13534426747,101180108464,39510189447,53377048296,319609477900,1215263436,10288394870,81525626106,31926420683,45403538455,15912349805,225567016808,12456881063885,774708604,32604191134,21900863028,831325743,310949110075,7665509533
1. Phải thu ngắn hạn của khách hàng131,,145074290970,4296848854,133149298821,8971959018,21634113469,59681177907,108600183088,65823925368,16861205941,9822892800,40779060353,99273024163,19811658957,31789394762,51269052312,128698476501,103537230800,508334117577,17064730971,45397976646,154519056514,13475107547,102839895413,30898015043,46796717035,223935868910,843960028,8757080980,58242181938,29811235393,42436283535,10258088669,225024381858,11894581605295,556385607,17392082338,321012967927,468913001,332810082359,8463361853
2. Trả trước cho người bán ngắn hạn132,1592963000,36553599481,822368538,15836998811,133235145,22137714378,130021534329,13722034419,30180600,5374484584,2578200000,8250000,48885516803,288261676,61243436864,111844090,22389135403,1571593826,127265136135,2047557114,95175882247,,43546200,3663527919,250000000,925455136,922165500,127190063,3347781398,470853801,637786451,352803776,5595613976,436922558,283465982415,11206117,15040520631,72499595185,379180000,28031461595,105730000
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,22000000000,,,,,,,,,,194040000000,,,,,,,,,,,,,,,,,,,,,,,75166947757,,,
6. Phải thu ngắn hạn khác136,609051611,92949593791,411889642,10504091863,330182891,1478837050,88350425624,181124653694,51483485,64294400,343820229,3908589173,10199043981,508493758,48457522244,861171512,26665162321,31136825942,7111815653,2679290864,325929196486,76473895,168600675,395793111,8362174404,6651001621,94801443490,1021517006,1223020676,28115136433,1477398839,2614451144,58647160,105712392,278833476175,314561804,1634660469,52991387771,3887510203,6175300638,54618600
7. Dự phòng phải thu ngắn hạn khó đòi137,,-24075745356,,,-747892385,-5755916446,-1650935992,-60180513804,,-17323487225,,-126131761,-10165927569,,-621041982,-6861406670,,,,-1240415017,-7077269797,,-152827675,-5719107979,,-996125496,-50000000,-777403661,-3039488184,-5302546066,,,,,,-107444924,-1463072304,-499770035612,-3904277461,-56067734517,-958200920
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,3913807794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho140,23648981465,713918413203,28540162075,37587349260,8131169048,87115328316,125445774829,258532424301,592411749,6771179278,97307014845,2346725188,175108909953,45156721479,142510054303,5223817857,463583886225,103292604812,435942236041,18262524880,81064640,19806637849,5352911248,89938552485,55117788848,4344328796,2042908440,,31100046789,5435599160,74334001324,84012210751,85567448731,182687390940,15890950395456,12962467582,151363782221,12023920410,7289050235,155439786719,6935367413
