Mã CK,POW,PPC,PPE,PPH,PPP,PPS,PPT,PPY,PQN,PRC,PRO,PRT,PSB,PSC,PSD,PSE,PSH,PSL,PSN,PSP,PSW,PTB,PTC,PTD,PTE,PTG,PTH,PTL,PTO,PTP,PTS,PTT,PTV,PTX,PV2,PVA,PVB,PVC,PVD,PVE,PVG,PVH,PVI,PVL,PVM
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,Deloitte,Deloitte,Deloitte,A&C,AFC,CPA VIETNAM,NVT,AnViet,PWC,AAC,AISC,AASC,VACO,AnViet,PWC,Deloitte,,AASC,PWC,PWC,Deloitte,AASC,A&C,AASCS,NVT,AASCS,AnViet,UHY,A&C,AASC,AnViet,Deloitte,A&C,AnViet,NVT,,PWC,Deloitte,Deloitte,AASC,PWC,AASC,Deloitte,iCPA,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần
Ngày công bố báo cáo,01-04-2025,31-03-2025,26-03-2025,03-04-2025,31-03-2025,10-03-2025,18-03-2025,19-02-2025,28-03-2025,05-03-2025,01-04-2025,03-04-2025,25-04-2025,17-03-2025,20-03-2025,19-03-2025,04-02-2025,28-03-2025,14-03-2025,03-03-2025,20-03-2025,31-03-2025,05-03-2025,25-03-2025,02-04-2025,17-02-2025,21-03-2025,01-04-2025,04-04-2025,25-03-2025,20-03-2025,24-02-2025,01-04-2025,05-03-2025,02-04-2025,06-02-2025,21-02-2025,20-03-2025,21-03-2025,16-04-2025,03-03-2025,02-04-2025,04-03-2025,01-04-2025,31-03-2025
Ngày ký kiểm toán,29-03-2025,31-03-2025,22-03-2025,30-03-2025,27-03-2025,28-02-2025,11-03-2025,08-02-2025,17-03-2025,28-02-2025,26-03-2025,26-03-2025,23-04-2025,05-03-2025,15-03-2025,11-03-2025,,26-03-2025,07-03-2025,20-02-2025,12-03-2025,27-03-2025,03-03-2025,17-03-2025,25-03-2025,13-02-2025,13-03-2025,31-03-2025,28-03-2025,25-03-2025,11-03-2025,20-02-2025,28-03-2025,25-02-2025,29-03-2025,,13-02-2025,14-03-2025,12-03-2025,14-04-2025,20-02-2025,21-03-2025,20-02-2025,28-03-2025,25-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,29980558720344,2730492704426,11526644682,1766586086522,91227655896,247269513603,329075863016,171724195378,710762132029,26470278811,21418389382,1957636966110,486102693188,34125067805,2724937039326,222645862465,5964351010828,86990373258,502787891019,74822261356,233458146350,3313721396506,230848343602,156623564652,60613522002,331710162955,22301813011,695263849921,32069216906,123431162903,44773330824,203534409047,259818740856,46386663855,117878446951,434047473349,414523887957,1900892719749,7782381355167,831686833474,1151410826050,183624235079,26187880113585,71151932750,961473756707
