Mã CK,PVO,PVP,PVR,PVS,PVT,PVV,PVX,PVY,PWA,PWS,PXA,PXI,PXL,PXM,PXS,PXT,QBS,QCC,QCG,QHD,QHW,QNC,QNP,QNS,QNT,QNU,QNW,QPH,QSP,QST,QTC,QTP,RAL,RAT,RBC,RCC,RCL,REE,RIC,RTB,RYG,S12,S4A,S55,S72,S74
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AnViet,Deloitte,AASC,PWC,Deloitte,AnViet,AASC,AVA,VAE,A&C,,AASC,CPA VIETNAM,AAC,AASC,AASC,UHY,AFA,UHY,AASC,KPMG,AASC,UHY,AAC,AISC,AAC,IAV,IAV,AAC,AAC,AAC,BDO,AASC,iCPA,AASCS,AASC,AISC,EY,UHY,AASC,AASC,A&C,AFA,AAC,AASC,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,,Từ chối - Không thể đưa ra ý kiến,Chấp nhận từng phần - Ngoại trừ,Không chấp nhận - Ý kiến trái ngược,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ
Ngày công bố báo cáo,19-02-2025,20-03-2025,27-03-2025,25-03-2025,10-03-2025,10-03-2025,02-04-2025,03-03-2025,21-03-2025,28-03-2025,04-04-2025,28-03-2025,31-03-2025,27-03-2025,03-04-2025,31-03-2025,02-04-2025,24-03-2025,09-04-2025,02-04-2025,05-03-2025,28-03-2025,28-02-2025,26-02-2025,27-03-2025,17-03-2025,03-04-2025,31-03-2025,04-03-2025,31-03-2025,02-04-2025,02-04-2025,31-03-2025,03-04-2025,21-02-2025,03-04-2025,02-04-2025,11-03-2025,03-04-2025,25-02-2025,01-04-2025,15-04-2025,14-03-2025,28-03-2025,25-03-2025,03-04-2025
Ngày ký kiểm toán,10-02-2025,12-03-2025,18-03-2025,17-03-2025,28-02-2025,05-03-2025,31-03-2025,17-02-2025,18-03-2025,24-03-2025,,26-03-2025,24-03-2025,25-03-2025,26-03-2025,27-03-2025,31-03-2025,18-03-2025,08-04-2025,25-03-2025,24-02-2025,26-03-2025,24-02-2025,26-02-2025,20-03-2025,11-03-2025,27-03-2025,27-03-2025,26-02-2025,24-03-2025,27-03-2025,26-03-2025,28-03-2025,31-03-2025,17-02-2025,30-03-2025,28-03-2025,10-03-2025,27-03-2025,20-02-2024,27-03-2025,09-04-2025,10-03-2025,17-03-2025,20-03-2025,30-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,118036001542,1321371233522,723402160943,23882307235252,6648001421674,580336839028,4611664998814,703824623879,148580195930,127997327720,103575839712,300454540059,478838535897,39759560106,334518859782,249256799591,326093629601,25700102020,2053780926157,136795413351,272711003883,806760132426,643918961269,10010993374030,3043878186,98321214403,182914335489,491823778003,89115086925,38333062599,49859890003,4549973245008,7842099023673,217869077227,197037723357,743854633170,326420758881,11285775224595,52795977597,816794917686,1526027552999,25557570923,272807608125,291359319444,11385653577,19668258855
