Mã CK,S99,SAB,SAC,SAF,SAL,SAM,SAP,SAS,SAV,SB1,SBA,SBB,SBD,SBG,SBH,SBL,SBM,SBR,SBV,SC5,SCC,SCD,SCG,SCI,SCJ,SCL,SCO,SCR,SCS,SCY,SD2,SD3,SD4,SD5,SD6,SD7,SD9,SDA,SDC,SDD,SDG,SDJ,SDK,SDN
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AISC,KPMG,UHY,AASC,AASCS,AASC,AAC,Deloitte,AASCS,KPMG,AAC,AASCS,,NVT,UHY,KPMG,AVA,Vietvalues,Grant Thornton,RSM,UHY,KPMG,Deloitte,AISC,iCPA,AVA,AFA,AISC,A&C,AISC,AASC,UHY,UHY,A&C,UHY,AASC,UHY,,UHY,VAE,A&C,AASC,AASC,RSM
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,02-04-2025,27-03-2025,24-02-2025,07-02-2025,06-03-2025,28-03-2025,02-04-2025,02-04-2025,24-03-2025,13-03-2025,06-03-2025,01-04-2025,24-04-2025,31-03-2025,01-04-2025,25-03-2025,03-03-2025,01-04-2025,23-04-2025,27-03-2025,02-04-2025,02-04-2025,02-04-2025,04-03-2025,27-03-2025,12-03-2025,17-03-2025,01-04-2025,11-03-2025,18-03-2025,01-04-2025,01-04-2025,01-04-2025,18-03-2025,02-04-2025,01-04-2025,17-03-2025,24-01-2025,13-03-2025,28-03-2025,02-04-2025,26-03-2025,17-02-2025,04-03-2025
Ngày ký kiểm toán,27-03-2025,27-03-2025,17-02-2025,22-01-2025,05-03-2025,28-03-2025,20-03-2025,27-03-2025,22-03-2025,06-03-2025,25-02-2025,31-03-2025,,28-03-2025,28-03-2025,24-03-2025,28-02-2025,27-03-2025,21-04-2025,25-03-2025,28-03-2025,31-03-2025,31-03-2025,28-02-2025,24-03-2025,26-02-2025,07-03-2025,31-03-2025,06-03-2025,15-03-2025,29-03-2025,29-03-2025,31-03-2025,08-03-2025,31-03-2025,31-03-2025,11-03-2025,,10-03-2025,24-03-2025,26-03-2025,25-03-2025,13-02-2025,20-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1633756297848,25066732804106,54228982544,234801148291,95010381758,2203990476359,1285388524,1539212677200,454512430554,124364322486,90315474582,739152494234,400596527759,742685590805,1078469494522,84278188421,105861865540,535897339775,557941930073,2063321228956,30208274069,130211636337,6988808528333,1510510946388,235613626868,183695368379,2764595270,6970315188477,1388384079763,1170242703844,286401658969,366175032113,587464799223,1304746152141,792168115939,36444757201,757159177940,83440226721,62724653773,2228142528,431232669325,17689918753,82627901452,53058109947
