Mã CK,SDP,SDT,SDU,SDV,SDY,SEA,SEB,SED,SEP,SFC,SFG,SFI,SFN,SGC,SGD,SGH,SGI,SGN,SGP,SGR,SGS,SGT,SHA,SHC,SHE,SHI,SHN,SHP,SID,SIG,SII,SIP,SIV,SJ1,SJD,SJE,SJF,SJG,SJM,SJS,SKG,SKH,SKN,SKV
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,A&C,UHY,A&C,A&C,iCPA,VACO,A&C,AAC,AAC,EY,AASC,AASC,AFC,PWC,AAC,UHY,A&C,Deloitte,UHY,AISC,AASCS,AISC,UHY,A&C,A&C,A&C,IAV,Deloitte,A&C,IAV,Grant Thornton,EY,AnViet,AASCS,VACO,AnViet,UHY,UHY,A&C,EY,AASC,A&C,A&C,A&C
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,27-03-2025,01-04-2025,03-04-2025,24-02-2025,26-03-2025,31-03-2025,04-03-2025,24-03-2025,25-03-2025,03-12-2024,13-03-2025,15-02-2025,11-03-2025,25-03-2025,27-03-2025,02-04-2025,03-04-2025,26-03-2025,17-03-2025,28-03-2025,31-03-2025,01-04-2025,28-03-2025,27-03-2025,26-03-2025,31-03-2025,02-04-2025,13-03-2025,16-04-2025,03-04-2025,02-04-2025,31-03-2025,29-03-2025,07-12-2024,25-02-2025,17-02-2025,03-04-2025,03-04-2025,26-03-2025,12-03-2025,28-03-2025,24-01-2025,04-03-2025,27-03-2025
Ngày ký kiểm toán,26-03-2025,26-03-2025,28-03-2025,14-02-2025,25-03-2025,21-03-2025,21-02-2025,12-03-2025,22-03-2025,29-11-2024,03-03-2025,11-02-2025,28-02-2025,24-03-2025,25-03-2025,28-03-2025,31-03-2025,26-03-2025,27-02-2025,27-03-2025,27-03-2025,28-03-2025,27-03-2025,25-03-2025,21-03-2025,26-03-2025,28-03-2025,10-03-2025,14-04-2025,31-03-2025,28-03-2025,28-03-2025,28-03-2025,04-12-2024,25-02-2025,10-02-2025,31-03-2025,31-03-2025,24-03-2025,07-03-2025,25-03-2025,23-01-2025,28-02-2025,26-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,157058729884,1530174872307,980489468515,150635936830,39691441201,582364160355,192682927607,506663217988,263055039618,164882526674,1129651248905,627020287079,75847591503,285944287115,48007783056,139203778437,3470062884367,1246128664363,1634192021174,1462916085445,202861027294,6055066024225,876628946775,58737264234,228801939056,7267564574280,4031831689822,309432083325,578664570784,128305082397,962675756268,11917346199317,173834207466,768526723505,1067313411257,1225029863065,638241405385,10976200581479,14189488235,5038895124317,493279524881,621789028838,63129524404,658788136649
