Mã CK,SLS,SMA,SMB,SMC,SMN,SMT,SNC,SNZ,SP2,SPB,SPC,SPD,SPH,SPM,SPV,SQC,SRA,SRB,SRC,SRF,SSC,SSG,SSH,SSM,ST8,STC,STG,STH,STK,STP,STS,STT,STW,SVC,SVD,SVG,SVH,SVI,SVN,SVT,SWC,SZB,SZC
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,BDO,AASC,KPMG,AISC,AFA,UHY,AFA,RSM,CPA VIETNAM,KPMG,AASC,AFA,AFA,A&C,Vietvalues,AISC,NVT,NVT,EY,AASC,Deloitte,RSM,Deloitte,AISC,VACO,AAC,EY,NVT,EY,A&C,CPA VIETNAM,AASCS,A&C,BDO,AISC,AASC,IAV,KPMG,AFC,FAC,EY,RSM,RSM
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,20-08-2024,26-02-2025,24-02-2025,29-04-2025,12-03-2025,02-04-2025,17-02-2025,27-03-2025,20-03-2025,03-04-2025,31-03-2025,07-03-2025,18-03-2025,31-03-2025,14-02-2025,01-04-2025,02-04-2025,02-04-2025,13-03-2025,28-03-2025,26-03-2025,24-03-2025,01-04-2025,02-04-2025,20-02-2025,18-03-2025,31-03-2025,03-04-2025,11-03-2025,07-03-2025,04-04-2025,03-04-2025,11-03-2025,31-03-2025,31-03-2025,25-03-2025,29-03-2025,25-03-2025,02-04-2025,28-03-2025,31-03-2025,11-03-2025,11-03-2025
Ngày ký kiểm toán,14-08-2024,20-02-2025,14-02-2025,28-04-2025,05-03-2025,31-03-2025,12-02-2025,24-03-2025,18-03-2025,27-03-2025,24-03-2025,05-03-2025,11-03-2025,28-03-2025,10-02-2025,24-03-2025,28-03-2025,29-03-2025,11-03-2025,27-03-2025,20-03-2025,19-03-2025,20-03-2025,07-03-2025,14-02-2025,07-03-2025,27-03-2025,25-03-2025,07-03-2025,04-03-2025,28-03-2025,28-03-2025,05-03-2025,24-03-2025,28-03-2025,24-03-2025,25-03-2025,24-03-2025,28-03-2025,25-03-2025,24-03-2025,26-02-2025,05-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1127012212540,105011665856,674490191371,3086659368507,72177986345,75500876735,105830155415,6953038408724,97594643176,488058079129,391654930723,318932378271,91598414051,864618517088,232817456762,3607520198,91857714028,11259628160,549126282887,1222225857780,320398075041,110862565002,8633533226171,96598918499,432743813578,174592785452,1127107316081,174351472424,997061057465,140498267898,194858552353,9536761348,141751884297,4886457647358,130605880688,122268869445,85426342844,1047378163141,53925772784,65379261375,689174563125,448015505307,3066828196450
I. Tiền và các khoản tương đương tiền110,18532255431,26355284045,267019457347,143281861697,10748162221,5421901022,8663945329,1599779077056,80421849987,52096040114,6671135245,27824800204,9396532882,30070353257,22871377948,1671061041,9728935114,2319758791,29711953512,83317858506,13329545276,110247736611,487993933922,3867798998,12758365669,49920474727,507906898731,6790013283,105602398852,10383369631,82674479711,4590129754,37874177181,877792221167,6100032634,7896499838,12633959521,53840993336,3465293716,5434911629,426221094240,254975301936,705293019852
1. Tiền111,18532255431,26355284045,24519457347,45781861697,10748162221,5421901022,8663945329,400136046773,23248340290,1753840114,6671135245,16363617973,7390677762,30070353257,22871377948,64223500,9728935114,2319758791,14711953512,21816275239,13329545276,10297736611,487993933922,3867798998,12758365669,6077376630,108806898731,6727013283,5402398852,9376002692,79674479711,4590129754,10874177181,523219181861,6100032634,7896499838,12633959521,53840993336,3465293716,5434911629,61221094240,20975301936,105174670236
2. Các khoản tương đương tiền112,,,242500000000,97500000000,,,,1199643030283,57173509697,50342200000,,11461182231,2005855120,,,1606837541,,,15000000000,61501583267,,99950000000,,,,43843098097,399100000000,63000000,100200000000,1007366939,3000000000,,27000000000,354573039306,,,,,,,365000000000,234000000000,600118349616
II. Đầu tư tài chính ngắn hạn120,,,113000000000,505000000000,,,,2088660471233,,16000000000,5250000000,,56054584903,,183014981,1300000000,,,,43095793862,,,7379214133,90171900,25101412526,12963405066,86485928093,9831182400,,10844297675,97000000000,,65000000000,164005181104,,,,507069627397,,,60920000000,93500000000,334784500000
1. Chứng khoán kinh doanh121,,,,,,,,,,,,,2257388143,,,,,,,,,,,144052896,20314464816,,683872558,10029062198,,5782781765,,,,28274992543,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,,,,,,,,,,-53880996,-213052290,,-117944465,-197879798,,-2438484090,,,,-17170413738,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,113000000000,505000000000,,,,2088660471233,,16000000000,5250000000,,53797196760,,183014981,1300000000,,,,43095793862,,,7379214133,,5000000000,12963405066,85920000000,,,7500000000,97000000000,,65000000000,152900602299,,,,507069627397,,,60920000000,93500000000,334784500000
III. Các khoản phải thu ngắn hạn130,677894770383,77281662887,52600365000,1546619776587,22707419777,64775772330,18435284398,864109251117,16879921926,149743803413,113621818220,64359741949,20154086142,791573245318,55737033928,140395238,63867575669,8866294465,235235110511,745595007915,190827915881,612308035,7177798343214,36055954161,274610702629,38903798103,478504724498,140838786375,105312984991,77070011240,14845995749,3886377525,24346594894,2098640882372,75160272520,75722067943,65475481793,349875503408,49996423759,59938209246,193685345653,87657893462,149767274436
1. Phải thu ngắn hạn của khách hàng131,539612093000,5883066952,46467927112,1773566850606,23220901128,54003727776,18167207595,668217707209,15077037163,53240725084,126456635514,150937776682,34660112085,759796250131,55306759955,,57176561907,10258889044,238217156220,663825413515,44110191565,,328709043667,33720386608,201683267055,39345737569,412094746818,712747201,92738753955,102247518393,41664678927,13669208471,11980440803,771237917253,71003330270,54914063796,11878647407,343170068926,,1021000000,131066776403,19460146035,72347997540
2. Trả trước cho người bán ngắn hạn132,15519434667,213000000,3677639655,99531539093,43260000,11504267660,243032000,88939461752,94104458,10942550824,2609314558,3650905253,5121538003,35099205509,2635704030,100000000,10920887764,7612392204,720135153,50268741977,9257658968,,420287314269,241982800,37046172860,188051609,36084994598,190876138,7104476750,499258530,1740717902,1066492373,11335403491,237859310410,4090000000,4284140100,38819126569,1703817673,8547500000,110475000,19672207218,31676254094,23364854090
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,9400000000,66000000000,,,,,,,,,,,,,,,,1085000000,,41666663,130000000000,,2295232500000,,850000000,,,,3471000000,,,,,14500000000,,,,,23750000000,54000000000,25000000000,,
6. Phải thu ngắn hạn khác136,124918876233,5185595935,3530794562,24989633515,994863789,1166330826,264419803,184170750615,1708780305,85560527505,3264500490,1173432013,10018957562,33511787062,198500000,40395238,31000000,12652546105,5921919771,53707312049,8957836897,793247808,4141057962593,2686959845,35784542059,459582392,129686273075,139935163036,1998754286,1476132300,10416188920,43071678528,2503771601,1087123367646,66942250,19263563808,14803059817,5743488431,17698923759,4832734246,35017097400,37235388076,59490076427
7. Dự phòng phải thu ngắn hạn khó đòi137,-11555633517,,-1075996329,-351468246627,-1551605140,-1898553932,-239375000,-77218668459,,,-18708632342,-91402371999,-42846065690,-36833997384,-2403930057,,-4260874002,-22742532888,-9624100633,-22248126289,-1497771549,-180939773,-7488477315,-593375092,-753279345,-1089573467,-99361289993,,,-27152897983,-38975590000,-53921001847,-1473021001,-12079712937,,-3114494323,-25352000,-741871622,,-26000000,-17070735368,-713894743,-5435653621
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,13199544182,,,,,,,,,,,,,,,,,,,,,,,374794562,,,,,,,
IV. Hàng tồn kho140,430580595516,1221898499,237954494622,627737119083,38158371000,5119790999,77267840056,2213026768354,126486000,250354350572,238518370241,222310651960,4452565115,40515001863,148142731874,,17372015396,,250315400799,329094397582,115014642142,,858930680831,55159256437,116098053297,69634797547,36288014193,16527643958,616099132887,34665850130,171198683,37586321,14531112222,1674164636972,48811659681,37848342666,,134036314341,,,5831256801,6159286635,1743116427066
1. Hàng tồn kho141,433729472017,1230694499,237954494622,646418393324,40624155019,6370220926,80538118266,2214907831042,126486000,253574665579,249240119892,222310651960,4452565115,41617936964,149692731874,,18912015396,,251291699609,331875387574,120736314937,,858930680831,55298846676,116098053297,72889485159,36288014193,16527643958,622696170006,34665850130,433905227,64479821,14531112222,1677129379474,48811659681,37848342666,,136029681162,,,5831256801,6159286635,1743116427066
2. Dự phòng giảm giá hàng tồn kho 149,-3148876501,-8796000,,-18681274241,-2465784019,-1250429927,-3270278210,-1881062688,,-3220315007,-10721749651,,,-1102935101,-1550000000,,-1540000000,,-976298810,-2780989992,-5721672795,,,-139590239,,-3254687612,,,-6597037119,,-262706544,-26893500,,-2964742502,,,,-1993366821,,,,,
