Mã CK,SZE,SZG,SZL,TA6,TA9,TAB,TAL,TAN,TAR,TAW,TB8,TBC,TBD,TBR,TBW,TBX,TCD,TCH,TCJ,TCK,TCL,TCM,TCO,TCR,TCT,TCW,TDB,TDC,TDF,TDG,TDH,TDM,TDP,TDS,TDT,TDW,TED,TEG,TEL,TET,TFC,TGG,TGP,TH1,THB,THD
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,A&C,A&C,RSM,IAV,CPA VIETNAM,AnViet,EY,Vietvalues,AASCS,AFC,BDO,EY,Deloitte,A&C,AASC,CPA VIETNAM,,,AASC,CPA VIETNAM,A&C,PWC,EY,AASCS,AASC,A&C,AFA,A&C,NVT,AFC,EY,AASC,EY,AASC,AVA,UHY,AASC,A&C,AFC,AASC,A&C,,AASCS,AASC,NVT,UHY
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,,,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,20-03-2025,12-03-2025,11-03-2025,20-03-2025,29-03-2025,18-03-2025,02-04-2025,21-03-2025,02-04-2025,26-03-2025,10-03-2025,20-03-2025,31-03-2025,18-03-2025,03-04-2025,17-03-2025,24-01-2025,29-04-2025,24-03-2025,08-04-2025,05-03-2025,21-03-2025,28-03-2025,26-03-2025,31-03-2025,04-03-2025,18-02-2025,02-04-2025,02-04-2025,10-02-2025,27-03-2025,26-02-2025,31-03-2025,04-03-2025,03-04-2025,29-03-2025,31-03-2025,27-03-2025,03-04-2025,03-04-2025,05-04-2025,23-01-2025,26-03-2025,03-04-2025,13-03-2025,31-03-2025
Ngày ký kiểm toán,12-03-2025,05-03-2025,03-03-2025,17-03-2025,27-03-2025,08-03-2025,26-03-2025,17-03-2025,29-03-2025,21-03-2025,27-02-2025,11-03-2025,21-03-2025,14-03-2025,28-03-2025,06-03-2025,,,11-03-2025,31-03-2025,25-02-2025,13-03-2025,22-03-2025,21-03-2025,24-03-2025,24-02-2025,12-02-2025,29-03-2025,29-03-2025,06-02-2025,25-03-2025,25-02-2025,28-03-2025,27-02-2025,29-03-2025,27-03-2025,27-03-2025,21-03-2025,20-03-2025,28-03-2025,27-03-2025,,25-03-2025,31-03-2025,04-03-2025,24-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,272865731727,1774235113712,277676242016,370124336147,1801165413659,30681169641,6174093784146,5356821808,2008513956937,124312311437,62063481413,235477045312,1562030097086,88824043611,128201362620,16169547953,5830328277550,13235154648631,8221531959,629590666661,663244375700,2690037141466,1073301920936,642003705919,330505329732,449451040505,72711900142,1812643858420,584129104269,507591542450,400017873735,657457769015,2977486027560,357133576357,449613307903,173703640246,1202935012099,875195707065,67571737975,87665947072,696450246988,143970224919,152986644522,428798331005,221519930302,1713791495124
