Mã CK,THG,THM,THN,THP,THS,THT,THU,THW,TID,TIE,TIG,TIP,TIS,TIX,TJC,TKA,TKU,TL4,TLD,TLG,TLH,TLI,TLP,TLT,TMB,TMC,TMG,TMP,TMS,TMT,TMW,TMX,TN1,TNA,TNB,TNC,TNG,TNH,TNI,TNP,TNS,TNT,TNV,TNW,TOP,TOS
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán
Công ty kiểm toán,FAC,Grant Thornton,iCPA,AFA,NVT,AASC,iCPA,AFC,AASC,A&C,UHY,AASC,AASC,A&C,EY,AFA,NVT,AVA,NVT,PWC,AASC,AFC,NVT,AASC,UHY,AnViet,CPA VIETNAM,AASC,EY,UHY,AFC,AnViet,EY,,AASC,BDO,Deloitte,Deloitte,ASCO,AAC,AASC,iCPA,AVA,AASC,,A&C
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,,Chấp nhận toàn phần
Ngày công bố báo cáo,01-04-2025,03-04-2025,14-03-2025,11-03-2025,12-03-2025,20-03-2025,02-04-2025,18-03-2025,02-04-2025,04-04-2025,17-04-2025,20-03-2025,14-03-2025,03-12-2024,02-04-2025,08-03-2025,01-04-2025,31-03-2025,01-04-2025,29-03-2025,31-03-2025,28-03-2025,01-04-2025,04-02-2025,02-04-2025,20-02-2025,02-04-2025,31-03-2025,01-04-2025,01-04-2025,02-04-2025,10-03-2025,27-03-2025,06-02-2025,17-02-2025,31-03-2025,27-03-2025,02-04-2025,31-03-2025,18-03-2025,19-02-2025,17-03-2025,02-04-2025,04-04-2025,27-03-2025,01-04-2025
Ngày ký kiểm toán,24-03-2025,31-03-2025,14-03-2025,06-03-2025,07-03-2025,12-03-2025,30-03-2025,14-03-2025,28-03-2025,31-03-2025,14-04-2025,12-03-2025,10-03-2025,29-11-2024,17-03-2025,03-03-2025,27-03-2025,26-03-2025,29-03-2025,26-03-2025,29-03-2025,26-03-2025,28-03-2025,23-01-2025,24-03-2025,07-02-2025,24-03-2025,28-03-2025,31-03-2025,31-03-2025,25-03-2025,27-02-2025,26-03-2025,,12-02-2025,28-03-2025,24-03-2025,21-03-2025,26-03-2025,17-03-2025,19-02-2025,14-03-2025,26-03-2025,29-03-2025,,26-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1554502291208,86967820758,96516546779,880684632953,90951758330,776224432939,158597817024,110703957179,5067166778242,42243391540,2039611653912,659735035671,2725476485609,534100597459,136896926111,76567853800,787828486852,77673326275,800398555571,2670706305975,3464044287865,34387264355,6043911827548,244829382160,3941365606255,173003579142,242136566464,943849085815,2025328189001,1089190400455,92495136053,133851902892,1875070699149,1647733242904,395279834131,213408648525,2637646921136,298040505730,634249999545,24063746101,221391276726,424416590637,110606109722,81083729467,3886577172,3138476487319
