Mã CK,TVN,TVT,TW3,TXM,TYA,UCT,UDC,UDJ,UDL,UEM,UIC,UMC,UNI,UPC,UPH,USC,USD,UXC,V11,V12,V21,VAF,VAV,VBC,VBG,VBH,VC1,VC2,VC3,VC6,VC7,VC9,VCA,VCC,VCE,VCF,VCG,VCM,VCP,VCR,VCS,VCT,VCW
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASC,AFC,EY,AnViet,KPMG,NVA,AASC,A&C,AAC,BDO,EY,CPA VIETNAM,AASCS,IAV,EY,CPA VIETNAM,A&C,AASCS,iCPA,A&C,AVA,AASC,EY,A&C,AFC,UHY,AASC,IAV,AVA,EY,VAE,CPA VIETNAM,AASC,EY,A&C,KPMG,EY,AVA,AASC,A&C,EY,AASC,Deloitte
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần
Ngày công bố báo cáo,28-03-2025,25-03-2025,21-03-2025,19-03-2025,18-03-2025,03-04-2025,04-04-2025,26-02-2025,26-03-2025,20-03-2025,28-03-2025,26-03-2025,09-04-2025,24-03-2025,28-03-2025,10-03-2025,25-02-2025,25-03-2025,26-03-2025,17-03-2025,17-03-2025,11-03-2025,12-03-2025,03-03-2025,19-03-2025,25-02-2025,24-03-2025,02-04-2025,02-04-2025,03-04-2025,26-03-2025,31-03-2025,08-03-2025,20-03-2025,28-02-2025,03-03-2025,28-03-2025,02-04-2025,04-04-2025,10-03-2025,02-04-2025,25-03-2025,11-03-2025
Ngày ký kiểm toán,27-03-2025,21-03-2025,18-03-2025,10-03-2025,13-03-2025,27-03-2025,30-03-2025,20-02-2025,22-03-2025,19-03-2025,20-03-2025,24-03-2025,29-03-2025,17-03-2025,21-03-2025,06-03-2025,17-02-2025,18-03-2025,24-03-2025,05-03-2025,12-03-2025,03-03-2025,06-03-2025,19-02-2025,14-03-2025,20-02-2025,19-03-2025,28-03-2025,21-03-2025,27-03-2025,21-03-2025,27-03-2025,05-03-2025,17-03-2025,24-02-2025,24-02-2025,26-03-2025,24-03-2025,28-03-2025,03-03-2025,28-03-2025,21-03-2025,03-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,12878645901107,924665080944,157800311532,166612539619,1143336582826,39707575534,447924382557,250235202358,116582444828,88896470803,423527321335,23160704871,556460221632,156759386517,292739521837,153329865949,156902616337,769889656199,41789221972,574069944231,283285838810,1032052328537,574847802702,327223931870,160151223651,26401710270,625839347014,2157332863622,2640648204607,910880616561,419421340393,623280393729,294871007160,1166607947521,79237529314,842528899612,17688521425552,64519185320,1200252360627,294229111123,5473448538482,27217031206,389040320400
I. Tiền và các khoản tương đương tiền110,2199212226389,197056104685,4815293332,11225160196,122872810825,3679543043,30453699673,1700024705,20592937349,680915169,190389660907,11794463867,613710967,12509832274,28283162460,5030164624,15833824924,61555544,402241974,231679891865,14811078411,399246076091,490107863528,3819935852,7379485367,10668489244,427854451,197195999369,82016083730,136962651241,16556791348,13748909442,28034599442,29077569847,25510000,105991360485,2471352348020,2028260488,487400155359,601327524,1583190798036,743791267,48755631917
1. Tiền111,796962226389,197056104685,4815293332,11225160196,102872810825,3679543043,18413699673,1700024705,4592937349,680915169,18984927336,8794463867,613710967,12509832274,15881615411,5030164624,15833824924,61555544,402241974,226679891865,14811078411,169246076091,19607863528,3819935852,7379485367,7563157185,427854451,34475999369,26967083730,106962651241,15956791348,13748909442,28034599442,23077569847,25510000,7691360485,1779799994605,2028260488,479116448274,601327524,325090798036,743791267,48755631917
2. Các khoản tương đương tiền112,1402250000000,,,,20000000000,,12040000000,,16000000000,,171404733571,3000000000,,,12401547049,,,,,5000000000,,230000000000,470500000000,,,3105332059,,162720000000,55049000000,30000000000,600000000,,,6000000000,,98300000000,691552353415,,8283707085,,1258100000000,,
II. Đầu tư tài chính ngắn hạn120,1353202715404,2000000000,50000000,,420754671656,15500000000,,,29000000000,,,,,5350000000,38000000000,5000000000,7900000000,,,1215000000,,165684860441,45000000000,,,8300000000,29938642192,220118300000,,20090000000,480000000,13300000000,,72143000000,,400000000,1780856983830,,10741315069,38775458,670000000000,1022100000,6105863014
1. Chứng khoán kinh doanh121,,,50000000,,,,,,,,,,,,,,,,,,,,,,,,,198283300000,,,,,,,,,261887400,,,266061423,,22100000,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-221703100,,,-227285965,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,1353202715404,2000000000,,,420754671656,15500000000,,,29000000000,,,,,5350000000,38000000000,5000000000,7900000000,,,1215000000,,165684860441,45000000000,,,8300000000,29938642192,21835000000,,20090000000,480000000,13300000000,,72143000000,,400000000,1780816799530,,10741315069,,670000000000,1000000000,6105863014
III. Các khoản phải thu ngắn hạn130,3006477318572,201485262792,120047098012,154744750974,285883793133,17739767262,162607048154,85876534741,64113435416,54692125686,131545856861,10657397012,84928980370,98585495350,26703495054,103200639921,96785690946,155921678088,41386979998,328683878709,159573263553,12428842563,22197475979,222310041237,145843357561,6970593072,347705794904,1387029310985,522033133167,292918092394,363464845430,379563582083,63446360178,632686630293,63473729143,457491927351,5857885426282,47962774040,481103968449,118957119348,1328693368799,20948081265,238200016241
1. Phải thu ngắn hạn của khách hàng131,3200047253633,199200887692,116707789852,146465735324,280671720959,16331569188,124562386208,83223520924,61753274964,54643624561,124490917880,6105137397,445000000,91826384663,41267169521,51177846736,76287038964,189011135569,17987659883,144331898574,34117995970,1870285253,24033176789,222584929639,144495283208,6489996471,285126518832,549813357562,71730140218,213468258917,118984262352,254700332396,63153395560,533839468611,63455337993,456778177968,2599206089505,12185266136,327084546730,22187240810,1327073083688,26872643704,108889946419
2. Trả trước cho người bán ngắn hạn132,73411637473,7680341961,881554379,5683040107,416805259,35750000,41679258744,,685160789,33400121,12839742651,613220000,77213583327,523392081,1112434887,9436320639,15191190484,98007832343,1611855652,57110129846,22293567973,7553311975,2899609920,154788098,29235372,,9725538591,391013228394,255658177591,95773481916,1789282819,63711946181,180714618,17774658331,30000000,451050000,2047695119868,3233998371,8056034757,12000347844,19547116693,4421852994,55924519716
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,,,,,,2392661312,,,,,,,,,,,2000000000,,,4200000000,,127367821170,13000000000,,,1569615028,,,,,645034725619,28500000000,73308095357,,,3600000000,
6. Phải thu ngắn hạn khác136,299957265409,3862975369,3828133789,6995658570,5819226203,1372448074,49976385521,2653013817,1829654769,15101004,1710901389,1546378303,7377633843,8272214646,6437509409,42586472546,7380724614,30199168342,35860916015,169808962288,105143538074,4866316588,1312062375,196890888,2300926204,6774203225,137845788995,398646898026,223676940293,18366296697,262208100932,88410809627,112250000,93871478847,321054005,262699383,1079765523825,6009488628,129158053063,85894530694,5745573306,5045068122,73385550106
7. Dự phòng phải thu ngắn hạn khó đòi137,-567128569034,-9258942230,-1370380008,-4399683027,-1023959288,,-53613142703,,-154655106,,-7495705059,,-107236800,-2036496040,-22113618763,,-2073263116,-161296458166,-14310369182,-42567111999,-1981838464,-1861071253,-8047373105,-626567388,-982087223,-10493606624,-84992051514,-79811994167,-42032124935,-34689945136,-19516800673,-28829121149,,-12798975496,-332662855,,,-1965979095,-56502761458,-1125000000,-23672404888,-18991483555,
8. Tài sản thiếu chờ xử lý139,189731091,,,,,,2160384,,,,,,,,,,,,236917630,,,,,,,,,,,,,,,,,,-513816032535,,,,,,
IV. Hàng tồn kho140,5465532860711,515042375673,31908480315,,281460862454,2788265229,242216689591,162615115351,2876072063,33462708375,99287945041,214087199,461641532569,36717863099,199231781635,36536155880,35171946456,611822789340,,11442702544,92036121791,440916580657,17035058353,85777310826,2942812074,160711335,247767055467,342455153414,1955181535421,417564840236,36879771631,206886717156,194766173064,423258183120,15735697785,277313308529,7089806775076,10952098200,203987020903,10865869487,1816451063141,4498917327,31514809530
1. Hàng tồn kho141,5544788946843,525374478838,31960940286,,283728534516,2788265229,280282939617,162615115351,3556363932,33462708375,99287945041,214087199,461641532569,36717863099,201768051752,36536155880,35171946456,611822789340,40190611,11442702544,92036121791,440916580657,17794131893,85777310826,2942812074,160711335,247767055467,342455153414,1955181535421,422923544139,36879771631,206886717156,194766173064,423258183120,15735697785,280927425905,7123958365622,10952098200,203995816903,10865869487,1854125512763,4498917327,35023035635
2. Dự phòng giảm giá hàng tồn kho 149,-79256086132,-10332103165,-52459971,,-2267672062,,-38066250026,,-680291869,,,,,,-2536270117,,,,-40190611,,,,-759073540,,,,,,,-5358703903,,,,,,-3614117376,-34151590546,,-8796000,,-37674449622,,-3508226105
