Mã CK,VCX,VDB,VDG,VDL,VDN,VDP,VDT,VE1,VE2,VE3,VE4,VE8,VE9,VEA,VEC,VEF,VES,VET,VFC,VFG,VFR,VGC,VGG,VGI,VGL,VGP,VGR,VGS,VGT,VGV,VHC,VHD,VHE,VHF,VHG,VHH,VHL,VHM,VIC,VID,VIE,VIF,VIH,VIM,VIN,VIP
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASC,UHY,AASCS,,AAC,AASC,AASC,IAV,,CPA VIETNAM,IAV,CPA VIETNAM,AFC,UHY,CPA VIETNAM,EY,AAC,DFK,AASC,Deloitte,NVT,Deloitte,AASC,Deloitte,AASC,IAV,PWC,AASC,KPMG,AASC,PWC,,AASC,FAC,AFC,AAC,Deloitte,EY,EY,FAC,VACO,EY,AASC,AASC,AASC,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần
Ngày công bố báo cáo,01-04-2025,24-03-2025,28-03-2025,05-05-2025,25-03-2025,29-03-2025,03-03-2025,08-04-2025,21-01-2025,02-04-2025,05-03-2025,04-04-2025,03-04-2025,02-04-2025,04-04-2025,03-04-2025,12-02-2025,27-03-2025,14-03-2025,27-03-2025,02-04-2025,20-02-2025,03-04-2025,02-04-2025,20-02-2025,25-03-2025,14-02-2025,02-04-2025,02-04-2025,03-04-2025,01-04-2025,12-02-2025,02-04-2025,24-03-2025,04-04-2025,03-04-2025,24-02-2025,27-03-2025,31-03-2025,28-03-2025,01-04-2025,27-03-2025,05-02-2025,05-02-2025,11-03-2025,24-03-2025
Ngày ký kiểm toán,28-03-2025,18-03-2025,26-03-2025,,18-03-2025,26-03-2025,27-02-2025,04-04-2025,,26-03-2025,03-03-2025,24-03-2025,28-03-2025,24-03-2025,28-03-2025,28-03-2025,06-02-2025,24-03-2025,08-03-2025,21-03-2025,28-03-2025,14-02-2025,27-03-2025,25-03-2025,17-02-2025,20-03-2025,10-02-2025,24-03-2025,31-03-2025,28-03-2025,08-03-2025,,27-03-2025,10-03-2025,26-03-2025,28-03-2025,17-02-2025,25-03-2025,29-03-2025,25-03-2025,29-03-2025,24-03-2025,24-01-2025,22-01-2025,28-02-2025,19-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,193220910845,953930678725,104791015333,132922512120,331443611522,922220272793,23454642143,28038013339,37765788609,183425871326,52144497748,88592027803,11315743980,18721872715582,508803291524,91181508000000,2327952840,509556476776,758481977923,2206932220207,238778496387,9464267034186,4077146627949,48680623561824,133335793853,4756778063119,716871517892,1326965172915,9551568540428,913126894411,8238447590991,3480639553650,294361869513,321905238624,12482518306,35726147797,422372440934,285478928000000,396479911000000,640851439195,41435503301,3574824073783,174587875519,33485968024,190178552025,1019895257387
