Mã CK,BTH,BTN,BTP,BTS,BTT,BTU,BTV,BTW,BVG,BVL,BVN,BWA,BWE,BWS,BXH,C21,C22,C32,C47,C4G,C69,C92,CAD,CAG,CAN,CAP,CAR,CAT,CBI,CC1,CC4,CCA,CCC,CCI,CCL,CCM,CCP,CCR,CCT,CCV,CDC,CDG,CDH,CDN,CDO
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASC,Vietvalues,Deloitte,Deloitte,AISC,A&C,RSM,UHY,NVA,AVA,Vietvalues,FAC,AASC,A&C,AnViet,,VAE,AASC,UHY,AASC,A&C,iCPA,,A&C,UHY,NVT,VACO,RSM,BDO,PWC,CPA VIETNAM,A&C,,Vietvalues,AASCS,A&C,AnViet,UHY,UHY,AASC,CPA VIETNAM,VAE,AISC,UHY,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến
Ngày công bố báo cáo,02-04-2025,28-03-2025,27-03-2025,19-03-2025,20-03-2025,28-03-2025,04-04-2025,27-03-2025,28-03-2025,05-04-2025,25-03-2025,24-03-2025,04-03-2025,27-02-2025,05-03-2025,11-02-2025,24-03-2025,31-03-2025,28-03-2025,02-04-2025,02-04-2025,02-04-2025,14-02-2025,20-03-2025,18-03-2025,06-11-2024,02-04-2025,13-03-2025,27-03-2025,01-04-2025,25-03-2025,27-03-2025,21-04-2025,06-03-2025,14-03-2025,31-03-2025,12-03-2025,11-03-2025,18-02-2025,28-03-2025,28-02-2025,26-03-2025,25-03-2025,24-02-2025,11-04-2025
Ngày ký kiểm toán,28-03-2025,20-03-2025,25-03-2025,12-03-2025,07-03-2025,24-03-2025,26-03-2025,26-03-2025,26-03-2025,31-03-2025,17-03-2025,17-03-2025,03-03-2025,24-02-2025,26-02-2025,,15-03-2025,26-03-2025,22-03-2025,29-03-2025,25-03-2025,28-03-2025,,11-03-2025,14-03-2025,31-10-2024,31-03-2025,10-03-2025,25-03-2025,29-03-2025,20-03-2025,24-03-2025,,05-03-2025,11-03-2025,25-03-2025,10-03-2025,01-03-2025,14-02-2025,20-03-2025,17-02-2025,24-03-2025,10-03-2025,10-02-2025,04-04-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1241405542441,6505268694,525740129339,689906675242,171543931538,100569869983,305343107938,178097486297,37109289189,1484214201627,32143336146,13452497240,4473573577419,367364467665,94004680690,249311569528,146773460757,293450125677,1358472096845,5344007373983,1056130757548,524450294120,4224900383,90633594474,242000155108,243977602153,29371257671,364081501410,944188411424,10382330246088,1250096757446,721803437478,1895197292109,503859599266,927859884388,387206693749,51514310164,50645911762,100129501249,272373557689,1606697004677,19193299857,61125676076,940345025678,74425398601
