Mã CK,VIR,VIT,VIW,VJC,VKC,VLA,VLB,VLC,VLG,VLP,VLW,VMA,VMC,VMD,VMG,VMK,VMS,VMT,VNA,VNB,VNC,VNE,VNF,VNG,VNH,VNI,VNL,VNM,VNP,VNS,VNT,VNX,VNY,VNZ,VOC,VOS,VPA,VPD,VPG,VPH,VPI,VPR,VPS
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,FAC,Deloitte,AnViet,,Vietvalues,NVT,A&C,KPMG,UHY,CPA VIETNAM,iCPA,AFC,A&C,IAV,CPA VIETNAM,UHY,UHY,EY,UHY,EY,EY,CPA VIETNAM,EY,EY,UHY,AASCS,RSM,KPMG,VACO,EY,RSM,AVA,UHY,EY,EY,UHY,AnViet,UHY,Deloitte,VACO,EY,A&C,AASC
Ý kiến kiểm toán,Từ chối - Không thể đưa ra ý kiến,,Chấp nhận từng phần - Ngoại trừ,,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,02-04-2025,24-02-2025,04-04-2025,27-01-2025,26-03-2025,25-03-2025,29-03-2025,26-03-2025,28-02-2025,27-03-2025,27-03-2025,24-03-2025,04-03-2025,01-04-2025,02-04-2025,14-03-2025,03-03-2025,17-03-2025,08-03-2025,28-03-2025,31-03-2025,31-03-2025,28-03-2025,01-04-2025,03-04-2025,04-04-2025,25-03-2025,28-02-2025,27-03-2025,31-03-2025,28-03-2025,04-03-2025,08-04-2025,03-04-2025,03-04-2025,27-02-2025,10-03-2025,31-03-2025,01-04-2025,28-03-2025,31-03-2025,17-03-2025,13-03-2025
Ngày ký kiểm toán,31-03-2025,15-02-2025,31-03-2025,,19-03-2025,24-03-2025,20-03-2025,20-03-2025,20-02-2025,24-03-2025,19-03-2025,14-03-2025,22-02-2025,31-03-2025,28-03-2025,06-03-2025,18-02-2025,07-03-2025,24-02-2025,26-03-2025,24-03-2025,28-03-2025,26-03-2025,31-03-2025,31-03-2025,29-03-2025,21-03-2025,28-02-2025,24-03-2025,28-03-2025,22-03-2025,03-03-2025,28-03-2025,31-03-2025,31-03-2025,24-02-2025,03-03-2025,26-03-2025,30-03-2025,26-03-2025,28-03-2025,13-03-2025,07-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,104707824651,968449991540,1392685010640,42388578733114,193510686593,45847959039,697678276510,4077377193831,164800586261,41468092807,318710013496,112403774555,1146418829851,976302697513,78509555250,20555212821,132559761033,31448957214,360796526906,138023073339,256360226943,1563075262348,582910725772,1571678780451,6535366459,274167544715,359500564189,37553650065098,193144057565,395770686485,481576166654,141809888341,59693573390,4338133625165,1724545208567,2098918083779,28816119931,322687591844,7823243767471,1305769159110,5259400630531,9730868986,461759820459
I. Tiền và các khoản tương đương tiền110,10186767308,82360674791,123267648998,4558984549152,1769122018,15805630144,84618966466,420708312481,22293825286,8509862639,15256178200,5015454962,104987831098,301121593123,3094956546,4092037217,27232449843,13983627955,138606671177,2798764488,120401767164,28138394173,223779134813,545243738078,1327366459,5077222193,85191102924,2225943732075,10630222751,98235505846,182208793408,74194071108,28209029640,2743447663820,81161183093,494056303894,2869007650,221236483252,1628109095706,183487194154,497531322936,6516840041,73279893725
1. Tiền111,2186767308,82360674791,42218298802,4028730256238,1769122018,15805630144,34618966466,80708312481,17293825286,3509862639,15256178200,5015454962,68987831098,116921593123,3094956546,4092037217,11832449843,13983627955,136267728164,2798764488,117901767164,19181469561,171779134813,37488054568,1327366459,5077222193,55191102924,1877943732075,10630222751,24235505846,57835633908,74194071108,6887029640,2290510133964,31161183093,488056303894,2869007650,61236483252,1470024573912,33064786354,148868093689,6516840041,55279893725
2. Các khoản tương đương tiền112,8000000000,,81049350196,530254292914,,,50000000000,340000000000,5000000000,5000000000,,,36000000000,184200000000,,,15400000000,,2338943013,,2500000000,8956924612,52000000000,507755683510,,,30000000000,348000000000,,74000000000,124373159500,,21322000000,452937529856,50000000000,6000000000,,160000000000,158084521794,150422407800,348663229247,,18000000000
II. Đầu tư tài chính ngắn hạn120,30303145205,,2010000000,3825833411115,510000000,8549810000,550500000000,2989300000000,35000000000,9000000000,275835000000,,16001000000,33960457820,1122826,,59820000000,4146960924,133000000000,111500000000,10013714593,9124238654,121784571233,12270739727,,,10000000000,23260088671767,133643197468,171972557034,67075500000,39000000000,,60004115130,103700000000,725000000000,,,260000000,6440000000,106603556,48825000,8000000000
1. Chứng khoán kinh doanh121,,,,990000000000,,6233486639,,,,,,,,,,,,,,,1401400000,3011852,,,,,,1248322211,,,,,,,,,,,,1440800000,,460735650,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,-386800000000,,-683676639,,,,,,,,,,,,,,,-372843000,-2470052,,,,,,-920681738,,,,,,,,,,,,-1440800000,,-411910650,
3. Đầu tư nắm giữ đến ngày đáo hạn123,30303145205,,2010000000,3222633411115,510000000,3000000000,550500000000,2989300000000,35000000000,9000000000,275835000000,,16001000000,33960457820,1122826,,59820000000,4146960924,133000000000,111500000000,8985157593,9123696854,121784571233,12270739727,,,10000000000,23259761031294,133643197468,171972557034,67075500000,39000000000,,60004115130,103700000000,725000000000,,,260000000,6440000000,106603556,,8000000000
III. Các khoản phải thu ngắn hạn130,63739662242,64570831150,704697112104,31756528415194,188287238110,21421167664,21294643934,360531392858,94210723233,22029359817,14071501089,72796223150,696990547424,524739618892,71544348202,9272213875,40201379349,4687098442,19062057194,14395416348,123829270368,1004869247737,232419782196,912645076721,5208000000,48411118083,259548764000,6233758612009,7295321226,96681229817,228594503873,3506229732,10252671297,868882163080,1435611092227,617821170561,10863259962,94167565565,2796243273963,907207269848,1787187062077,2574186974,264517294829
1. Phải thu ngắn hạn của khách hàng131,45000000,66098253058,381803344080,16307711509124,74156684964,536893200,6340680642,212957874264,72483568552,16481895625,9588536272,68371000855,395462048461,404257621340,96820611618,9165221187,40913756311,4096252194,11074002063,1674702150,118103361159,696752987290,114225161102,304672699664,,4734998643,267566341972,4793132726166,66272970833,83343586013,217044872807,1899192078,11501916707,527815412877,52438684778,199443114511,1586505106,77805880086,1784762702894,177308284490,179433940407,1980010339,315707356680
2. Trả trước cho người bán ngắn hạn132,50250000,1731717489,144525413137,769368218015,8023090639,23461005,2230293518,55078818716,1053019892,245707000,2029368700,74627633,111085369201,17931947382,9011768064,104230000,3840975818,64346520,1861167936,6856255,5007127375,151015401645,1373516739,144362947972,,35277415271,853273822,566479222775,985832468,1107851232,12265328921,192290000,1564831000,180710081402,490781252,282269660213,9276754856,6167425239,857360315771,2355648717,134673119861,516188174,3154879742
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,7218721793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,1035552453293,2590000000,2000000000,,,,,,,21812797157,,,,,,,10000000000,,200000000,50000000000,98682000000,,6130000000,,,251475750,,,,,,1325000000000,,,,,184359297657,522736736121,,
6. Phải thu ngắn hạn khác136,63644412242,8168374733,205038423383,13871261516662,167041052509,19197706659,12723669774,98189135545,33640283226,5349964192,3775821140,4350594662,203948889590,206275405076,4557318260,2762688,3374831357,526499728,15628579048,2713857943,10820762363,204342624651,71158350253,370749454254,7899000000,12424891432,2238916006,896479529747,4485541030,14379112576,10028114616,1414747654,4454169129,241602705829,57681626197,204005233581,,10932479955,206002656675,543308303984,1010767069325,293643011,8099114296
7. Dự phòng phải thu ngắn hạn khó đòi137,,-11427514130,-34362987625,-227365281900,-63523590002,-336893200,,-5694435667,-12966148437,-48207000,-1322225023,,-35318556985,-103757540881,-39013558166,,-7928184137,,-9501691853,,-10101980529,-47441765849,-4337245898,-5822025169,-2691000000,-10156187263,-11109767800,-22332866679,-64700498855,-2149320004,-10743812471,,-7268245539,-81246037028,,-67896837744,,-738219715,-51882401377,-124265000,-60423803637,-215654550,-62444055889
8. Tài sản thiếu chờ xử lý139,,,474197336,,,,,,,,,,,32185975,168208426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho140,,702876595366,534157607450,2005435760243,2937768826,40213945,41260630630,259498755477,,325897317,11984240966,33652794240,327921295100,84863827274,2820830024,2779023120,3044847019,,39930054145,9328892503,1585623442,380302146822,2428897157,7547125004,,219068130183,,5686840161996,32363200957,9093861880,,22141244047,19444138888,47112068827,48412323860,105227111466,10648169690,6779350589,3357257906998,203999623968,2946725609428,33157271,105924474575
1. Hàng tồn kho141,,718350858927,535145349213,2005435760243,2937768826,40213945,41260630630,264793078934,,325897317,11984240966,33652794240,327921295100,89806109642,2820830024,2779023120,3044847019,,39930054145,11315385007,1585623442,380304708069,2428897157,7547125004,,219068130183,,5723932310689,41326692352,9093861880,,22141244047,21334861658,48172751852,48412323860,105227111466,10648169690,6779350589,3357257906998,206526688561,2959708271296,33157271,109786716726
2. Dự phòng giảm giá hàng tồn kho 149,,-15474263561,-987741763,,,,,-5294323457,,,,,,-4942282368,,,,,,-1986492504,,-2561247,,,,,,-37092148693,-8963491395,,,,-1890722770,-1060683025,,,,,,-2527064593,-12982661868,,-3862242151
