Mã CK,VPW,VQC,VRC,VRE,VRG,VSA,VSC,VSE,VSF,VSG,VSH,VSI,VSM,VSN,VST,VTA,VTB,VTC,VTD,VTE,VTG,VTH,VTI,VTJ,VTK,VTL,VTM,VTO,VTP,VTQ,VTR,VTS,VTV,VTX,VTZ,VVN,VVS,VW3,VWS,VXP,VXT,WCS,WSB,WTC,X20,X26,X77
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,VACO,AASC,A&C,Deloitte,AISC,UHY,PWC,IAV,CPA VIETNAM,A&C,EY,,AAC,PWC,AASC,CPA VIETNAM,UHY,AISC,A&C,AASC,AFC,A&C,AnViet,AFC,AASC,NVT,AFC,KPMG,Deloitte,iCPA,AFC,AASC,AnViet,EY,iCPA,CPA VIETNAM,AASC,AnViet,VACO,VAE,AASC,AFC,KPMG,BDO,VAE,VAE,iCPA
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ
Ngày công bố báo cáo,26-03-2025,08-03-2025,31-03-2025,31-03-2025,12-03-2025,25-03-2025,20-03-2025,03-04-2025,20-03-2025,31-03-2025,02-04-2025,06-02-2025,06-03-2025,19-03-2025,07-03-2025,17-03-2025,05-03-2025,20-03-2025,04-04-2025,18-03-2025,02-04-2025,31-03-2025,31-03-2025,31-03-2025,07-03-2025,02-04-2025,21-03-2025,02-04-2025,31-03-2025,02-04-2025,02-04-2025,20-02-2025,20-03-2025,03-04-2025,02-04-2025,02-04-2025,26-03-2025,16-01-2025,17-03-2025,25-04-2025,03-04-2025,28-02-2025,14-03-2025,08-04-2025,25-03-2025,02-04-2025,25-03-2025
Ngày ký kiểm toán,20-03-2025,03-03-2025,29-03-2025,28-03-2025,10-03-2025,03-03-2025,19-03-2025,21-03-2025,11-03-2025,25-03-2025,04-03-2025,,25-02-2025,13-03-2025,24-02-2025,10-03-2025,03-03-2025,17-03-2025,26-03-2025,10-03-2025,27-03-2025,24-03-2025,26-03-2025,25-03-2025,05-03-2025,27-03-2025,14-03-2025,24-03-2025,26-03-2025,30-03-2025,28-03-2025,14-02-2025,11-03-2025,26-03-2025,30-03-2025,27-03-2025,20-03-2025,08-01-2025,14-03-2025,31-03-2025,24-03-2025,17-02-2025,07-03-2025,25-03-2025,14-03-2025,19-03-2025,24-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,89310753931,88944939943,1250528425539,12312424000000,405188890643,484055472785,1811557308602,111946629125,2825630455863,95063975813,1099736290561,242946545663,77429860088,1720654095187,208182413368,62160038450,127582420937,237987530893,158230269930,303104609553,137705861190,398561244430,342724247,14933426271,178093539920,20377422215,58230558963,1085758815951,4728456491813,35371642036,2522808555903,12999261917,739656199925,69882157635,2180353194258,2703190923057,2278074602365,120993027366,69209088485,83085088439,80027980493,273541568116,558161590615,174531648559,498601724905,579896879628,3108613822
