Mã CK,XDH,XHC,XLV,XMC,XMD,XMP,XPH,YBC,YBM,YEG,YTC,ABA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,VAE,RSM,A&C,NVA,NVA,AASC,AVA,NVT,A&C,EY,A&C,
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,
Ngày công bố báo cáo,03-04-2025,04-04-2025,26-03-2025,03-04-2025,14-03-2025,05-03-2025,27-02-2025,02-04-2025,29-03-2025,31-03-2025,18-03-2025,02-04-2025
Ngày ký kiểm toán,29-03-2025,02-04-2025,21-03-2025,29-03-2025,10-03-2025,24-02-2025,24-02-2025,28-03-2025,29-03-2025,31-03-2025,15-03-2025,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,477905952149,473367689438,149044492713,2229060228460,62522014725,11927286540,40049592624,686908399703,316019111793,1305306889451,894893244341,117629040304
I. Tiền và các khoản tương đương tiền110,38174754287,32823739526,12981157643,76283760495,2892642423,1774919107,1761233129,7092360388,5375147510,136236074178,84908650628,7173378539
1. Tiền111,18174754287,15400549526,12981157643,65283760495,2892642423,1774919107,1761233129,7092360388,5375147510,125344482100,29908650628,7173378539
2. Các khoản tương đương tiền112,20000000000,17423190000,,11000000000,,,,,,10891592078,55000000000,
II. Đầu tư tài chính ngắn hạn120,,,,4041088500,,,16000000000,,5000000000,1230000000,41821739512,1157670959
1. Chứng khoán kinh doanh121,,,,41088500,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,,4000000000,,,16000000000,,5000000000,1230000000,41821739512,1157670959
III. Các khoản phải thu ngắn hạn130,123709676382,265871957975,97577156438,993309289907,40761005906,8061825567,4849587544,400721920786,158950741084,1101930451740,653419438384,85160114550
1. Phải thu ngắn hạn của khách hàng131,80535770816,80481717630,88338323818,1008283801671,40971468804,7680599967,13510913249,372802519043,140302636107,351157857253,132950236343,84608900823
2. Trả trước cho người bán ngắn hạn132,27402330555,187113654076,3076574210,145366969140,58147200,54000000,1644547127,29090958428,17349531861,353377447486,7828888782,692316193
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,17765000000,,,,,,355269960018,,
6. Phải thu ngắn hạn khác136,19373246987,4643424127,6162258410,96956536407,1563053642,327225600,5474933925,6768565487,3616299698,113140517320,533260183423,1874645203
7. Dự phòng phải thu ngắn hạn khó đòi137,-3601671976,-6779926310,,-275063017311,-1831663740,,-15780806757,-7940122172,-2317726582,-71015330337,-20619870164,-2015747669
8. Tài sản thiếu chờ xử lý139,,413088452,,,,,,,,,,
