Mã CK,ALC,AnPhu
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Công ty mẹ
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,EY,AASCS
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,26-03-2025,02-04-2025
Ngày ký kiểm toán,14-03-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,
TÀI SẢN,,
A. TÀI SẢN NGẮN HẠN100,1169039061998,54202057534
I. Tiền và các khoản tương đương tiền110,785551568552,3238997681
1. Tiền111,115655568552,3238997681
2. Các khoản tương đương tiền112,669896000000,
II. Đầu tư tài chính ngắn hạn120,194333600000,
1. Chứng khoán kinh doanh121,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,194333600000,
III. Các khoản phải thu ngắn hạn130,74116410874,39832637081
1. Phải thu ngắn hạn của khách hàng131,71665509865,772604465
2. Trả trước cho người bán ngắn hạn132,1641925605,
3. Phải thu nội bộ ngắn hạn133,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,
5. Phải thu về cho vay ngắn hạn135,,24000000000
6. Phải thu ngắn hạn khác136,3065180763,79887565616
7. Dự phòng phải thu ngắn hạn khó đòi137,-2256205359,-64827533000
8. Tài sản thiếu chờ xử lý139,,
IV. Hàng tồn kho140,94998939474,
1. Hàng tồn kho141,94998939474,
2. Dự phòng giảm giá hàng tồn kho 149,,
V. Tài sản ngắn hạn khác150,20038543098,11130422772
1. Chi phí trả trước ngắn hạn151,2839465944,8281139
2. Thuế GTGT còn được khấu trừ152,17199077154,56731394
3. Thuế và các khoản khác phải thu của nhà nước153,,11065410239
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,
5. Tài sản ngắn hạn khác155,,
B. TÀI SẢN DÀI HẠN200,1101196891765,1117319652496
I. Các khoản phải thu dài hạn210,143966624600,118196822384
1. Phải thu dài hạn của khách hàng211,,
2. Trả trước cho người bán dài hạn212,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,
4. Phải thu nội bộ dài hạn214,,
5. Phải thu về cho vay dài hạn215,,
6. Phải thu dài hạn khác216,143966624600,118196822384
7. Dự phòng phải thu dài hạn khó đòi219,,
II. Tài sản cố định220,885374429089,
1. Tài sản cố định hữu hình221,885374429089,
- Nguyên giá222,2158415827318,816308650
- Giá trị hao mòn lũy kế 223,-1273041398229,-816308650
2. Tài sản cố định thuê tài chính224,,
- Nguyên giá225,,
- Giá trị hao mòn lũy kế 226,,
3. Tài sản cố định vô hình227,,
- Nguyên giá228,649500000,1320677377
- Giá trị hao mòn lũy kế 229,-649500000,-1320677377
III. Bất động sản đầu tư230,,
- Nguyên giá231,,
- Giá trị hao mòn lũy kế232,,
IV. Tài sản dở dang dài hạn240,7740453072,81640086157
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,81640086157
2. Chi phí xây dựng cơ bản dở dang242,7740453072,
V. Đầu tư tài chính dài hạn250,700000000,917480992000
1. Đầu tư vào công ty con251,,878570100000
"2. Đầu tư vào công ty liên kết, liên doanh252",,
3. Đầu tư góp vốn vào đơn vị khác253,2120000000,113966987470
4. Dự phòng đầu tư tài chính dài hạn254,-1420000000,-75056095470
5. Đầu tư nắm giữ đến ngày đáo hạn255,,
6. Đầu tư dài hạn khác,,
VI. Tài sản dài hạn khác260,63415385004,1751955
1. Chi phí trả trước dài hạn261,63415385004,1751955
2. Tài sản thuế thu nhập hoãn lại262,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,
4. Tài sản dài hạn khác268,,
5. Lợi thế thương mại,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,
TỔNG CỘNG TÀI SẢN280,2270235953763,1171521710030
NGUỒN VỐN,,
A. NỢ PHẢI TRẢ300,868855643052,48200479025
I. Nợ ngắn hạn310,419049113052,47316959128
1. Phải trả người bán ngắn hạn311,16220957914,
2. Người mua trả tiền trước ngắn hạn312,,8000000
3. Thuế và các khoản phải nộp Nhà nước313,66493122790,68711602
4. Phải trả người lao động314,2989000000,
5. Chi phí phải trả ngắn hạn315,3240821254,
6. Phải trả nội bộ ngắn hạn316,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,
8. Doanh thu chưa thực hiện ngắn hạn318,,
9. Phải trả ngắn hạn khác319,20557738988,43340510176
10. Vay và nợ thuê tài chính ngắn hạn320,286666905920,
11. Dự phòng phải trả ngắn hạn321,,
12. Quỹ khen thưởng phúc lợi322,22880566186,3899737350
13. Quỹ bình ổn giá323,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,
II. Nợ dài hạn 330,449806530000,883519897
1. Phải trả người bán dài hạn331,,
2. Người mua trả tiền trước dài hạn332,,
3. Chi phí phải trả dài hạn333,,
4. Phải trả nội bộ về vốn kinh doanh334,,
5. Phải trả nội bộ dài hạn335,,
6. Doanh thu chưa thực hiện dài hạn336,,
7. Phải trả dài hạn khác337,,883519897
8. Vay và nợ thuê tài chính dài hạn338,449806530000,
9. Trái phiếu chuyển đổi339,,
10. Cổ phiếu ưu đãi (Nợ)340,,
11. Thuế thu nhập hoãn lại phải trả341,,
12. Dự phòng phải trả dài hạn342,,
13. Quỹ phát triển khoa học và công nghệ343,,
14. Dự phòng trợ cấp mất việc làm,,
B. VỐN CHỦ SỞ HỮU400,1401380310711,1123321231005
I. Vốn chủ sở hữu410,1401380310711,1123321231005
1. Vốn góp của chủ sở hữu411,564706200000,1217302090000
- Cổ phiếu phổ thông có quyền biểu quyết411a,564706200000,1217302090000
- Cổ phiếu ưu đãi411b,,
2. Thặng dư vốn cổ phần412,254725820000,27722591500
3. Quyền chọn chuyển đổi trái phiếu413,,
4. Vốn khác của chủ sở hữu414,,
5. Cổ phiếu quỹ (*)415,-64308111200,
6. Chênh lệch đánh giá lại tài sản416,,
7. Chênh lệch tỷ giá hối đoái417,,16612237400
8. Quỹ đầu tư phát triển418,131504390290,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,
11. Lợi nhuận sau thuế chưa phân phối421,514752011621,-138315687895
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,295896268383,-152234659795
- LNST chưa phân phối kỳ này421b,218855743238,13918971900
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,,
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,
1. Nguồn kinh phí431,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,2270235953763,1171521710030
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,1555505269939,7684564705
2. Các khoản giảm trừ doanh thu02,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,1555505269939,7684564705
4. Giá vốn hàng bán 11,1126936418806,5282824236
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,428568851133,2401740469
6. Doanh thu hoạt động tài chính21,42657210803,20785555129
7. Chi phí tài chính 22,74420240142,-6132091000
Trong đó :Chi phí lãi vay23,67093609326,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,
9. Chi phí bán hàng25,19042166950,
10. Chi phí quản lý doanh nghiệp26,50008516094,7727772759
11. Lợi nhuận thuần từ hoạt động kinh doanh30,327755138750,21591613839
12. Thu nhập khác31,3522623169,
13. Chi phí khác32,5711738569,207408
14. Lợi nhuận khác40,-2189115400,-207408
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,325566023350,21591406431
16. Chi phí thuế TNDN hiện hành51,64629854835,7672434531
17. Chi phí thuế TNDN hoãn lại52,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,260936168515,13918971900
Lợi ích của cổ đông thiểu số,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,260936168515,13918971900
19. Lãi cơ bản trên cổ phiếu,4739,114
20. Lãi suy giảm trên cổ phiếu71,4739,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,325566023350,
