Mã CK,CBV,ChipSang
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AISC,AASC
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần
Ngày công bố báo cáo,26-03-2025,27-03-2025
Ngày ký kiểm toán,08-03-2025,20-03-2025
CÂN ĐỐI KẾ TOÁNMS,,
TÀI SẢN,,
A. TÀI SẢN NGẮN HẠN100,621420663560,40507262482
I. Tiền và các khoản tương đương tiền110,91693743053,1496483771
1. Tiền111,40693743053,1496483771
2. Các khoản tương đương tiền112,51000000000,
II. Đầu tư tài chính ngắn hạn120,208500000000,36692057758
1. Chứng khoán kinh doanh121,,2005433675
2. Dự phòng giảm giá chứng khoán kinh doanh122,,-66426150
3. Đầu tư nắm giữ đến ngày đáo hạn123,208500000000,34753050233
III. Các khoản phải thu ngắn hạn130,177988170942,2155328434
1. Phải thu ngắn hạn của khách hàng131,96096636616,2726813001
2. Trả trước cho người bán ngắn hạn132,2204779500,80695090
3. Phải thu nội bộ ngắn hạn133,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,
5. Phải thu về cho vay ngắn hạn135,75532175104,1760000000
6. Phải thu ngắn hạn khác136,4154579722,4026338107
7. Dự phòng phải thu ngắn hạn khó đòi137,,-6438517764
8. Tài sản thiếu chờ xử lý139,,
IV. Hàng tồn kho140,142521214310,
1. Hàng tồn kho141,142521214310,
2. Dự phòng giảm giá hàng tồn kho 149,,
V. Tài sản ngắn hạn khác150,717535255,163392519
1. Chi phí trả trước ngắn hạn151,621185656,22460499
2. Thuế GTGT còn được khấu trừ152,,140932020
3. Thuế và các khoản khác phải thu của nhà nước153,96349599,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,
5. Tài sản ngắn hạn khác155,,
B. TÀI SẢN DÀI HẠN200,112868062356,48373107262
I. Các khoản phải thu dài hạn210,8807185000,4500000
1. Phải thu dài hạn của khách hàng211,,
2. Trả trước cho người bán dài hạn212,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,
4. Phải thu nội bộ dài hạn214,,
5. Phải thu về cho vay dài hạn215,,
6. Phải thu dài hạn khác216,8807185000,4500000
7. Dự phòng phải thu dài hạn khó đòi219,,
II. Tài sản cố định220,57118890607,
1. Tài sản cố định hữu hình221,55054512610,
- Nguyên giá222,105726132546,188882984
- Giá trị hao mòn lũy kế 223,-50671619936,-188882984
2. Tài sản cố định thuê tài chính224,,
- Nguyên giá225,,
- Giá trị hao mòn lũy kế 226,,
3. Tài sản cố định vô hình227,2064377997,
- Nguyên giá228,2474378001,57600000
- Giá trị hao mòn lũy kế 229,-410000004,-57600000
III. Bất động sản đầu tư230,,
- Nguyên giá231,,
- Giá trị hao mòn lũy kế232,,
IV. Tài sản dở dang dài hạn240,9531029511,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,
2. Chi phí xây dựng cơ bản dở dang242,9531029511,
V. Đầu tư tài chính dài hạn250,31196628400,48095188802
1. Đầu tư vào công ty con251,19600000000,
"2. Đầu tư vào công ty liên kết, liên doanh252",,57847188802
3. Đầu tư góp vốn vào đơn vị khác253,11596628400,1000000000
4. Dự phòng đầu tư tài chính dài hạn254,,-10752000000
5. Đầu tư nắm giữ đến ngày đáo hạn255,,
6. Đầu tư dài hạn khác,,
VI. Tài sản dài hạn khác260,6214328838,273418460
1. Chi phí trả trước dài hạn261,6214328838,273418460
2. Tài sản thuế thu nhập hoãn lại262,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,
4. Tài sản dài hạn khác268,,
5. Lợi thế thương mại,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,
TỔNG CỘNG TÀI SẢN280,734288725916,88880369744
NGUỒN VỐN,,
A. NỢ PHẢI TRẢ300,121575478044,6017209009
I. Nợ ngắn hạn310,121575478044,6017209009
1. Phải trả người bán ngắn hạn311,83300923288,458847658
2. Người mua trả tiền trước ngắn hạn312,3272504818,79626808
3. Thuế và các khoản phải nộp Nhà nước313,3132471890,974425646
4. Phải trả người lao động314,6049591000,99422246
5. Chi phí phải trả ngắn hạn315,2843659282,339186428
6. Phải trả nội bộ ngắn hạn316,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,
8. Doanh thu chưa thực hiện ngắn hạn318,,277533867
9. Phải trả ngắn hạn khác319,22976327766,3514800083
10. Vay và nợ thuê tài chính ngắn hạn320,,
11. Dự phòng phải trả ngắn hạn321,,
12. Quỹ khen thưởng phúc lợi322,,273366273
13. Quỹ bình ổn giá323,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,
II. Nợ dài hạn 330,,
1. Phải trả người bán dài hạn331,,
2. Người mua trả tiền trước dài hạn332,,
3. Chi phí phải trả dài hạn333,,
4. Phải trả nội bộ về vốn kinh doanh334,,
5. Phải trả nội bộ dài hạn335,,
6. Doanh thu chưa thực hiện dài hạn336,,
7. Phải trả dài hạn khác337,,
8. Vay và nợ thuê tài chính dài hạn338,,
9. Trái phiếu chuyển đổi339,,
10. Cổ phiếu ưu đãi (Nợ)340,,
11. Thuế thu nhập hoãn lại phải trả341,,
12. Dự phòng phải trả dài hạn342,,
13. Quỹ phát triển khoa học và công nghệ343,,
14. Dự phòng trợ cấp mất việc làm,,
B. VỐN CHỦ SỞ HỮU400,612713247872,82863160735
I. Vốn chủ sở hữu410,612713247872,82863160735
1. Vốn góp của chủ sở hữu411,120000000000,80290800000
- Cổ phiếu phổ thông có quyền biểu quyết411a,120000000000,80290800000
- Cổ phiếu ưu đãi411b,,
2. Thặng dư vốn cổ phần412,2768022,374000000
3. Quyền chọn chuyển đổi trái phiếu413,,
4. Vốn khác của chủ sở hữu414,,
5. Cổ phiếu quỹ (*)415,,-11140610000
6. Chênh lệch đánh giá lại tài sản416,,
7. Chênh lệch tỷ giá hối đoái417,,
8. Quỹ đầu tư phát triển418,,581849623
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,11984480
11. Lợi nhuận sau thuế chưa phân phối421,492710479850,13370905196
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,455706986208,2055837460
- LNST chưa phân phối kỳ này421b,37003493642,11315067736
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,,-625768564
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,
1. Nguồn kinh phí431,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,734288725916,88880369744
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,750807174802,10540640995
2. Các khoản giảm trừ doanh thu02,6041708082,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,744765466720,10540640995
4. Giá vốn hàng bán 11,606718258736,7598076168
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,138047207984,2942564827
6. Doanh thu hoạt động tài chính21,19067595831,8708087903
7. Chi phí tài chính 22,4493038085,66426150
Trong đó :Chi phí lãi vay23,881563430,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,2743584800
9. Chi phí bán hàng25,89753842204,22785813
10. Chi phí quản lý doanh nghiệp26,24301881180,2400061155
11. Lợi nhuận thuần từ hoạt động kinh doanh30,38566042346,11904964412
12. Thu nhập khác31,921581660,32631960
13. Chi phí khác32,495445490,2517369
14. Lợi nhuận khác40,426136170,30114591
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,38992178516,11935079003
16. Chi phí thuế TNDN hiện hành51,1988684874,620068874
17. Chi phí thuế TNDN hoãn lại52,,
