Mã CK,CDP,CDR,CEN,CEO,CET,CFM,CFV,CGV,CH5,CHC,CHP,CHS,CI5,CIA,CID,CIG,CII,CIP,CJC,CK8,CKA,CKD,CKG,CKV,CLC,CLH,CLL,CLM,CLW,CLX,CMC,CMD,CMF,CMG,CMI,CMK,CMM,CMN,CMP,CMS,CMT,CMV,CMW,CMX,CNA,CNC,CNG,CNN,CNT
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,EY,AASC,CPA VIETNAM,VAE,AASCS,BDO,AFC,AFC,AISC,AASC,AFA,AASC,CPA VIETNAM,AASC,AnViet,NVA,iCPA,CPA VIETNAM,AAC,AASC,iCPA,iCPA,AFC,CPA VIETNAM,UHY,BDO,A&C,AFC,UHY,A&C,AAC,NVT,Deloitte,,VAE,AASC,A&C,AASC,Vietvalues,A&C,NVA,Vietvalues,A&C,A&C,NVT,EY,PWC,iCPA,AISC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần
Ngày công bố báo cáo,25-03-2025,10-04-2025,11-03-2025,27-03-2025,02-04-2025,24-03-2025,28-03-2025,19-03-2025,12-03-2025,26-02-2025,27-03-2025,01-04-2025,02-04-2025,20-03-2025,19-03-2025,29-03-2025,05-03-2025,02-04-2025,02-04-2025,31-03-2025,02-04-2025,21-03-2025,31-03-2025,18-03-2025,21-03-2025,04-03-2025,27-02-2025,02-04-2025,26-03-2025,19-03-2025,02-04-2025,27-03-2025,27-03-2025,29-04-2025,08-04-2025,14-03-2025,02-04-2025,02-04-2025,25-02-2025,28-02-2025,03-04-2025,21-03-2025,14-03-2025,31-03-2025,24-03-2025,18-03-2025,19-02-2025,02-04-2025,28-03-2025
Ngày ký kiểm toán,24-03-2025,26-03-2025,06-03-2025,15-03-2025,28-03-2025,14-03-2025,17-03-2025,10-03-2025,04-03-2025,19-02-2025,17-03-2025,31-03-2025,27-03-2025,08-03-2025,12-03-2025,28-03-2025,03-03-2025,26-03-2025,27-03-2025,25-03-2025,27-03-2025,12-03-2025,29-03-2025,10-03-2025,12-03-2025,24-02-2025,19-02-2025,25-03-2025,25-03-2025,08-03-2025,28-03-2025,24-03-2025,25-03-2025,,26-03-2025,12-03-2025,27-03-2025,27-03-2025,15-02-2025,24-02-2025,27-03-2025,20-03-2025,06-03-2025,29-03-2025,18-03-2025,12-03-2025,13-02-2025,25-03-2025,18-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1933714163459,86775776519,103690592569,4991254141661,22402279988,3854689299,182160001191,14723130829,180644169866,72026349972,525485984379,442642223184,58728012340,285504540093,12260769494,343307224332,8549165025508,241555151269,227739089045,22149711910,146931474725,986083883654,4071643798238,150031762168,1841282095680,210022921582,402904884447,1267701649454,262361252353,258662602309,112194627891,310440147048,1040923813166,3835117636778,135435344000,85822006946,2379685885242,281025004441,148190945247,504403213466,422825732588,385417022612,56289400572,2675381107467,25070803571,266706917444,1125717237894,575462220211,779581720069
