Mã CK,DFS
Kỳ/năm,Năm/2024
Trạng thái hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán
Công ty kiểm toán,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần
Ngày công bố báo cáo,24-03-2025
Ngày ký kiểm toán,17-02-2025
CÂN ĐỐI KẾ TOÁNMS,
TÀI SẢN,
A. TÀI SẢN NGẮN HẠN100,118061870868
I. Tiền và các khoản tương đương tiền110,4520024273
1. Tiền111,4520024273
2. Các khoản tương đương tiền112,
II. Đầu tư tài chính ngắn hạn120,
1. Chứng khoán kinh doanh121,
2. Dự phòng giảm giá chứng khoán kinh doanh122,
3. Đầu tư nắm giữ đến ngày đáo hạn123,
III. Các khoản phải thu ngắn hạn130,54959253309
1. Phải thu ngắn hạn của khách hàng131,55302653899
2. Trả trước cho người bán ngắn hạn132,934217450
3. Phải thu nội bộ ngắn hạn133,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,
5. Phải thu về cho vay ngắn hạn135,
6. Phải thu ngắn hạn khác136,1053736700
7. Dự phòng phải thu ngắn hạn khó đòi137,-2331354740
8. Tài sản thiếu chờ xử lý139,
IV. Hàng tồn kho140,53504968401
1. Hàng tồn kho141,53505905524
2. Dự phòng giảm giá hàng tồn kho 149,-937123
V. Tài sản ngắn hạn khác150,5077624885
1. Chi phí trả trước ngắn hạn151,249040754
2. Thuế GTGT còn được khấu trừ152,3824541345
3. Thuế và các khoản khác phải thu của nhà nước153,1004042786
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,
5. Tài sản ngắn hạn khác155,
B. TÀI SẢN DÀI HẠN200,92721512348
I. Các khoản phải thu dài hạn210,
1. Phải thu dài hạn của khách hàng211,
2. Trả trước cho người bán dài hạn212,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,
4. Phải thu nội bộ dài hạn214,
5. Phải thu về cho vay dài hạn215,
6. Phải thu dài hạn khác216,
7. Dự phòng phải thu dài hạn khó đòi219,
II. Tài sản cố định220,27338048060
1. Tài sản cố định hữu hình221,27230548061
- Nguyên giá222,175908858570
- Giá trị hao mòn lũy kế 223,-148678310509
2. Tài sản cố định thuê tài chính224,
- Nguyên giá225,
- Giá trị hao mòn lũy kế 226,
3. Tài sản cố định vô hình227,107499999
- Nguyên giá228,515000000
- Giá trị hao mòn lũy kế 229,-407500001
III. Bất động sản đầu tư230,
- Nguyên giá231,
- Giá trị hao mòn lũy kế232,
IV. Tài sản dở dang dài hạn240,374231314
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",
2. Chi phí xây dựng cơ bản dở dang242,374231314
V. Đầu tư tài chính dài hạn250,64547752817
1. Đầu tư vào công ty con251,
"2. Đầu tư vào công ty liên kết, liên doanh252",3021057014
3. Đầu tư góp vốn vào đơn vị khác253,61526695803
4. Dự phòng đầu tư tài chính dài hạn254,
5. Đầu tư nắm giữ đến ngày đáo hạn255,
6. Đầu tư dài hạn khác,
VI. Tài sản dài hạn khác260,461480157
1. Chi phí trả trước dài hạn261,461480157
2. Tài sản thuế thu nhập hoãn lại262,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",
4. Tài sản dài hạn khác268,
5. Lợi thế thương mại,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,
TỔNG CỘNG TÀI SẢN280,210783383216
NGUỒN VỐN,
