Mã CK,DuocNamHa
Kỳ/năm,Năm/2024
Trạng thái hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán
Công ty kiểm toán,EY
Ý kiến kiểm toán,Chấp nhận toàn phần
Ngày công bố báo cáo,02-04-2025
Ngày ký kiểm toán,31-03-2025
CÂN ĐỐI KẾ TOÁNMS,
TÀI SẢN,
A. TÀI SẢN NGẮN HẠN100,642110338259
I. Tiền và các khoản tương đương tiền110,84406238460
1. Tiền111,36406238460
2. Các khoản tương đương tiền112,48000000000
II. Đầu tư tài chính ngắn hạn120,89500000000
1. Chứng khoán kinh doanh121,
2. Dự phòng giảm giá chứng khoán kinh doanh122,
3. Đầu tư nắm giữ đến ngày đáo hạn123,89500000000
III. Các khoản phải thu ngắn hạn130,218262821439
1. Phải thu ngắn hạn của khách hàng131,185276710291
2. Trả trước cho người bán ngắn hạn132,31444233078
3. Phải thu nội bộ ngắn hạn133,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,
5. Phải thu về cho vay ngắn hạn135,
6. Phải thu ngắn hạn khác136,4670026291
7. Dự phòng phải thu ngắn hạn khó đòi137,-3128148221
8. Tài sản thiếu chờ xử lý139,
IV. Hàng tồn kho140,241534183158
1. Hàng tồn kho141,246416591294
2. Dự phòng giảm giá hàng tồn kho 149,-4882408136
V. Tài sản ngắn hạn khác150,8407095202
1. Chi phí trả trước ngắn hạn151,1102544529
2. Thuế GTGT còn được khấu trừ152,4408191605
3. Thuế và các khoản khác phải thu của nhà nước153,2896359068
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,
5. Tài sản ngắn hạn khác155,
B. TÀI SẢN DÀI HẠN200,317407619503
I. Các khoản phải thu dài hạn210,40852480
1. Phải thu dài hạn của khách hàng211,
2. Trả trước cho người bán dài hạn212,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,
4. Phải thu nội bộ dài hạn214,
5. Phải thu về cho vay dài hạn215,
6. Phải thu dài hạn khác216,40852480
7. Dự phòng phải thu dài hạn khó đòi219,
II. Tài sản cố định220,282769338630
1. Tài sản cố định hữu hình221,235836031733
- Nguyên giá222,601517852529
- Giá trị hao mòn lũy kế 223,-365681820796
2. Tài sản cố định thuê tài chính224,135000000
- Nguyên giá225,135000000
- Giá trị hao mòn lũy kế 226,
3. Tài sản cố định vô hình227,46798306897
- Nguyên giá228,57024308260
- Giá trị hao mòn lũy kế 229,-10226001363
III. Bất động sản đầu tư230,
- Nguyên giá231,
- Giá trị hao mòn lũy kế232,
IV. Tài sản dở dang dài hạn240,23329876846
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",
2. Chi phí xây dựng cơ bản dở dang242,23329876846
V. Đầu tư tài chính dài hạn250,
1. Đầu tư vào công ty con251,
"2. Đầu tư vào công ty liên kết, liên doanh252",
3. Đầu tư góp vốn vào đơn vị khác253,
4. Dự phòng đầu tư tài chính dài hạn254,
5. Đầu tư nắm giữ đến ngày đáo hạn255,
6. Đầu tư dài hạn khác,
VI. Tài sản dài hạn khác260,11267551547
1. Chi phí trả trước dài hạn261,11267551547
2. Tài sản thuế thu nhập hoãn lại262,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",
4. Tài sản dài hạn khác268,
5. Lợi thế thương mại,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,
