Mã CK,FPC,FTV
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AISC,IAV
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến
Ngày công bố báo cáo,08-04-2025,01-04-2025
Ngày ký kiểm toán,28-03-2025,30-03-2025
CÂN ĐỐI KẾ TOÁNMS,,
TÀI SẢN,,
A. TÀI SẢN NGẮN HẠN100,7492764065,1009806169048
I. Tiền và các khoản tương đương tiền110,2756488582,10959167669
1. Tiền111,256488582,10959167669
2. Các khoản tương đương tiền112,2500000000,
II. Đầu tư tài chính ngắn hạn120,3200000000,6828242428
1. Chứng khoán kinh doanh121,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,3200000000,6828242428
III. Các khoản phải thu ngắn hạn130,59280153,731671246472
1. Phải thu ngắn hạn của khách hàng131,14461651423,147858022238
2. Trả trước cho người bán ngắn hạn132,27185886257,5065483159
3. Phải thu nội bộ ngắn hạn133,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,
5. Phải thu về cho vay ngắn hạn135,,
6. Phải thu ngắn hạn khác136,192574305266,240457566
7. Dự phòng phải thu ngắn hạn khó đòi137,-234162562793,-36417867936
8. Tài sản thiếu chờ xử lý139,,614925151445
IV. Hàng tồn kho140,,258166754100
1. Hàng tồn kho141,,290920866916
2. Dự phòng giảm giá hàng tồn kho 149,,-32754112816
V. Tài sản ngắn hạn khác150,1476995330,2180758379
1. Chi phí trả trước ngắn hạn151,51600000,
2. Thuế GTGT còn được khấu trừ152,1215610215,2180758379
3. Thuế và các khoản khác phải thu của nhà nước153,209785115,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,
5. Tài sản ngắn hạn khác155,,
B. TÀI SẢN DÀI HẠN200,580045685,273986101160
I. Các khoản phải thu dài hạn210,,
1. Phải thu dài hạn của khách hàng211,,
2. Trả trước cho người bán dài hạn212,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,
4. Phải thu nội bộ dài hạn214,,
5. Phải thu về cho vay dài hạn215,,
6. Phải thu dài hạn khác216,1177500800,
7. Dự phòng phải thu dài hạn khó đòi219,-1177500800,
II. Tài sản cố định220,,225054443684
1. Tài sản cố định hữu hình221,,224553992901
- Nguyên giá222,9560057830,671724555629
- Giá trị hao mòn lũy kế 223,-9560057830,-447170562728
2. Tài sản cố định thuê tài chính224,,
- Nguyên giá225,,
- Giá trị hao mòn lũy kế 226,,
3. Tài sản cố định vô hình227,,500450783
- Nguyên giá228,,1275768593
- Giá trị hao mòn lũy kế 229,,-775317810
III. Bất động sản đầu tư230,,
- Nguyên giá231,,
- Giá trị hao mòn lũy kế232,,
IV. Tài sản dở dang dài hạn240,,370748721
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,
2. Chi phí xây dựng cơ bản dở dang242,,370748721
V. Đầu tư tài chính dài hạn250,,3000000000
1. Đầu tư vào công ty con251,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,
3. Đầu tư góp vốn vào đơn vị khác253,326192000000,
4. Dự phòng đầu tư tài chính dài hạn254,-326192000000,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,3000000000
6. Đầu tư dài hạn khác,,
VI. Tài sản dài hạn khác260,580045685,45560908755
1. Chi phí trả trước dài hạn261,580045685,45152952751
2. Tài sản thuế thu nhập hoãn lại262,,190296162
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,
4. Tài sản dài hạn khác268,,
5. Lợi thế thương mại,,217659842
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,
TỔNG CỘNG TÀI SẢN280,8072809750,1283792270208
NGUỒN VỐN,,
A. NỢ PHẢI TRẢ300,357474932336,537047284165
I. Nợ ngắn hạn310,356733932336,531341140346
1. Phải trả người bán ngắn hạn311,24676888110,90360638285
2. Người mua trả tiền trước ngắn hạn312,,4261799674
3. Thuế và các khoản phải nộp Nhà nước313,7303709,2944093619
4. Phải trả người lao động314,,10813347564
5. Chi phí phải trả ngắn hạn315,135546654943,2528906832
6. Phải trả nội bộ ngắn hạn316,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,
8. Doanh thu chưa thực hiện ngắn hạn318,412045459,
9. Phải trả ngắn hạn khác319,79833990115,15135201678
10. Vay và nợ thuê tài chính ngắn hạn320,116257050000,380923387612
11. Dự phòng phải trả ngắn hạn321,,15568510205
12. Quỹ khen thưởng phúc lợi322,,8805254877
13. Quỹ bình ổn giá323,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,
II. Nợ dài hạn 330,741000000,5706143819
1. Phải trả người bán dài hạn331,,
2. Người mua trả tiền trước dài hạn332,,
3. Chi phí phải trả dài hạn333,,
4. Phải trả nội bộ về vốn kinh doanh334,,
5. Phải trả nội bộ dài hạn335,,
6. Doanh thu chưa thực hiện dài hạn336,,
7. Phải trả dài hạn khác337,741000000,
8. Vay và nợ thuê tài chính dài hạn338,,
9. Trái phiếu chuyển đổi339,,
10. Cổ phiếu ưu đãi (Nợ)340,,
11. Thuế thu nhập hoãn lại phải trả341,,5706143819
12. Dự phòng phải trả dài hạn342,,
13. Quỹ phát triển khoa học và công nghệ343,,
14. Dự phòng trợ cấp mất việc làm,,
B. VỐN CHỦ SỞ HỮU400,-349402122586,746744986043
I. Vốn chủ sở hữu410,-349402122586,746744986043
1. Vốn góp của chủ sở hữu411,329999910000,268078350000
- Cổ phiếu phổ thông có quyền biểu quyết411a,329999910000,268078350000
- Cổ phiếu ưu đãi411b,,
2. Thặng dư vốn cổ phần412,550000000000,148621259858
3. Quyền chọn chuyển đổi trái phiếu413,,
4. Vốn khác của chủ sở hữu414,,
5. Cổ phiếu quỹ (*)415,,
6. Chênh lệch đánh giá lại tài sản416,,
7. Chênh lệch tỷ giá hối đoái417,,
8. Quỹ đầu tư phát triển418,7609558160,14843991896
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,
11. Lợi nhuận sau thuế chưa phân phối421,-1237011590746,315201384289
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,-1218100788208,311976272030
- LNST chưa phân phối kỳ này421b,-18910802538,3225112259
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,,
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,
1. Nguồn kinh phí431,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,8072809750,1283792270208
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,2601818179,612943986202
2. Các khoản giảm trừ doanh thu02,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,2601818179,612943986202
4. Giá vốn hàng bán 11,22414782,512824074064
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,2579403397,100119912138
6. Doanh thu hoạt động tài chính21,200223803,15545268266
7. Chi phí tài chính 22,19525745569,59723091732
Trong đó :Chi phí lãi vay23,8572430358,28199533379
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,
9. Chi phí bán hàng25,,17385946562
10. Chi phí quản lý doanh nghiệp26,2164684169,31193177692
11. Lợi nhuận thuần từ hoạt động kinh doanh30,-18910802538,7362964418
12. Thu nhập khác31,,1051893022
13. Chi phí khác32,,3051784760
14. Lợi nhuận khác40,,-1999891738
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,-18910802538,5363072680
16. Chi phí thuế TNDN hiện hành51,,2392149322
17. Chi phí thuế TNDN hoãn lại52,,-254188901
