Mã CK,Habac,HaiChau,HapuIndus
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,CPA VIETNAM,AASC,AISC
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần
Ngày công bố báo cáo,08-04-2025,08-04-2025,26-03-2025
Ngày ký kiểm toán,28-03-2025,31-03-2025,24-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,
TÀI SẢN,,,
A. TÀI SẢN NGẮN HẠN100,107091809874,359994356419,127960500162
I. Tiền và các khoản tương đương tiền110,1936182627,42988944434,48252592262
1. Tiền111,1936182627,42988944434,45609509415
2. Các khoản tương đương tiền112,,,2643082847
II. Đầu tư tài chính ngắn hạn120,2543233624,,
1. Chứng khoán kinh doanh121,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,2543233624,,
III. Các khoản phải thu ngắn hạn130,55328188943,226113927864,11556005753
1. Phải thu ngắn hạn của khách hàng131,45506290547,140140870199,10703981414
2. Trả trước cho người bán ngắn hạn132,605804282,76281433125,1039689616
3. Phải thu nội bộ ngắn hạn133,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,
5. Phải thu về cho vay ngắn hạn135,,,
6. Phải thu ngắn hạn khác136,10959008368,11877192547,181157323
7. Dự phòng phải thu ngắn hạn khó đòi137,-1742914254,-2185568007,-368822600
8. Tài sản thiếu chờ xử lý139,,,
IV. Hàng tồn kho140,47254491794,77303081101,67756308102
1. Hàng tồn kho141,47254491794,77303081101,67756308102
2. Dự phòng giảm giá hàng tồn kho 149,,,
V. Tài sản ngắn hạn khác150,29712886,13588403020,395594045
1. Chi phí trả trước ngắn hạn151,28857386,,62534794
2. Thuế GTGT còn được khấu trừ152,455322,13588403020,35697079
3. Thuế và các khoản khác phải thu của nhà nước153,400178,,297362172
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,
5. Tài sản ngắn hạn khác155,,,
B. TÀI SẢN DÀI HẠN200,19901316037,285393996657,31379945416
I. Các khoản phải thu dài hạn210,,,
1. Phải thu dài hạn của khách hàng211,,,
2. Trả trước cho người bán dài hạn212,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,
4. Phải thu nội bộ dài hạn214,,,
5. Phải thu về cho vay dài hạn215,,,
6. Phải thu dài hạn khác216,,,
7. Dự phòng phải thu dài hạn khó đòi219,,,
II. Tài sản cố định220,8761928706,269061230537,9142772759
1. Tài sản cố định hữu hình221,8758959930,257301106541,9142772759
- Nguyên giá222,39115962157,565083942143,85006935909
- Giá trị hao mòn lũy kế 223,-30357002227,-307782835602,-75864163150
2. Tài sản cố định thuê tài chính224,,11712171618,
- Nguyên giá225,,19362838916,
- Giá trị hao mòn lũy kế 226,,-7650667298,
3. Tài sản cố định vô hình227,2968776,47952378,
- Nguyên giá228,1662899000,317650000,486321950
- Giá trị hao mòn lũy kế 229,-1659930224,-269697622,-486321950
III. Bất động sản đầu tư230,,,
- Nguyên giá231,,,
- Giá trị hao mòn lũy kế232,,,
IV. Tài sản dở dang dài hạn240,472875015,14805384787,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,
2. Chi phí xây dựng cơ bản dở dang242,472875015,14805384787,
V. Đầu tư tài chính dài hạn250,246450000,,19138461125
1. Đầu tư vào công ty con251,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,
3. Đầu tư góp vốn vào đơn vị khác253,795000000,,19138461125
4. Dự phòng đầu tư tài chính dài hạn254,-548550000,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,
6. Đầu tư dài hạn khác,,,
VI. Tài sản dài hạn khác260,10420062316,1527381333,3098711532
1. Chi phí trả trước dài hạn261,10420062316,1527381333,3098711532
2. Tài sản thuế thu nhập hoãn lại262,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,
