Mã CK,COM,CPA,CPC,CPH,CPI,CQN,CQT,CRC,CRE,CSC,CSM,CST,CSV,CT6,CTB,CTD,CTF,CTI,CTP,CTR,CTT,CTW,CTX,CVN,CVT,CX8,CYC,D11,D2D,DAC,DAD,DAE,DAH,DAN,DAS,DAT,DBC,DBD,DBM,DBT,DC1,DC2,DC4
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASCS,EY,A&C,AnViet,UHY,AASC,BDO,AFC,AASC,VAE,AASCS,AASC,FAC,VACO,IAV,EY,DFK,AISC,AFC,AASC,AASC,AISC,CPA VIETNAM,,UHY,VAE,NVA,A&C,RSM,AASC,AAC,AAC,AISC,AFA,AASC,AASCS,EY,EY,EY,RSM,IAV,AASCS,AFA
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,07-03-2025,02-04-2025,01-04-2025,26-02-2025,17-02-2025,01-04-2025,05-03-2025,31-03-2025,01-04-2025,03-04-2025,21-03-2025,25-03-2025,06-03-2025,25-04-2025,17-03-2025,27-09-2024,31-03-2025,31-03-2025,02-04-2025,20-03-2025,20-03-2025,27-03-2025,24-03-2025,05-02-2025,31-03-2025,03-04-2025,03-04-2025,01-04-2025,10-03-2025,22-01-2025,20-03-2025,21-02-2025,31-03-2025,28-02-2025,05-03-2025,25-03-2025,26-03-2025,27-03-2025,13-03-2025,01-04-2025,25-03-2025,01-04-2025,26-03-2025
Ngày ký kiểm toán,28-02-2025,25-03-2025,19-03-2025,24-02-2025,11-02-2025,27-03-2025,27-02-2025,28-03-2025,31-03-2025,29-03-2025,21-03-2025,14-03-2025,28-02-2025,18-04-2025,10-03-2025,27-09-2024,31-03-2025,28-03-2025,28-03-2025,11-03-2025,10-03-2025,18-03-2025,18-03-2025,,29-03-2025,25-03-2025,28-03-2025,24-03-2025,08-03-2025,20-01-2025,10-03-2025,17-02-2025,29-03-2025,25-02-2025,28-02-2025,21-03-2025,21-03-2025,20-03-2025,10-03-2025,31-03-2025,25-03-2025,27-03-2025,24-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,205484626173,29172827738,103827205904,176170091220,11216326227,465506706653,93318863702,597147579524,4298280977836,2248727595701,2907846266290,1498503637306,1464036583364,173704474974,578994499487,20456205370323,2780516388126,481717177554,80353197014,5421441349658,614489166435,168428520668,524673038778,76613283252,2588727672219,79801157417,198999306738,269172080799,389993139712,10368627095,139846226690,46185224362,19653187084,567183521744,99859356971,1215365133185,7838139952903,1476280617777,96168740202,742334955548,121743754615,253357712736,2028412535559
I. Tiền và các khoản tương đương tiền110,95564510972,4418262999,14439625166,65693443194,981905694,27984990271,6229672739,54684914736,31099676274,124640784308,473343496352,800433496,172611144046,5116805076,24353857461,2210413091737,69029863474,37060240572,7278245943,886977987638,7620885084,56810251812,92692513314,3482211096,312075289505,3110875588,274402833,16222990014,64622263772,407053004,68203733540,4947198085,2193463824,74551503101,9949206839,66280890265,439331953874,314198731825,11083657602,7862938945,1031376698,26909660225,127476123992
1. Tiền111,35564510972,4418262999,8439625166,2846467783,981905694,27984990271,6229672739,41685348013,31099676274,100421784308,473343496352,800433496,84611144046,5116805076,24353857461,875997691412,69029863474,22060240572,7278245943,786977987638,7620885084,22995885540,92692513314,3482211096,46075289505,3110875588,274402833,7027568466,8622263772,407053004,2203733540,4947198085,2193463824,6421503101,9949206839,66280890265,251855181586,56698731825,11083657602,7862938945,1031376698,26909660225,21334718196
2. Các khoản tương đương tiền112,60000000000,,6000000000,62846975411,,,,12999566723,,24219000000,,,88000000000,,,1334415400325,,15000000000,,100000000000,,33814366272,,,266000000000,,,9195421548,56000000000,,66000000000,,,68130000000,,,187476772288,257500000000,,,,,106141405796
II. Đầu tư tài chính ngắn hạn120,12450332850,,48000000000,,,185000000000,,3984609753,157424654795,23708912054,,,605000000000,1183793000,74940000000,1867911912713,,7476411762,,853500000000,,35877744978,131970051,39713,44250000000,,,32616690314,32500000000,,16083600000,14449004940,,,,483207095888,1370890520510,124421158600,36500000000,67397227412,,,4409865564
1. Chứng khoán kinh doanh121,19346704000,,,,,,,,,60428,,,,,,255421568164,,,,,,,2549370051,35799713,,,,33410627606,,,4237145000,5657785512,,,,,,1393300,,39493142987,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,-6896371150,,,,,,,,,-50028,,,,,,-2707921462,,,,,,,-2417400000,-35760000,,,,-793937292,,,-153545000,-1208780572,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,48000000000,,,185000000000,,3984609753,157424654795,23708901654,,,605000000000,1183793000,74940000000,1615198266011,,7476411762,,853500000000,,35877744978,,,44250000000,,,,32500000000,,12000000000,10000000000,,,,483207095888,1370890520510,124419765300,36500000000,27904084425,,,4409865564
III. Các khoản phải thu ngắn hạn130,24864548208,2258665398,25730575648,7689133457,8613742132,208858346656,53954770651,389893570417,3745916881150,414499675122,775736335831,891522070273,296327608785,112432239138,356096716212,12023581006529,2076658540820,91237290234,59750336241,2936966727722,363761526909,21426630796,296975135037,59397772693,1493048658427,64964129063,9000895289,176029994855,63671023218,142906277,32883078722,7115062951,6062976790,370586037274,27151324555,567906699566,402126060200,520222627983,24347401548,193036057088,50098473834,197659535745,1539647424021
1. Phải thu ngắn hạn của khách hàng131,60162608983,276521600,24236152837,753120000,7834791743,171232797526,58126038995,155999212568,547530263681,335399066866,758233560099,885278643471,266520811461,115047302789,351709752410,12245741404344,987474019852,33400816977,,1919969744514,371202411498,11428524302,180624017296,50547521279,224927355690,31887781815,29806289325,13780309847,39444747759,5211552051,31306147283,6984113279,1825026302,285800283743,21075683211,416622868985,197353843466,504877324434,24598102821,169390686344,51039568954,175832299388,400145507047
2. Trả trước cho người bán ngắn hạn132,,411805682,1583228400,3543752458,54315440,6535816902,425450400,134874786441,47036510820,13656056524,77170955211,1240969126,9809659213,2088055045,22949665011,940479091028,323928870820,17282636240,22691863638,247072981434,4343601914,6913140647,157831629461,5286254955,180676669932,40000000,1001315014,27725977082,3823428397,110000000,1430270604,34664000,3653786762,85313525015,2009841486,144148625825,104799300518,76498728383,208984792,5667531826,294278132,18059984361,876141075201
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,6890183211,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,,42000000000,165405700000,19233164712,,,,,,84140415000,,,37000000000,,,,,,,,,1600000000,,,,,,,,,,,,11000000000,,,
6. Phải thu ngắn hạn khác136,253415225,48987412570,8429053851,3338635494,2929174707,41127775260,1804458669,57102571563,3069744764626,58480122678,28091647283,5002457676,23014141971,3645070314,7319763924,178479476872,765143051437,57435592677,145972603,860686478796,22107324172,4842671170,123692084835,3563996459,1093850929686,33036347248,4337583487,138515078830,24124288218,635358869,1138239602,500167378,584163726,8710229512,6216799858,7324594806,99972916216,6918534026,305528458,8560048456,1365421181,4087387635,316523270080
7. Dự phòng phải thu ngắn hạn khó đòi137,-35551476000,-47417074454,-8517859440,,-2204539758,-10038043032,-6401177413,-83000155,-83800357977,-12268735658,-87759826762,,-3017003860,-8348189010,-25882465133,-1432149563926,,-17110481013,-87500000,-90762477022,-33891810675,-1757705323,-165191175755,,-6406296881,,-26144292537,-5591370904,-3721441156,-5814004643,-991578767,-403881706,,-9238000996,-2151000000,-189390050,,-68071958860,-765214523,-1582209538,-2600794433,-320135639,-53162428307
8. Tài sản thiếu chờ xử lý139,,,,53625505,,,,,,,,,,,,,112598711,228725353,,,,,18579200,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho140,70343097767,22403646610,15446508249,102699141269,1375104637,40471841294,31288715669,109650815258,354388867338,1641239473068,1220499639623,462357683840,340626271082,54682175364,122317087119,3126138704190,613979287300,340622780598,13319876621,610480085129,234227186860,51485998377,112963057359,12981355064,733992656925,10566277060,185010440429,43686450731,187304619254,9818667814,21697129493,18631605647,3491080856,82431552930,58409750758,97970447466,5516781758000,505380962218,24165384396,470128247197,70267327499,28424612927,349647054760
1. Hàng tồn kho141,70343097767,22403646610,16698796463,102699141269,1375104637,40471841294,31559898063,109650815258,354388867338,1641239473068,1220499639623,462357683840,340626271082,55674450028,122474554487,3198243987626,618922571855,340622780598,13319876621,629054145471,238557315315,52490517100,112963057359,12981355064,739441340513,10566277060,195025254699,43686450731,187304619254,10332658753,35279601212,19276438344,3491080856,85178338807,59114816258,97970447466,5516781758000,532336906627,24493822683,473356480205,70267327499,28424612927,350542739896
2. Dự phòng giảm giá hàng tồn kho 149,,,-1252288214,,,,-271182394,,,,,,,-992274664,-157467368,-72105283436,-4943284555,,,-18574060342,-4330128455,-1004518723,,,-5448683588,,-10014814270,,,-513990939,-13582471719,-644832697,,-2746785877,-705065500,,,-26955944409,-328438287,-3228233008,,,-895685136
