Mã CK,Ricons
Kỳ/năm,Năm/2024
Trạng thái hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán
Công ty kiểm toán,PWC
Ý kiến kiểm toán,Chấp nhận toàn phần
Ngày công bố báo cáo,29-03-2025
Ngày ký kiểm toán,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,
TÀI SẢN,
A. TÀI SẢN NGẮN HẠN100,5882611881303
I. Tiền và các khoản tương đương tiền110,713340625432
1. Tiền111,197340625432
2. Các khoản tương đương tiền112,516000000000
II. Đầu tư tài chính ngắn hạn120,1002475800000
1. Chứng khoán kinh doanh121,
2. Dự phòng giảm giá chứng khoán kinh doanh122,
3. Đầu tư nắm giữ đến ngày đáo hạn123,1002475800000
III. Các khoản phải thu ngắn hạn130,3453819978387
1. Phải thu ngắn hạn của khách hàng131,3217307803540
2. Trả trước cho người bán ngắn hạn132,539534087393
3. Phải thu nội bộ ngắn hạn133,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,
5. Phải thu về cho vay ngắn hạn135,
6. Phải thu ngắn hạn khác136,38089990786
7. Dự phòng phải thu ngắn hạn khó đòi137,-341111903332
8. Tài sản thiếu chờ xử lý139,
IV. Hàng tồn kho140,432391000588
1. Hàng tồn kho141,432391000588
2. Dự phòng giảm giá hàng tồn kho 149,
V. Tài sản ngắn hạn khác150,280584476896
1. Chi phí trả trước ngắn hạn151,
2. Thuế GTGT còn được khấu trừ152,280481677100
3. Thuế và các khoản khác phải thu của nhà nước153,102799796
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,
5. Tài sản ngắn hạn khác155,
B. TÀI SẢN DÀI HẠN200,952072160828
I. Các khoản phải thu dài hạn210,-139101529880
1. Phải thu dài hạn của khách hàng211,
2. Trả trước cho người bán dài hạn212,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,
4. Phải thu nội bộ dài hạn214,
5. Phải thu về cho vay dài hạn215,
6. Phải thu dài hạn khác216,898470120
7. Dự phòng phải thu dài hạn khó đòi219,-140000000000
II. Tài sản cố định220,176153854121
1. Tài sản cố định hữu hình221,72997188635
- Nguyên giá222,242932495947
- Giá trị hao mòn lũy kế 223,-169935307312
2. Tài sản cố định thuê tài chính224,
- Nguyên giá225,
- Giá trị hao mòn lũy kế 226,
3. Tài sản cố định vô hình227,103156665486
- Nguyên giá228,114683742109
- Giá trị hao mòn lũy kế 229,-11527076623
III. Bất động sản đầu tư230,416486774334
- Nguyên giá231,465345759786
- Giá trị hao mòn lũy kế232,-48858985452
IV. Tài sản dở dang dài hạn240,100372014883
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",
2. Chi phí xây dựng cơ bản dở dang242,100372014883
V. Đầu tư tài chính dài hạn250,245000000000
1. Đầu tư vào công ty con251,
"2. Đầu tư vào công ty liên kết, liên doanh252",
3. Đầu tư góp vốn vào đơn vị khác253,60000000000
4. Dự phòng đầu tư tài chính dài hạn254,
5. Đầu tư nắm giữ đến ngày đáo hạn255,185000000000
6. Đầu tư dài hạn khác,
VI. Tài sản dài hạn khác260,153161047370
1. Chi phí trả trước dài hạn261,117568071430
2. Tài sản thuế thu nhập hoãn lại262,35592975940
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",
4. Tài sản dài hạn khác268,
5. Lợi thế thương mại,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,
