Mã CK,SMVC,SocTrang
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,KPMG,AISC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,25-04-2025,29-03-2025
Ngày ký kiểm toán,25-03-2025,26-03-2025
CÂN ĐỐI KẾ TOÁNMS,,
TÀI SẢN,,
A. TÀI SẢN NGẮN HẠN100,449774652313,4185885287812
I. Tiền và các khoản tương đương tiền110,163759490637,1507884682002
1. Tiền111,139753847807,170584682002
2. Các khoản tương đương tiền112,24005642830,1337300000000
II. Đầu tư tài chính ngắn hạn120,121476421766,1215421972603
1. Chứng khoán kinh doanh121,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,121476421766,1215421972603
III. Các khoản phải thu ngắn hạn130,120082401519,932008559821
1. Phải thu ngắn hạn của khách hàng131,64096689706,848000199838
2. Trả trước cho người bán ngắn hạn132,30511228727,48916331291
3. Phải thu nội bộ ngắn hạn133,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,
5. Phải thu về cho vay ngắn hạn135,19220000000,
6. Phải thu ngắn hạn khác136,6254483086,50746567953
7. Dự phòng phải thu ngắn hạn khó đòi137,,-15654539261
8. Tài sản thiếu chờ xử lý139,,
IV. Hàng tồn kho140,34217043287,506896890947
1. Hàng tồn kho141,34217043287,506896890947
2. Dự phòng giảm giá hàng tồn kho 149,,
V. Tài sản ngắn hạn khác150,10239295104,23673182439
1. Chi phí trả trước ngắn hạn151,252985957,2378768171
2. Thuế GTGT còn được khấu trừ152,9986309147,21294414268
3. Thuế và các khoản khác phải thu của nhà nước153,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,
5. Tài sản ngắn hạn khác155,,
B. TÀI SẢN DÀI HẠN200,260128724260,382026340756
I. Các khoản phải thu dài hạn210,83742120,2273000000
1. Phải thu dài hạn của khách hàng211,,
2. Trả trước cho người bán dài hạn212,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,
4. Phải thu nội bộ dài hạn214,,
5. Phải thu về cho vay dài hạn215,,
6. Phải thu dài hạn khác216,83742120,2273000000
7. Dự phòng phải thu dài hạn khó đòi219,,
II. Tài sản cố định220,196323001600,184638254549
1. Tài sản cố định hữu hình221,183053717383,163154572443
- Nguyên giá222,357213408870,1028602526279
- Giá trị hao mòn lũy kế 223,-174159691487,-865447953836
2. Tài sản cố định thuê tài chính224,,
- Nguyên giá225,,
- Giá trị hao mòn lũy kế 226,,
3. Tài sản cố định vô hình227,13269284217,21483682106
- Nguyên giá228,19928637817,28076901360
- Giá trị hao mòn lũy kế 229,-6659353600,-6593219254
III. Bất động sản đầu tư230,,
- Nguyên giá231,,
- Giá trị hao mòn lũy kế232,,
IV. Tài sản dở dang dài hạn240,,192563832236
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,
2. Chi phí xây dựng cơ bản dở dang242,,192563832236
V. Đầu tư tài chính dài hạn250,49041000000,
1. Đầu tư vào công ty con251,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,
3. Đầu tư góp vốn vào đơn vị khác253,49041000000,11968010000
4. Dự phòng đầu tư tài chính dài hạn254,,-11968010000
5. Đầu tư nắm giữ đến ngày đáo hạn255,,
6. Đầu tư dài hạn khác,,
VI. Tài sản dài hạn khác260,14680980540,2551253971
1. Chi phí trả trước dài hạn261,14680980540,2551253971
2. Tài sản thuế thu nhập hoãn lại262,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,
4. Tài sản dài hạn khác268,,
5. Lợi thế thương mại,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,
TỔNG CỘNG TÀI SẢN280,709903376573,4567911628568
NGUỒN VỐN,,
A. NỢ PHẢI TRẢ300,44598244010,1539830739918
I. Nợ ngắn hạn310,36831267643,1539830739918
1. Phải trả người bán ngắn hạn311,28452765003,50341632722
2. Người mua trả tiền trước ngắn hạn312,15510000,1771552800
3. Thuế và các khoản phải nộp Nhà nước313,4619189249,10949480359
4. Phải trả người lao động314,3209012510,185624677077
5. Chi phí phải trả ngắn hạn315,,89629238008
6. Phải trả nội bộ ngắn hạn316,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,
8. Doanh thu chưa thực hiện ngắn hạn318,,
9. Phải trả ngắn hạn khác319,477760939,11871863243
10. Vay và nợ thuê tài chính ngắn hạn320,57029942,1169720083341
11. Dự phòng phải trả ngắn hạn321,,
12. Quỹ khen thưởng phúc lợi322,,19922212368
13. Quỹ bình ổn giá323,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,
II. Nợ dài hạn 330,7766976367,
1. Phải trả người bán dài hạn331,,
2. Người mua trả tiền trước dài hạn332,,
3. Chi phí phải trả dài hạn333,,
4. Phải trả nội bộ về vốn kinh doanh334,,
5. Phải trả nội bộ dài hạn335,,
6. Doanh thu chưa thực hiện dài hạn336,,
7. Phải trả dài hạn khác337,,
8. Vay và nợ thuê tài chính dài hạn338,,
9. Trái phiếu chuyển đổi339,,
10. Cổ phiếu ưu đãi (Nợ)340,,
11. Thuế thu nhập hoãn lại phải trả341,,
12. Dự phòng phải trả dài hạn342,7766976367,
13. Quỹ phát triển khoa học và công nghệ343,,
14. Dự phòng trợ cấp mất việc làm,,
B. VỐN CHỦ SỞ HỮU400,665305132563,3028080888650
I. Vốn chủ sở hữu410,665305132563,3028080888650
1. Vốn góp của chủ sở hữu411,167737460000,77500000000
- Cổ phiếu phổ thông có quyền biểu quyết411a,167737460000,77500000000
- Cổ phiếu ưu đãi411b,,
2. Thặng dư vốn cổ phần412,95711970000,109773660000
3. Quyền chọn chuyển đổi trái phiếu413,,
4. Vốn khác của chủ sở hữu414,,
5. Cổ phiếu quỹ (*)415,,-22722500000
6. Chênh lệch đánh giá lại tài sản416,,
7. Chênh lệch tỷ giá hối đoái417,911729752,
8. Quỹ đầu tư phát triển418,,1747362335664
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,
11. Lợi nhuận sau thuế chưa phân phối421,401023574252,1116167392986
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,352012914200,701215514283
- LNST chưa phân phối kỳ này421b,49010660052,414951878703
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,-79601441,
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,
1. Nguồn kinh phí431,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,709903376573,4567911628568
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,478406959682,8331222096663
2. Các khoản giảm trừ doanh thu02,130405480,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,478276554202,8331222096663
4. Giá vốn hàng bán 11,354515388921,7272426840802
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,123761165281,1058795255861
6. Doanh thu hoạt động tài chính21,15722363178,181153927376
7. Chi phí tài chính 22,1809053234,90231837498
Trong đó :Chi phí lãi vay23,,35102224450
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,
9. Chi phí bán hàng25,31412870765,598342408145
10. Chi phí quản lý doanh nghiệp26,49117257762,43946895696
11. Lợi nhuận thuần từ hoạt động kinh doanh30,57144346698,507428041898
12. Thu nhập khác31,98936088,4672685495
13. Chi phí khác32,2943667242,6486609301
14. Lợi nhuận khác40,-2844731154,-1813923806
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,54299615544,505614118092
