Mã CK,SST,STD
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,KPMG,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,26-03-2025,28-03-2025
Ngày ký kiểm toán,17-03-2025,19-03-2025
CÂN ĐỐI KẾ TOÁNMS,,
TÀI SẢN,,
A. TÀI SẢN NGẮN HẠN100,436200402642,340236521133
I. Tiền và các khoản tương đương tiền110,100961658256,32656274392
1. Tiền111,100961658256,256274392
2. Các khoản tương đương tiền112,,32400000000
II. Đầu tư tài chính ngắn hạn120,,243870000000
1. Chứng khoán kinh doanh121,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,243870000000
III. Các khoản phải thu ngắn hạn130,260633640057,31577077543
1. Phải thu ngắn hạn của khách hàng131,232950064165,26176097618
2. Trả trước cho người bán ngắn hạn132,85335029,210600000
3. Phải thu nội bộ ngắn hạn133,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,
5. Phải thu về cho vay ngắn hạn135,,
6. Phải thu ngắn hạn khác136,27598240863,5190379925
7. Dự phòng phải thu ngắn hạn khó đòi137,,
8. Tài sản thiếu chờ xử lý139,,
IV. Hàng tồn kho140,66440571848,31951860217
1. Hàng tồn kho141,66440571848,31951860217
2. Dự phòng giảm giá hàng tồn kho 149,,
V. Tài sản ngắn hạn khác150,8164532481,181308981
1. Chi phí trả trước ngắn hạn151,3577406903,181308981
2. Thuế GTGT còn được khấu trừ152,3512016653,
3. Thuế và các khoản khác phải thu của nhà nước153,1075108925,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,
5. Tài sản ngắn hạn khác155,,
B. TÀI SẢN DÀI HẠN200,26956843536,98170804275
I. Các khoản phải thu dài hạn210,1861816968,
1. Phải thu dài hạn của khách hàng211,,
2. Trả trước cho người bán dài hạn212,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,
4. Phải thu nội bộ dài hạn214,,
5. Phải thu về cho vay dài hạn215,,
6. Phải thu dài hạn khác216,1861816968,
7. Dự phòng phải thu dài hạn khó đòi219,,
II. Tài sản cố định220,19567690063,86116973727
1. Tài sản cố định hữu hình221,4496766441,86116973727
- Nguyên giá222,23045630637,526842533830
- Giá trị hao mòn lũy kế 223,-18548864196,-440725560103
2. Tài sản cố định thuê tài chính224,,
- Nguyên giá225,,
- Giá trị hao mòn lũy kế 226,,
3. Tài sản cố định vô hình227,15070923622,
- Nguyên giá228,22174657107,
- Giá trị hao mòn lũy kế 229,-7103733485,
III. Bất động sản đầu tư230,,
- Nguyên giá231,,
- Giá trị hao mòn lũy kế232,,
IV. Tài sản dở dang dài hạn240,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,
2. Chi phí xây dựng cơ bản dở dang242,,
V. Đầu tư tài chính dài hạn250,4000000000,10200000000
1. Đầu tư vào công ty con251,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,
3. Đầu tư góp vốn vào đơn vị khác253,4000000000,5000000000
4. Dự phòng đầu tư tài chính dài hạn254,,-5000000000
5. Đầu tư nắm giữ đến ngày đáo hạn255,,10200000000
6. Đầu tư dài hạn khác,,
VI. Tài sản dài hạn khác260,1527336505,1853830548
1. Chi phí trả trước dài hạn261,1108853963,1818500548
2. Tài sản thuế thu nhập hoãn lại262,418482542,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,35330000
4. Tài sản dài hạn khác268,,
5. Lợi thế thương mại,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,
TỔNG CỘNG TÀI SẢN280,463157246178,438407325408
NGUỒN VỐN,,
A. NỢ PHẢI TRẢ300,373458726372,164436590225
I. Nợ ngắn hạn310,371773160885,164436590225
1. Phải trả người bán ngắn hạn311,348520894556,8831526977
2. Người mua trả tiền trước ngắn hạn312,2046152066,42993897
3. Thuế và các khoản phải nộp Nhà nước313,988886343,41833457027
4. Phải trả người lao động314,4829864724,3971350942
5. Chi phí phải trả ngắn hạn315,2092412716,781044078
6. Phải trả nội bộ ngắn hạn316,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,
8. Doanh thu chưa thực hiện ngắn hạn318,,
9. Phải trả ngắn hạn khác319,3234483279,2860708459
10. Vay và nợ thuê tài chính ngắn hạn320,,105650336419
11. Dự phòng phải trả ngắn hạn321,,
12. Quỹ khen thưởng phúc lợi322,10060467201,465172426
13. Quỹ bình ổn giá323,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,
II. Nợ dài hạn 330,1685565487,
1. Phải trả người bán dài hạn331,,
2. Người mua trả tiền trước dài hạn332,,
3. Chi phí phải trả dài hạn333,,
4. Phải trả nội bộ về vốn kinh doanh334,,
5. Phải trả nội bộ dài hạn335,,
6. Doanh thu chưa thực hiện dài hạn336,,
7. Phải trả dài hạn khác337,,
8. Vay và nợ thuê tài chính dài hạn338,,
9. Trái phiếu chuyển đổi339,,
10. Cổ phiếu ưu đãi (Nợ)340,,
11. Thuế thu nhập hoãn lại phải trả341,,
12. Dự phòng phải trả dài hạn342,1685565487,
13. Quỹ phát triển khoa học và công nghệ343,,
14. Dự phòng trợ cấp mất việc làm,,
B. VỐN CHỦ SỞ HỮU400,89698519806,273970735183
I. Vốn chủ sở hữu410,89698519806,273970735183
1. Vốn góp của chủ sở hữu411,40000000000,200000000000
- Cổ phiếu phổ thông có quyền biểu quyết411a,40000000000,200000000000
- Cổ phiếu ưu đãi411b,,
2. Thặng dư vốn cổ phần412,,21938000000
3. Quyền chọn chuyển đổi trái phiếu413,,
4. Vốn khác của chủ sở hữu414,,
5. Cổ phiếu quỹ (*)415,,
6. Chênh lệch đánh giá lại tài sản416,,
7. Chênh lệch tỷ giá hối đoái417,,
8. Quỹ đầu tư phát triển418,17402513589,41451256847
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,
11. Lợi nhuận sau thuế chưa phân phối421,32296006217,10581478336
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,319155,6660568528
- LNST chưa phân phối kỳ này421b,32295687062,3920909808
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,,
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,
1. Nguồn kinh phí431,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,463157246178,438407325408
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,4320934150371,326534272578
2. Các khoản giảm trừ doanh thu02,,193118271
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,4320934150371,326341154307
4. Giá vốn hàng bán 11,4138402774760,303384213247
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,182531375611,22956941060
6. Doanh thu hoạt động tài chính21,448038380,11568113577
7. Chi phí tài chính 22,,2460293462
Trong đó :Chi phí lãi vay23,,2437614911
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,
9. Chi phí bán hàng25,255401410140,2377380414
10. Chi phí quản lý doanh nghiệp26,21234978714,15823055143
11. Lợi nhuận thuần từ hoạt động kinh doanh30,-93656974863,13864325618
12. Thu nhập khác31,158500945710,174626261
13. Chi phí khác32,13774787319,6196189801
14. Lợi nhuận khác40,144726158391,-6021563540
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,51069183528,7842762078
16. Chi phí thuế TNDN hiện hành51,12849938923,3263973402
17. Chi phí thuế TNDN hoãn lại52,2315557543,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,35903687062,4578788676
