Mã CK,DNM,DNN,DNP,DNT,DNW,DOC,DOP,DP1,DP2,DP3,DPC,DPG,DPH,DPM,DPP,DPR,DQC,DRC,DRG,DRH,DRI,DRL,DS3,DSD,DSG,DSH,DSN,DSP,DST,DTA,DTB,DTC,DTD,DTE,DTG,DTH,DTI,DTK,DTL,DTP,DTT,DUS,DVC,DVG,DVM,DVN,DVP
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,NVT,Vietvalues,UHY,AFC,A&C,RSM,AFC,EY,VAE,AASC,AISC,A&C,BDO,Deloitte,AASC,IAV,NVT,AASC,Vietvalues,AnViet,AFC,AFA,NVT,AAC,AASC,IAV,AASC,AASC,AISC,AISC,AASCS,AASC,IAV,,AISC,AVA,AFC,BDO,RSM,AASC,AASC,RSM,UHY,IAV,IAV,EY,AASC
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,31-03-2025,13-03-2025,03-04-2025,01-04-2025,17-02-2025,28-03-2025,18-03-2025,01-04-2025,31-03-2025,12-03-2025,28-03-2025,31-03-2025,26-03-2025,28-03-2025,28-02-2025,28-03-2025,10-04-2025,21-03-2025,03-04-2025,01-04-2025,20-03-2025,11-03-2025,02-04-2025,28-03-2025,19-02-2025,16-04-2025,03-02-2025,31-03-2025,03-04-2025,01-04-2025,24-03-2025,05-02-2025,01-04-2025,18-02-2025,01-04-2025,14-03-2025,01-04-2025,28-03-2025,31-03-2025,02-04-2025,31-03-2025,02-04-2025,28-03-2025,02-04-2025,03-04-2025,01-04-2025,08-03-2025
Ngày ký kiểm toán,28-03-2025,04-03-2025,31-03-2025,20-03-2025,06-02-2025,24-03-2025,07-03-2025,31-03-2025,26-03-2025,10-03-2025,20-03-2025,30-03-2025,25-03-2025,27-03-2025,19-02-2025,24-03-2025,05-04-2025,11-03-2025,27-03-2025,31-03-2025,10-03-2025,06-03-2025,19-03-2025,17-03-2025,10-02-2025,17-03-2025,23-01-2025,28-03-2025,29-03-2025,28-03-2025,17-03-2025,23-01-2025,26-03-2025,,21-03-2025,13-03-2025,28-03-2025,25-03-2025,28-03-2025,29-03-2025,26-03-2025,28-03-2025,18-03-2025,18-03-2025,31-03-2025,31-03-2025,03-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,213697182197,509979518239,8859009475274,65500008573,817442877562,119074823831,35006124927,1243266255585,129841539917,433326056406,5893978968,3527394763967,247989095620,13219573591341,106739030931,2200223977759,763105716541,2794028277059,484191193318,2804068289381,222807571471,88888375983,40828087403,43487379947,33887714417,435870345474,348939495211,398205520048,4352647805,211841809993,32187598343,77090864930,876169210658,7799521247,229500850814,266864320094,201973511564,5526582357753,1516100652199,831625331586,98092267363,68130016047,39291546658,212470121451,940864723951,4363155594686,1291745252469
