Mã CK,Vinhhao,Vinphaco
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,KPMG,NVT
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,27-03-2025,01-04-2025
Ngày ký kiểm toán,12-03-2025,26-03-2025
CÂN ĐỐI KẾ TOÁNMS,,
TÀI SẢN,,
A. TÀI SẢN NGẮN HẠN100,116742820028,658850107838
I. Tiền và các khoản tương đương tiền110,15390271571,177457904412
1. Tiền111,390271571,134242514267
2. Các khoản tương đương tiền112,15000000000,43215390145
II. Đầu tư tài chính ngắn hạn120,,
1. Chứng khoán kinh doanh121,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,
III. Các khoản phải thu ngắn hạn130,60267808811,319645912105
1. Phải thu ngắn hạn của khách hàng131,53311075942,285588718132
2. Trả trước cho người bán ngắn hạn132,6286553237,22466098208
3. Phải thu nội bộ ngắn hạn133,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,
5. Phải thu về cho vay ngắn hạn135,,15000000000
6. Phải thu ngắn hạn khác136,670179632,1584343613
7. Dự phòng phải thu ngắn hạn khó đòi137,,-4993247848
8. Tài sản thiếu chờ xử lý139,,
IV. Hàng tồn kho140,37777722607,140721320035
1. Hàng tồn kho141,38159637982,140756816482
2. Dự phòng giảm giá hàng tồn kho 149,-381915375,-35496447
V. Tài sản ngắn hạn khác150,3307017039,21024971286
1. Chi phí trả trước ngắn hạn151,527044765,9637483696
2. Thuế GTGT còn được khấu trừ152,2250510240,10150998580
3. Thuế và các khoản khác phải thu của nhà nước153,529462034,1236489010
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,
5. Tài sản ngắn hạn khác155,,
B. TÀI SẢN DÀI HẠN200,740181172864,263637507981
I. Các khoản phải thu dài hạn210,360554441329,35000000
1. Phải thu dài hạn của khách hàng211,,
2. Trả trước cho người bán dài hạn212,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,
4. Phải thu nội bộ dài hạn214,,
5. Phải thu về cho vay dài hạn215,,
6. Phải thu dài hạn khác216,360554441329,35000000
7. Dự phòng phải thu dài hạn khó đòi219,,
II. Tài sản cố định220,337535354127,154562641775
1. Tài sản cố định hữu hình221,156602743470,111194544010
- Nguyên giá222,550068644676,422518620504
- Giá trị hao mòn lũy kế 223,-393465901206,-311324076494
2. Tài sản cố định thuê tài chính224,,
- Nguyên giá225,,
- Giá trị hao mòn lũy kế 226,,
3. Tài sản cố định vô hình227,180932610657,43368097765
- Nguyên giá228,366040682387,45771104148
- Giá trị hao mòn lũy kế 229,-185108071730,-2403006383
III. Bất động sản đầu tư230,,
- Nguyên giá231,,
- Giá trị hao mòn lũy kế232,,
IV. Tài sản dở dang dài hạn240,32452327617,91514793452
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,
2. Chi phí xây dựng cơ bản dở dang242,32452327617,91514793452
V. Đầu tư tài chính dài hạn250,,2000000000
1. Đầu tư vào công ty con251,,2000000000
"2. Đầu tư vào công ty liên kết, liên doanh252",,
3. Đầu tư góp vốn vào đơn vị khác253,,
4. Dự phòng đầu tư tài chính dài hạn254,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,
6. Đầu tư dài hạn khác,,
VI. Tài sản dài hạn khác260,9639049791,15525072754
1. Chi phí trả trước dài hạn261,5789101337,15525072754
2. Tài sản thuế thu nhập hoãn lại262,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,
4. Tài sản dài hạn khác268,,
5. Lợi thế thương mại,3849948454,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,
TỔNG CỘNG TÀI SẢN280,856923992892,922487615819
NGUỒN VỐN,,
A. NỢ PHẢI TRẢ300,187870748211,202501940792
I. Nợ ngắn hạn310,139325608578,179274933696
1. Phải trả người bán ngắn hạn311,40355968377,56334551105
2. Người mua trả tiền trước ngắn hạn312,,12332892998
3. Thuế và các khoản phải nộp Nhà nước313,16185439132,15391732988
4. Phải trả người lao động314,,58899816007
5. Chi phí phải trả ngắn hạn315,27386882755,2388973600
6. Phải trả nội bộ ngắn hạn316,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,
8. Doanh thu chưa thực hiện ngắn hạn318,,
9. Phải trả ngắn hạn khác319,12114572396,6804932725
10. Vay và nợ thuê tài chính ngắn hạn320,42526035902,97000000
11. Dự phòng phải trả ngắn hạn321,,
12. Quỹ khen thưởng phúc lợi322,756710016,27025034273
13. Quỹ bình ổn giá323,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,
II. Nợ dài hạn 330,48545139633,23227007096
1. Phải trả người bán dài hạn331,13430852000,
2. Người mua trả tiền trước dài hạn332,,
3. Chi phí phải trả dài hạn333,,
4. Phải trả nội bộ về vốn kinh doanh334,,
5. Phải trả nội bộ dài hạn335,,
6. Doanh thu chưa thực hiện dài hạn336,,
7. Phải trả dài hạn khác337,129999000,
8. Vay và nợ thuê tài chính dài hạn338,,
9. Trái phiếu chuyển đổi339,,
10. Cổ phiếu ưu đãi (Nợ)340,,
11. Thuế thu nhập hoãn lại phải trả341,33050615113,
12. Dự phòng phải trả dài hạn342,1933673520,
13. Quỹ phát triển khoa học và công nghệ343,,23227007096
14. Dự phòng trợ cấp mất việc làm,,
B. VỐN CHỦ SỞ HỮU400,669053244681,719985675027
I. Vốn chủ sở hữu410,669053244681,719652653085
1. Vốn góp của chủ sở hữu411,131963660000,74439850000
- Cổ phiếu phổ thông có quyền biểu quyết411a,131963660000,74439850000
- Cổ phiếu ưu đãi411b,,
2. Thặng dư vốn cổ phần412,18910660800,-20216044585
3. Quyền chọn chuyển đổi trái phiếu413,,
4. Vốn khác của chủ sở hữu414,,
5. Cổ phiếu quỹ (*)415,,
6. Chênh lệch đánh giá lại tài sản416,,
7. Chênh lệch tỷ giá hối đoái417,,
8. Quỹ đầu tư phát triển418,1756439018,67956411431
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,
11. Lợi nhuận sau thuế chưa phân phối421,516419599119,597472436239
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,424816138402,448216867382
- LNST chưa phân phối kỳ này421b,91603460717,149255568857
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,2885744,
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,333021942
1. Nguồn kinh phí431,,333021942
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,856923992892,922487615819
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,496734888679,834834748689
2. Các khoản giảm trừ doanh thu02,6553801137,3709100867
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,490181087542,831125647822
4. Giá vốn hàng bán 11,362770596071,351813595708
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,127410491471,479312052114
6. Doanh thu hoạt động tài chính21,25671236377,5049069416
7. Chi phí tài chính 22,1478769453,481268782
Trong đó :Chi phí lãi vay23,1446450988,148367208
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,
9. Chi phí bán hàng25,198989355,141131059388
10. Chi phí quản lý doanh nghiệp26,34836807508,155892425994
11. Lợi nhuận thuần từ hoạt động kinh doanh30,116567161532,186856367366
12. Thu nhập khác31,35155874,3826086309
13. Chi phí khác32,881000,599908693
14. Lợi nhuận khác40,34274874,3226177616
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,116601436406,190082544982
