Mã CK,DVW,DWC,DWS,DXG,DXL,DXP,DXS,DXV,DZM,E12,E29,EBS,ECI,ECO,EFI,EIC,EID,EIN,ELC,EME,EMS,EPC,EPH,EVE,EVG,FBC,FCC,FCM,FCN,FCS,FDC,FGL,FHN,FHS,FIC,FID,FIR,FIT,FMC,FOC,FOX,FPT,FRC
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,A&C,AFC,UHY,EY,VAE,UHY,EY,AnViet,,IAV,AnViet,AAC,AAC,AISC,CPA VIETNAM,AAC,AASC,AASCS,UHY,AASCS,AASC,AFA,AASC,EY,AFC,VAE,UHY,EY,CPA VIETNAM,CPA VIETNAM,VACO,Vietvalues,VACO,AASCS,CPA VIETNAM,UHY,AFC,A&C,Deloitte,PWC,PWC,PWC,CPA VIETNAM
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,24-03-2025,26-03-2025,27-03-2025,01-04-2025,26-03-2025,28-03-2025,01-04-2025,20-03-2025,05-02-2025,31-03-2025,03-04-2025,02-04-2025,02-04-2025,02-04-2025,02-04-2025,11-03-2025,20-03-2025,02-04-2025,31-03-2025,21-04-2025,24-03-2025,01-04-2025,14-02-2025,28-03-2025,01-04-2025,26-02-2025,25-03-2025,01-04-2025,01-04-2025,28-02-2025,18-03-2025,19-03-2025,05-03-2025,04-04-2025,02-04-2025,02-04-2025,02-01-2025,26-03-2025,24-03-2025,05-03-2025,11-03-2025,14-03-2025,05-04-2025
Ngày ký kiểm toán,12-03-2025,17-03-2025,25-03-2025,28-03-2025,25-03-2025,24-03-2025,28-03-2025,10-03-2025,,24-03-2025,31-03-2025,28-03-2025,28-03-2025,21-03-2025,27-03-2025,26-02-2025,14-03-2025,29-03-2025,26-03-2025,27-03-2025,13-03-2025,24-03-2025,12-02-2025,26-03-2025,31-03-2025,19-02-2025,20-03-2025,31-03-2025,31-03-2025,20-02-2025,17-03-2025,10-03-2025,28-02-2025,06-03-2025,25-03-2025,29-03-2025,25-12-2024,25-03-2025,20-03-2025,20-02-2025,24-02-2025,11-03-2025,26-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,44936508869,239581871102,177395136569,26133343597946,32541973067,537734045161,14276268088427,115085518985,52909115027,73782078119,415068818173,116455127134,44493415674,256812755933,20922499432,106803473620,597231337319,899511361955,1184524982647,163620900292,610444670155,21897504561,41432099086,740856476417,4227992529494,354290074535,15949135918,557644884476,6369718313734,46894755233,104078112874,14946725832,82851859286,1424132077787,1392183465355,56578310617,815394883921,5351692520963,2641239437985,928372507103,15257330627437,45535942846453,190385527985
I. Tiền và các khoản tương đương tiền110,15304147884,140183205072,44420748018,1249079279225,26066730488,28205454330,416086372405,14066422944,143849419,6070397472,18152165800,14073678513,12717780973,52430821051,506068158,3817461099,435963730806,278523477,326629549281,47932195125,106332473922,758723335,3369669618,19500426548,464198442713,126877980990,2832970107,31633185640,472986710028,13218954984,35590809394,4304624152,17162576069,97992429613,223142986686,20747358793,5857974132,101436456286,1077460582378,53250437627,679277313660,9315440438884,109515128398
1. Tiền111,13804147884,140183205072,44420748018,361642199820,9566730488,12392336522,200477093000,14066422944,143849419,6070397472,18152165800,8073678513,12717780973,11780821051,306068158,617461099,18607491114,278523477,187129549281,47932195125,44927420679,758723335,3369669618,18905252130,115898442713,86877980990,2832970107,11633185640,384628938995,13218954984,16590809394,4304624152,15562576069,95992429613,204036270661,20747358793,5857974132,98436456286,91860582378,23250437627,349170044324,6725619929289,109515128398
2. Các khoản tương đương tiền112,1500000000,,,887437079405,16500000000,15813117808,215609279405,,,,,6000000000,,40650000000,200000000,3200000000,417356239692,,139500000000,,61405053243,,,595174418,348300000000,40000000000,,20000000000,88357771033,,19000000000,,1600000000,2000000000,19106716025,,,3000000000,985600000000,30000000000,330107269336,2589820509595,
II. Đầu tư tài chính ngắn hạn120,27600000000,5250000000,14000000000,77870684561,1900000000,411640000000,77640684561,5500000000,,,,2318129715,16000000000,45362296404,3130493496,91200000000,30188372362,787419562034,115418782600,,77946277202,,,299099369509,200640000000,,4300000000,6597100000,28079802760,,20000000000,,,375285464227,269713470009,,,887299541667,140043256925,763020228533,11376821923875,21785213686808,
1. Chứng khoán kinh doanh121,,,,,,,,,,,,1669300200,,28263410429,3282723306,,97000000,,749959368,,,,,,,,,,,,,,,,11427575701,,,193020000000,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,-351170485,,-901114025,-152229810,,-90540000,-8893388877,-221176768,,,,,,,,,,,,,,,,-5250335701,,,-5020458333,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,27600000000,5250000000,14000000000,77870684561,1900000000,411640000000,77640684561,5500000000,,,,1000000000,16000000000,18000000000,,91200000000,30181912362,796312950911,114890000000,,77946277202,,,299099369509,200640000000,,4300000000,6597100000,28079802760,,20000000000,,,375285464227,263536230009,,,699300000000,140043256925,763020228533,11376821923875,21785213686808,
III. Các khoản phải thu ngắn hạn130,1516548921,38703765299,87796949318,11089555145173,2256492542,92157336008,9221207827910,68891654219,20205191329,43941951659,247683773910,81388716845,14102104468,87554604577,16894344931,7924378602,27389564551,71072824950,661842022220,95055593601,414625558254,555623909,37471364677,154559767472,2021359430626,131146259265,8816165811,425165874125,4076944199950,12789578452,37870197272,5295329276,12242590118,138626805002,255279930837,34141130003,540550578038,3861942225341,370481462814,108288675040,1815061889259,11381523992803,34963143309
1. Phải thu ngắn hạn của khách hàng131,2126359556,9449124361,74534644257,1601265690444,630399000,85720140151,894824565273,71619122262,50915778748,32076458996,98190594020,41772630801,3979392069,29598893841,,6148038064,31990448466,7934386619,627626911601,70485486939,428994366180,740230928,38959614209,155003878405,228498116633,127387150484,1567768076,444570544777,2080976643373,1886397660,199421450814,4860214300,9177186463,96593050348,300353978968,10627450000,15874200043,428564441476,356928447613,108876824442,1757533007648,10537019113380,52043317707
2. Trả trước cho người bán ngắn hạn132,314655755,3534027516,487872286,3279350947058,33000000,202337339,1036779393772,1078473227,4945328853,1244434810,59464502842,334922669,6419340182,52938606782,,,10753986633,25834701254,26472717399,8588595374,1087447762,50920000,16081120,8630730843,951221372643,3102192406,68176000,1164117510,835605820583,118986814,122886460,159879956,1246862780,33235718043,10889610597,21513680000,170887411462,122138612325,9388171391,936160642,163253428637,610379845664,765045007
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136097256629,
5. Phải thu về cho vay ngắn hạn135,,,,236633335227,,,199733335227,,,2217662067,,35220000000,,,,,,,28862800000,,,261580490,,,74081950000,,,,9084060000,,,,,,,2000000003,,80524595050,,,,9808117590,
6. Phải thu ngắn hạn khác136,254397488,30432913013,19901065031,6402292299331,1593093542,6318269642,7292771229555,18511076732,10008406384,9905931367,90028677048,12142016440,4700605594,5017103954,16894344931,2112006503,3992180959,121924323082,65594394259,23714585206,19665728797,2704492279,76400000,20603115713,767557991350,656916375,8187820611,15517771762,1154130266630,8016231636,37575859998,5704287407,5487910666,8927212661,97700499070,,373405200580,3298809973909,4164843810,15653031220,158903503000,707751585399,1986467498
7. Dự phòng phải thu ngắn hạn khó đòi137,-1178863878,-4712299591,-7126632256,-429987126887,,-83411124,-203081166914,-22317018002,-46070514893,-1502535581,,-8080853065,-997233377,,,-335665965,-19347051507,-104765120802,-86714801039,-7743605392,-35121984485,-3201599788,-1580730652,-29677957489,,,-1007598876,-36086559924,-4099989747,,-199250000000,-5429052387,-3669369791,-129176050,-155754541920,,-19616234047,-68095397419,,-17177341264,-264628050026,-619531925859,-19831686903
8. Tài sản thiếu chờ xử lý139,,,,,,,180470997,,406192237,,,,,,,,,20144534797,,10531474,,,,,,,,,1247399111,2767962342,,,,,2090384122,,,,,,,,
IV. Hàng tồn kho140,462868065,25633107343,24949724685,13406214592820,2176775288,5351074064,4390771827163,25976345354,32053641640,23744448776,139157550075,15548634330,1619785437,68879476480,,3016571395,98748508613,29004465788,77541442346,20524122648,3698994691,19510100931,591064791,253459104730,1525313339923,95805682124,,88488498446,1682936437287,19035737365,,3523951803,52054959291,809176733945,638382564051,,266162166740,409152086811,1001947789487,1061083918,1196303165040,1856756949030,38182962421
1. Hàng tồn kho141,462868065,25633107343,24949724685,13406214592820,2176775288,5351074064,4390771827163,26705185374,32053641640,23747010023,139157550075,16986454408,3673219993,68879476480,,3016571395,113687324282,29004465788,77541442346,22753904404,3698994691,20474203319,591064791,307370576767,1525313339923,100681516329,,98291043222,1682936437287,20526680927,,3684661135,57648751837,809176733945,672548295157,,266162166740,420372965652,1001947789487,1061083918,1213429172696,1990224486513,44298773497
