Mã CK,FRM,FRT,FSO,FT1,FTI,FTM,G36,GAS,GCB,GCF,GDA,GDT,GDW,GEE,GEG,GER,GEX,GGG,GH3,GHC,GIC,GIL,GKM,GLC,GLT,GLW,GMA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASCS,PWC,AFA,VAE,AASCS,AVA,AASC,PWC,AAC,UHY,EY,A&C,AFC,Deloitte,PWC,IAV,Deloitte,NVT,CPA VIETNAM,PWC,PWC,AASCS,IAV,IAV,,Grant Thornton,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,18-03-2025,08-03-2025,04-03-2025,12-03-2025,24-03-2025,03-04-2025,01-04-2025,03-03-2025,18-04-2025,20-03-2025,02-04-2025,31-03-2025,02-04-2025,04-03-2025,31-03-2025,28-02-2025,03-03-2025,28-03-2025,25-03-2025,02-04-2025,25-02-2025,26-03-2025,11-04-2025,03-04-2025,05-05-2025,31-03-2025,02-04-2025
Ngày ký kiểm toán,12-03-2025,03-03-2025,03-03-2025,03-03-2025,20-03-2025,27-03-2025,28-03-2025,20-02-2025,14-04-2025,14-03-2025,26-03-2025,29-03-2025,31-03-2025,26-02-2025,26-03-2025,20-02-2025,28-02-2025,28-03-2025,15-03-2025,26-03-2025,18-02-2025,24-03-2025,09-04-2025,28-03-2025,,18-03-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,95898923035,14026158730456,37041968760,281517348023,70027386251,359391703020,2415160003690,57290495430038,424401994836,395872307738,10338423091776,230246849340,125231925443,6860778186670,1381711542204,26148901354,22828907651783,13656648181,202996536852,317638258967,54068820897,2771023974593,157262876370,13320911211,336251954623,44330043558,757849077967
