Mã CK,API,APL,APP,APT,ARM,ASG,ASM,ASP,AST,ATA,ATB,ATG,ATS,AVC,AVG,BAF,BAL,BAX,BBC,BBH,BBM,BBS,BBT,BCA,BCB,BCC,BCE,BCF,BCG,BCM,BCP,BCR,BCV,BDB,BDG,BDT,BDW,BED,BEL,BFC,BGE,BGW,BHA,BHC,BHG
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,A&C,BDO,VACO,AASC,RSM,AASC,AASCS,CPA VIETNAM,EY,UHY,,IAV,AFC,AAC,NVT,EY,NVA,AASC,Deloitte,AnViet,NVT,AnViet,A&C,NVT,UHY,Deloitte,A&C,AASC,,A&C,DFK,,BDO,AAC,AASC,RSM,CPA VIETNAM,AFA,UHY,Vietvalues,,Vietvalues,iCPA,NVA,Vietvalues
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận từng phần - Ngoại trừ
Ngày công bố báo cáo,02-04-2025,03-03-2025,14-04-2025,03-04-2025,05-03-2025,20-03-2025,01-04-2025,31-03-2025,01-04-2025,02-04-2025,31-03-2025,05-04-2025,24-03-2025,02-04-2025,01-04-2025,31-03-2025,12-03-2025,21-02-2025,31-03-2025,14-03-2025,03-02-2025,21-03-2025,17-03-2025,02-04-2025,26-03-2025,11-03-2025,31-03-2025,26-03-2025,25-01-2025,01-04-2025,21-02-2025,27-01-2025,31-03-2025,11-03-2025,28-03-2025,27-03-2025,12-02-2025,27-02-2025,03-03-2025,11-03-2025,24-01-2025,18-03-2025,05-03-2025,11-03-2025,18-03-2025
Ngày ký kiểm toán,31-03-2025,26-02-2025,31-03-2025,28-03-2025,20-02-2025,15-03-2025,27-03-2025,28-03-2025,28-03-2025,31-03-2025,,28-03-2025,12-03-2025,28-03-2025,28-03-2025,27-03-2025,11-03-2025,18-02-2025,28-03-2025,07-03-2025,23-01-2025,20-03-2025,14-03-2025,29-03-2025,21-03-2025,28-02-2025,27-03-2025,22-03-2025,,29-03-2025,19-02-2025,,25-03-2025,06-03-2025,25-03-2025,24-03-2025,06-02-2025,24-02-2025,28-02-2025,03-03-2025,,14-03-2025,28-02-2025,10-03-2025,14-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1650383881691,125724483696,35894885211,108266617526,164448611222,1759006493907,13566530226970,809260745299,605817871710,5083797685,97999523432,8510529006,15231771464,305701980885,212419056411,3081018989584,30397196183,300182253950,1173101914946,84349366422,20735102168,222072184296,211962147853,2553862521772,35247505582,672229543798,586003796309,406722778680,22192281555771,31703966346820,60989971746,4997023204884,8009653440,21506975167,892610103449,175458991765,67780324344,34289136388,59242561115,2608895504667,8159693851395,86026534234,156442874815,358746841,79254189195
