Mã CK,GMC,GMD,GMH,GMX,GND,GPC,GSM,GSP,GTA,GTD,GTS,GVR,GVT,H11,HAD,HAF,HAG,HAH,HAI,HAM,HAN,HAP,HAR,HAS,HAT,HAX,HBC,HBD,HBH,HC1,HC3,HCB,HCC,HCD,HCI,HCT,HD2,HD6,HD8,HDA,HDC,HDG,HDM
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASCS,A&C,iCPA,Vietvalues,AASCS,AISC,AnViet,Deloitte,IAV,CPA VIETNAM,AASCS,AVA,AASC,CPA VIETNAM,NVT,NVT,EY,A&C,,PKF,CPA VIETNAM,BDO,IAV,AASC,NVT,Vietvalues,AFC,AnViet,NVT,AASC,iCPA,AFA,AAC,IAV,CPA VIETNAM,AnViet,CPA VIETNAM,CPA VIETNAM,CPA VIETNAM,IAV,IAV,EY,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần
Ngày công bố báo cáo,21-03-2025,01-04-2025,24-03-2025,26-03-2025,13-03-2025,02-04-2025,20-03-2025,12-03-2025,17-02-2025,31-03-2025,13-03-2025,02-04-2025,02-04-2025,03-04-2025,17-03-2025,26-03-2025,01-04-2025,21-02-2025,21-03-2025,05-03-2025,03-04-2025,28-03-2025,31-03-2025,31-03-2025,14-03-2025,24-02-2025,04-04-2025,20-03-2025,18-03-2025,21-03-2025,13-03-2025,10-03-2025,18-03-2025,28-03-2025,28-03-2025,05-03-2025,02-04-2025,31-03-2025,22-01-2025,02-04-2025,28-03-2025,02-04-2025,20-03-2025
Ngày ký kiểm toán,17-03-2025,31-03-2025,20-03-2025,21-03-2025,07-03-2025,31-03-2025,18-03-2025,05-03-2025,12-02-2025,28-03-2025,04-03-2025,28-03-2025,26-03-2025,27-03-2025,14-03-2025,24-03-2025,31-03-2025,15-02-2025,,27-02-2025,26-03-2025,27-03-2025,26-03-2025,25-03-2025,07-03-2025,19-02-2025,31-03-2025,10-03-2025,12-03-2025,18-03-2025,06-03-2025,07-03-2025,17-03-2025,25-03-2025,26-03-2025,25-02-2025,21-03-2025,26-03-2025,16-01-2025,28-03-2025,28-03-2025,31-03-2025,12-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,187315471035,6673567765409,159154280541,57290091023,343502488497,480947786395,131749122881,626699366786,286242338183,68707912319,884951025741,27670285917606,889925238089,92469011947,75744139662,98407699129,8435357672000,1752839556274,2080998837650,623929704012,5064202899412,390489477579,316955542421,132146082639,165660193121,1315736137362,13734790530380,14510525051,193728633674,982404163854,514514800624,411872860175,105685385772,608868235981,80846706571,31907874016,300458316899,608525674488,163414855189,326870618332,2320586228667,3227665143710,820074737085
I. Tiền và các khoản tương đương tiền110,78791314690,3964316764607,6430101553,5979659042,15550928023,13084274412,17380661389,129190043913,2253147302,223347952,276337152422,5778855663194,133185161653,2890043343,874168132,34894594293,149708825000,921889788422,4691631736,75832658187,438522216415,17297445823,4128457123,3141626548,8258746114,261814418901,268157396740,3308024568,107106532674,68381594512,2469829360,18087599851,10357911224,93801463027,2977712940,2806569072,13970894826,67845230186,2878298955,105144995918,10294540974,332316767582,54131609503
1. Tiền111,5844668423,3198224475079,6430101553,5979659042,15550928023,13084274412,15252918985,53750043913,2253147302,223347952,56337152422,3017617559937,68185161653,2890043343,874168132,6894594293,149708825000,514889788422,4691631736,61201171022,402537397705,16297445823,4128457123,3141626548,8258746114,151814418901,261657396740,3308024568,3106532674,55399349512,889829360,18087599851,10357911224,49532463027,2977712940,2806569072,11970894826,38635308388,1878298955,105144995918,10294540974,155477126704,22131609503
2. Các khoản tương đương tiền112,72946646267,766092289528,,,,,2127742404,75440000000,,,220000000000,2761238103257,65000000000,,,28000000000,,407000000000,,14631487165,35984818710,1000000000,,,,110000000000,6500000000,,104000000000,12982245000,1580000000,,,44269000000,,,2000000000,29209921798,1000000000,,,176839640878,32000000000
II. Đầu tư tài chính ngắn hạn120,680000000,1021206010000,91831946120,,123046708936,50000000000,2565168740,167000000000,186250000000,,764061970,13952353795617,70660727824,10430000000,52000000000,38300000000,,70500000000,261433768950,164524029923,47652985021,30600000000,,1070687087,140000000000,3000000000,14116633715,11160000000,,,431353124213,45076290678,,58295100118,14600000000,19340000000,,33187200000,138610000000,1700000000,4614268164,736006983612,54000000000
1. Chứng khoán kinh doanh121,,34301944940,3434599720,,19968101794,,,,,,,1163634161,,,,,,,,,100000000,,,2017579550,,,,,,,96012269715,,,,,,,,,,4193767332,518593624818,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,-25395934940,,,-3921392858,,,,,,,-68237000,,,,,,,,,,,,-946892463,,,,,,,-9915145502,,,,,,,-2018636260,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,680000000,1012300000000,88397346400,,107000000000,50000000000,2565168740,167000000000,186250000000,,764061970,13951258398456,70660727824,10430000000,52000000000,38300000000,,70500000000,261433768950,164524029923,47552985021,30600000000,,,140000000000,3000000000,14116633715,11160000000,,,345256000000,45076290678,,58295100118,14600000000,19340000000,,35205836260,138610000000,1700000000,420500832,217413358794,54000000000
III. Các khoản phải thu ngắn hạn130,908821727,1235608050191,20236714326,5733429784,59010645996,395843263703,111201739553,192675926904,20367469915,29739328570,484701659055,2539074723889,405688284353,68480131967,1593483549,14136253457,7536948369000,504419818284,1491299372484,239604222370,2876641099414,245926894181,312674723539,102701908742,4477652561,340315148631,11012402255152,42500483,61192943583,546571154922,78495981334,144574804700,85565197028,174208637599,46256921807,9572828769,59010285849,496847807742,5453075794,105103395674,927549579977,1267082296916,420484052030
1. Phải thu ngắn hạn của khách hàng131,4103011740,598531863691,19011995244,1549141689,57318266002,17602153893,109782517218,171126012011,14639266525,27548872213,369128617703,1548547265059,373065028564,10759765866,49599690,3062570215,1383718468000,332293995745,560726007914,244005262463,1885422336795,104672223588,18480000505,72752163867,806669982,123622147361,6851546665935,21460000,58765756411,465583234982,68881786792,144529321282,116149383245,137368725158,15480372802,9032612387,31526977233,193889806713,,89251144916,591892931705,1366329649576,342713691965
2. Trả trước cho người bán ngắn hạn132,4168030258,280469711694,179991000,763455000,4395432916,10470229297,667067440,4926345413,2873526679,802486765,162041897822,354480392462,18603979735,5478445748,110000000,4776375548,1022089432000,14323032231,214002519806,13849909901,654134611821,2016278951,220571250000,2755345977,1955018551,77822172290,1149112923939,,113483465,39943365759,,5294997478,119000023,34680171770,3209871536,317828825,7787481151,91942723966,1489524111,3737790952,179001488578,92634467946,81864946988
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6711278841,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,2260215162259,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,30923500000,,,,70000000000,,,,,,8048249000,,,,4500000000,2684222732000,38000000000,845235929000,,,79000000000,70000000000,,,,257190569857,,,,,,,,,,,78750139954,,,,56299901708,
6. Phải thu ngắn hạn khác136,17400000,373778192874,2616470192,3420833095,1738787928,298341666259,752154895,16623569480,3260689702,1387969592,18696428517,916345560357,29848918826,53222162262,1433883859,27968133439,2504387857000,160082569939,400901043121,42162213925,506861634204,262775452003,8688648534,28242087953,1745498095,139880601115,2391412491045,21040483,2313703707,108547133705,9614194542,1205917120,287154373,2159740671,6770692733,784189594,19695827465,142604732022,3963551683,21147867882,163349340575,165632463562,2371064588
7. Dự phòng phải thu ngắn hạn khó đòi137,-7379620271,-48095218068,-1571742110,,-4441840850,-570785746,,,-406012991,,-65165284987,-355597946855,-15829642772,-980241909,,-26170825745,-57470120000,-40279779631,-529566127357,-60413163919,-169777483406,-202537060361,-5065175500,-1047689055,-29534067,-1009772135,-1897075557883,,,-67502579524,,-6455431180,-31194137485,,,-561802037,,-10339594913,,-9033408076,-6694180881,-413814185876,-6465651511
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,67251203866,,,,,,,,,,,,,,,,,,,,,203796872,,14084705895,,,,,,,,
IV. Hàng tồn kho140,94249844471,83419825055,40134386782,44876835758,144518852605,21107465518,463529529,40556109731,66930179616,37919719858,98237062574,4351510470326,279478459330,9895828994,21276487981,3100505649,694457742000,87781858225,305096288395,135461153500,1566589651484,81611740987,,25197281181,2539351266,660820663188,2357127255268,,25403847951,357643664268,1904732779,195382489795,9261841946,278201388153,16501445644,63465162,225165144958,9116938871,16277979328,110606782541,1360640641472,856932022487,281198213226
1. Hàng tồn kho141,109020339897,83419825055,42119324734,44876835758,160204311685,21107465518,463529529,40556109731,66930179616,37919719858,98237062574,4373924132656,279478459330,9895828994,21276487981,3100505649,696799317000,87781858225,307196094787,135461153500,1566632308511,82209748683,,25197281181,2539351266,666273074770,2396702177680,,25403847951,357643664268,1904732779,204940489996,9261841946,278201388153,16501445644,63465162,225165144958,9116938871,16277979328,110606782541,1360939689091,867156223251,282835626731
