Mã CK,HDP,HDS,HDW,HEC,HEJ,HEP,HES,HEV,HFB,HFC,HFX,HGM,HGT,HHC,HHG,HHN,HHP,HHS,HHV,HID,HIG,HII,HIO,HJC,HJS,HKB,HKT,HLB,HLC,HLD,HLO,HLS,HLY,HMC,HMD,HMG,HMH,HMR,HMS,HNA,HNB,HND,HNF,HNG,HNI,HNM,HNP,HNR
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,VAE,AFC,VAE,RSM,AASC,AISC,VAE,AAC,AASCS,CPA VIETNAM,UHY,AASC,AASC,AnViet,iCPA,A&C,NVT,AASC,AASCS,,,EY,EY,AnViet,UHY,CPA VIETNAM,AFC,iCPA,AFC,CPA VIETNAM,RSM,IA,AASC,AASC,UHY,AASC,CPA VIETNAM,AASC,UHY,AnViet,AASC,Deloitte,AnViet,EY,NVT,IAV,VAE,Deloitte
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,02-04-2025,25-03-2025,14-03-2025,28-03-2025,01-04-2025,25-03-2025,14-03-2025,01-04-2025,21-03-2025,28-03-2025,28-03-2025,11-03-2025,25-03-2025,02-04-2025,02-04-2025,29-03-2025,31-03-2025,14-03-2025,31-03-2025,03-05-2025,06-05-2025,31-03-2025,07-03-2025,31-03-2025,11-03-2025,27-03-2025,02-04-2025,02-04-2025,25-03-2025,05-03-2025,28-03-2025,17-03-2025,12-02-2025,10-03-2025,26-03-2025,04-03-2025,01-04-2025,31-03-2025,02-04-2025,13-03-2025,18-03-2025,02-04-2025,20-03-2025,02-04-2025,13-03-2025,29-03-2025,20-02-2025,18-02-2025
Ngày ký kiểm toán,24-03-2025,20-03-2025,11-03-2025,21-03-2025,31-03-2025,17-03-2025,07-03-2025,27-03-2025,14-03-2025,24-03-2025,24-03-2025,04-03-2025,24-03-2025,31-03-2025,28-03-2025,26-03-2025,28-03-2025,14-03-2025,27-03-2025,,,28-03-2025,03-03-2025,21-03-2025,28-02-2025,24-03-2025,21-03-2025,25-03-2025,14-03-2025,28-02-2025,19-03-2025,10-03-2025,10-02-2025,28-02-2025,21-03-2025,24-02-2025,28-03-2025,29-03-2025,31-03-2025,11-03-2025,12-03-2025,31-03-2025,17-03-2025,31-03-2025,08-03-2025,25-03-2025,19-02-2025,14-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,146944463742,11862359016,68735849351,298880317964,167024169488,75808040017,72304211581,19723567738,459367483443,198108504431,16174058311,343844060919,126979806114,698745833466,3765753843,18287624308,1158650865171,1555096250134,1282949495901,283993270543,579826340466,1435739906243,105993229700,264203891095,155771377399,56424051404,66429829496,700826176546,601598180952,1921529223346,115424527108,124494162300,2933251539,1253735081129,53160440499,375386260182,111604969771,82031530140,1401498932478,624050350473,93149030865,3540722108169,1198171727912,2474455316000,620029094940,383175666349,127963547323,273487388967
