Mã CK,HOM,HOT,HPB,HPD,HPG,HPH,HPI,HPP,HPW,HPX,HQC,HRB,HRC,HSG,HSL,HSM,HSP,HSV,HT1,HTC,HTE,HTG,HTI,HTL,HTM,HTN,HTP,HTT,HTV,HU1,HU3,HU4,HU6,HUB,HUG,HUT,HVA,HVH,HVN,HVT,HVX,HWS,IBD,ICC
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,Deloitte,AFA,AnViet,AnViet,KPMG,AASC,AFC,CPA VIETNAM,AASC,CPA VIETNAM,AFC,AVA,IAV,PWC,NVT,AnViet,CPA VIETNAM,AASC,Deloitte,Vietvalues,AISC,KPMG,EY,A&C,NVT,AASC,,AISC,RSM,CPA VIETNAM,CPA VIETNAM,CPA VIETNAM,CPA VIETNAM,Vietvalues,AnViet,BDO,A&C,A&C,KPMG,AASC,AnViet,Vietvalues,AASC,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ
Ngày công bố báo cáo,26-03-2025,21-03-2025,24-03-2025,14-02-2025,28-03-2025,19-03-2025,29-03-2025,31-03-2025,28-03-2025,01-04-2025,01-04-2025,12-03-2025,25-03-2025,02-01-2025,31-03-2025,28-03-2025,13-03-2025,31-03-2025,17-03-2025,26-02-2025,04-04-2025,13-03-2025,31-03-2025,31-03-2025,01-04-2025,20-03-2025,23-01-2025,31-03-2025,04-03-2025,31-03-2025,21-03-2025,28-02-2025,10-03-2025,25-03-2025,02-04-2025,02-04-2025,10-03-2025,27-03-2025,01-04-2025,14-03-2025,06-03-2025,11-03-2025,11-03-2025,27-03-2025
Ngày ký kiểm toán,17-03-2025,11-03-2025,19-03-2025,06-02-2025,24-03-2025,03-03-2025,26-03-2025,25-03-2025,18-03-2025,31-03-2025,31-03-2025,03-03-2025,18-03-2025,25-12-2024,26-03-2025,27-03-2025,10-03-2025,25-03-2025,10-03-2025,18-02-2025,31-03-2025,10-03-2025,21-03-2025,27-03-2025,28-03-2025,17-03-2025,,29-03-2025,28-02-2025,27-03-2025,17-03-2025,24-02-2025,28-02-2025,18-03-2025,25-03-2025,26-03-2025,24-02-2025,22-03-2025,31-03-2025,05-03-2025,06-03-2025,06-03-2025,04-03-2025,27-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,501012788752,21707188905,64578006615,26941265240,86674276272995,28462146580,829467117901,999718121064,673141738931,6280148452585,6675961961080,115582305676,110401324987,14174354519923,253399925872,486271500473,208582994867,379172131258,1903995283234,284717519574,217407870587,2095059428168,339141803117,210566231624,1043479743747,7120955383085,1762891769686,12909751549,367101766634,555814680926,175325653182,695653928489,77866495636,525725958088,407025079356,12304365044699,150227316076,342962432560,17337695278340,389404648377,119635062693,468368679618,113358298733,139268217566
