Mã CK,ICF,ICG,ICI,ICN,ICT,IDC,IDI,IDJ,IDP,IDV,IFS,IHK,IJC,ILA,ILB,ILC,ILS,IME,IMP,IN4,INC,ING,INN,IPA,IRC,ISG,ISH,IST,ITA,ITC,ITD,ITQ,ITS,JOS,JVC,KBC,KCB,KCE,KDC,KDH,KDM,KGM,KHD,KHG,KHP,KHS,KHW
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,DFK,AVA,CPA VIETNAM,EY,AFC,EY,AASCS,A&C,EY,AISC,KPMG,AASC,A&C,AISC,PWC,iCPA,CPA VIETNAM,VACO,KPMG,AISC,EY,AASCS,AVA,UHY,AASC,A&C,EY,PWC,,Vietvalues,,NVT,CPA VIETNAM,AFC,AnViet,EY,BDO,AFA,EY,PWC,AISC,CPA VIETNAM,iCPA,AnViet,AFA,AASCS,AFA
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,04-04-2025,02-04-2025,27-03-2025,31-03-2025,11-03-2025,02-04-2025,31-03-2025,02-04-2025,11-03-2025,15-11-2024,20-03-2025,02-04-2025,24-03-2025,03-04-2025,17-03-2025,20-03-2025,02-04-2025,02-04-2025,20-03-2025,02-04-2025,26-03-2025,20-02-2025,02-04-2025,02-04-2025,25-03-2025,25-03-2025,24-03-2025,12-03-2025,04-02-2025,01-04-2025,29-04-2025,02-04-2025,28-03-2025,04-04-2025,01-04-2025,01-04-2025,26-03-2025,25-02-2025,01-04-2025,24-03-2025,01-04-2025,10-03-2025,17-03-2025,01-04-2025,20-03-2025,20-03-2025,25-02-2025
Ngày ký kiểm toán,28-03-2025,26-03-2025,18-03-2025,20-03-2025,10-03-2025,27-03-2025,24-03-2025,28-03-2025,07-03-2025,06-11-2024,17-03-2025,28-03-2025,18-03-2025,31-03-2025,05-03-2025,17-03-2025,24-03-2025,31-03-2025,18-03-2025,25-03-2025,20-03-2025,19-02-2025,24-03-2025,29-03-2025,24-03-2025,21-03-2025,14-03-2025,28-02-2025,,28-03-2025,,28-03-2025,27-03-2025,26-03-2025,31-03-2025,29-03-2025,25-03-2025,19-02-2025,31-03-2025,21-03-2025,31-03-2025,27-02-2025,14-03-2025,31-03-2025,12-03-2025,14-03-2025,21-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,150279981834,336733164565,166333613028,906722791473,1244669871657,7422054970282,7223258907795,2860753183575,3881686563907,485005815374,1324627558000,35625142660,4497720660501,276175672271,368836155471,86416582541,131752517050,69767610955,1409543678165,40808250042,30605219225,36400777307,795699180220,1955675716328,140631854711,166449607426,90803489374,168169071837,5807978008406,2165117203528,543804539258,398695444488,1981569107368,13810505247,562294668490,36075390688153,94519773978,23636863407,6299254818797,28843541265000,57314927773,853900016529,35944627345,1726212405239,1031122014996,239844009360,175736397336
