Mã CK,KIP,KKC,KMR,KMT,KOS,KPF,KSB,KSD,KSF,KSH,KSQ,KST,KSV,KTC,KTL,KTS,KVC,KWA,L10,L12,L14,L18,L35,L40,L43,L45,L61,L62,L63,LAF,LAI,LAS,LAW,LBE,LBM,LCD,LCG,LCM,LDG,LDP,LDW,LG9,LGC,LGL
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASC,UHY,AASCS,AASC,UHY,,EY,IAV,Deloitte,,IAV,VACO,BDO,AFC,AASC,RSM,AASCS,FAC,UHY,CPA VIETNAM,AnViet,CPA VIETNAM,AASC,RSM,AASC,AASC,AASC,AFC,AASC,Deloitte,EY,VAE,VACO,AAC,RSM,IAV,Vietvalues,UHY,AISC,A&C,iCPA,iCPA,iCPA,UHY
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến
Ngày công bố báo cáo,20-03-2025,03-04-2025,27-03-2025,05-03-2025,01-04-2025,21-01-2025,01-04-2025,21-03-2025,01-04-2025,04-03-2025,02-04-2025,11-03-2025,27-03-2025,08-04-2025,02-04-2025,19-08-2024,29-03-2025,01-04-2025,24-02-2025,19-03-2025,20-03-2025,02-04-2025,17-03-2025,31-03-2025,31-03-2025,02-04-2025,29-03-2025,28-03-2025,18-03-2025,13-03-2025,27-03-2025,25-02-2025,26-02-2025,31-03-2025,26-03-2025,04-04-2025,01-04-2025,02-04-2025,01-04-2025,02-04-2025,11-03-2025,02-04-2025,08-03-2025,02-04-2025
Ngày ký kiểm toán,14-03-2025,23-03-2025,26-03-2025,27-02-2025,28-03-2025,,31-03-2025,10-03-2025,29-03-2025,,28-03-2025,10-03-2025,21-03-2025,26-03-2025,29-03-2025,08-08-2024,27-03-2025,19-03-2025,19-02-2025,08-03-2025,18-03-2025,28-03-2025,14-03-2025,25-03-2025,28-03-2025,28-03-2025,27-03-2025,20-03-2025,14-03-2025,06-03-2025,21-03-2025,25-02-2025,18-02-2025,25-03-2025,25-03-2025,28-03-2025,31-03-2025,28-03-2025,31-03-2025,22-03-2025,04-03-2025,28-03-2025,06-03-2025,29-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,199598052190,74175644922,656635297067,718553987690,3325467396381,50162623214,2013574626937,84962194583,13425276158439,525639934616,36807452660,209004385592,4569689898251,913370992050,363133819520,279685477523,361598615107,44526968581,1206685207779,278105978195,501871725942,4539013881549,172845158216,175974352962,346021975649,407345248215,621167167706,291603049477,358818928640,262382493208,988648966623,2271310188354,37819942430,36406026297,273250329551,101743402869,4607206287431,59404271007,3413315237189,156732832822,89887963601,366214288757,1942794069640,673993152613
