Mã CK,LGM,LHC,LHG,LIC,LIG,LIX,LKW,LLM,LM3,LM7,LM8,LMC,LMH,LMI,LNC,LO5,LPT,LQN,LSG,M10,MA1,MAC,MAS,MBG,MBN,MBT,MCC,MCF,MCG,MCH,MCM,MCO,MCP,MDA,MDC,MDF,MDG,MEC,MED,MEF,MEL,MES,MFS
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,Vietvalues,RSM,AFC,iCPA,CPA VIETNAM,A&C,A&C,AASC,AFC,AASC,UHY,AISC,AASCS,CPA VIETNAM,Vietvalues,AASC,NVT,iCPA,RSM,KPMG,AASC,A&C,RSM,IAV,CPA VIETNAM,UHY,AASCS,CPA VIETNAM,A&C,KPMG,KPMG,NVT,AASC,A&C,AASC,CPA VIETNAM,AASC,A&C,AASC,AASC,IAV,AISC,A&C
Ý kiến kiểm toán,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần
Ngày công bố báo cáo,31-03-2025,31-03-2025,13-03-2025,03-04-2025,02-04-2025,27-02-2025,23-01-2025,01-04-2025,02-04-2025,06-03-2025,10-03-2025,04-04-2025,03-04-2025,02-04-2025,27-03-2025,05-03-2025,11-03-2025,10-04-2025,25-03-2025,02-04-2025,02-04-2025,18-03-2025,18-03-2025,11-03-2025,14-03-2025,11-03-2025,28-03-2025,05-03-2025,20-03-2025,05-03-2025,25-03-2025,28-03-2025,01-04-2025,02-04-2025,18-03-2025,18-02-2025,25-03-2025,02-04-2025,31-03-2025,24-03-2025,17-03-2025,18-03-2025,26-02-2025
Ngày ký kiểm toán,25-03-2025,25-03-2025,04-03-2025,31-03-2025,27-03-2025,20-02-2025,20-01-2025,31-03-2025,29-03-2025,28-02-2025,07-03-2025,31-03-2025,28-03-2025,26-03-2025,19-03-2025,03-03-2025,03-03-2025,29-03-2025,19-03-2025,29-03-2025,20-03-2025,11-03-2025,12-03-2025,27-02-2025,10-03-2025,07-02-2025,17-03-2025,24-02-2025,10-03-2025,24-02-2025,25-03-2025,25-03-2025,23-03-2025,21-03-2025,13-03-2025,12-02-2025,20-03-2025,28-03-2025,21-03-2025,17-03-2025,10-03-2025,05-03-2025,18-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,14493660220,607500864584,2172380471661,2164613683754,3734010298544,918555014948,52760920599,5257743842325,137214751044,78728241502,1052350048794,28665058898,102953115523,141304107077,17223000355,248204129622,154657392769,44519404344,486415572152,2054803490754,65660672560,226713342003,33843300606,961610332100,58800425711,13741968052,13093474429,170878235463,97495267265,10393757226426,2114926082075,78955970754,294219098541,47237845059,489723930483,319735313259,224831519722,432670095422,253080671735,196211872568,656321558697,35268000703,236309838532
I. Tiền và các khoản tương đương tiền110,1673118773,273024811700,115643526768,481377341513,36636267168,373276791759,5612865747,2976474914887,242303348,2654285591,37144477604,15183801602,27349781106,17997752089,304957747,433638545,2417469893,351870940,72414129935,231856066687,3900868146,41201213966,16757696773,93794659536,6088446255,5611626721,3937999063,3125122734,5096837970,5677335607288,36267752726,3505909094,16906377798,283018009,2759307911,38328640508,23154813814,2415761399,42611033335,83690578486,17220861473,874199042,14672519477
1. Tiền111,1223118773,110019595427,61643526768,197356629184,33086267168,33276791759,5612865747,1538774914887,242303348,2654285591,17144477604,15183801602,27349781106,17997752089,304957747,433638545,2417469893,351870940,2414129935,153051010225,3900868146,16083064651,16757696773,29794659536,4088446255,5611626721,2720445355,3125122734,5096837970,82452718683,36267752726,3505909094,15906377798,283018009,2759307911,38328640508,6654813814,2415761399,30611033335,73690578486,17220861473,874199042,14672519477
2. Các khoản tương đương tiền112,450000000,163005216273,54000000000,284020712329,3550000000,340000000000,,1437700000000,,,20000000000,,,,,,,,70000000000,78805056462,,25118149315,,64000000000,2000000000,,1217553708,,,5594882888605,,,1000000000,,,,16500000000,,12000000000,10000000000,,,
II. Đầu tư tài chính ngắn hạn120,,,899578321206,62300000000,67937334003,,44000000000,6361600000,,,93000000000,,,22154223500,,,1002240000,,,408391753426,54228535550,115364428161,,1100000000,33200000000,7876259999,,,906801515,365174443768,1603000000000,,85000000000,,,10000000000,314500000,445190400,12000000000,11000000000,,18058320059,97700501683
1. Chứng khoán kinh doanh121,,,,,,,,,,,,,,,,,,,,,,27464428161,,,,10774769720,,,1128905891,,,,,,,,346853214,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,,,,,,,,,,,,-2898509721,,,-222104376,,,,,,,,-32353214,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,899578321206,62300000000,67937334003,,44000000000,6361600000,,,93000000000,,,22154223500,,,1002240000,,,408391753426,54228535550,87900000000,,1100000000,33200000000,,,,,365174443768,1603000000000,,85000000000,,,10000000000,,445190400,12000000000,11000000000,,18058320059,97700501683
III. Các khoản phải thu ngắn hạn130,6731097688,183545416398,315870599877,1108046090109,3019690844458,212002209044,1336395175,1716969351956,115333750210,21830664717,459475752362,10742898919,4880545235,55504061804,1725782585,80572822470,60858990160,19887815608,370143166833,538181967723,6505515423,63745917166,9049348509,439477584379,14986565038,249200000,1168756920,35831513072,43478517745,1704720808025,287023894347,56762940959,129503587107,40957977792,410524309950,106917446884,180915781135,292089850112,99153240174,50391670910,101610365358,13043305198,121866984761
1. Phải thu ngắn hạn của khách hàng131,14980027667,119700325386,15808428463,908246173489,1668434274912,203195441893,692524824,1403658376872,59059360891,14079137036,432182169576,863879099,119866972792,67451833759,1168863604,76695011837,58165833614,15564457604,1625700000,603852955408,5996963543,17956186761,10680666443,331432370806,13590825936,,2777737616,37388664052,46590605262,1031310295480,206655644830,26983395338,65496808725,37940991340,401013760370,82068955032,66414588676,202304712160,69931506630,41910750118,102122495463,8434098291,103603290988
2. Trả trước cho người bán ngắn hạn132,724052000,59966949287,12417792810,163180631286,677441220174,4337080978,84776983,716551979168,7556456764,3799448430,7972714900,1472444380,90981523295,643096900,130766600,1401787570,252031000,1420508940,4621768593,30571211987,761247500,41499151054,3000000,114803188848,1213541433,249200000,16170444,154402000,11281258844,329006733591,29914356101,21058476127,3933045991,,4207953127,8608180628,23543677294,20074620928,27889381672,4467153642,1208849422,1651261875,585720416
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100000000,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,7291160010,12465908902,,,359312856281,,,,,6157568000,,,,,,340000000000,,,,,6000000000,,,,,9333020468,244977123287,,,64940000000,,,,500000000,2659332458,,,,,
6. Phải thu ngắn hạn khác136,744241463,35495313302,287889833149,417724074353,693593315587,4469686173,678337662,470920424895,27269898325,6221401714,27479907874,8406575440,27610410947,1582149132,571889181,9991617326,2595956546,5982405017,23895698240,12769511997,734020452,4914332559,920911829,91958824,1807572372,,249612200,4105520,67460324275,99426655667,50608993416,23539772871,643291977,3112690636,19509175604,1524485662,129072748393,82425056917,4367805257,4055947450,4538122403,9281468639,18011984967
7. Dự phòng phải thu ngắn hạn khó đòi137,-10663899949,-31617171577,-245454545,-388890346744,-32243875117,,-119244294,-1233474285260,-50500860651,-2269322463,-8159039988,,-239735929799,-14173017987,-145736800,-11763747755,-154831000,-3079555953,,-109011711669,-986716072,-623753208,-2555229763,-12849934099,-1625374703,,-1874763340,-1715658500,-91186691104,,-155100000,-14718703377,-5509559586,-95704184,-14206579151,-1919105132,-38615233228,-32150897270,-3035453385,-42180300,-6259101930,-6323523607,-334011610
8. Tài sản thiếu chờ xử lý139,946676507,,,494397715,,,,,71948894881,,,,,,,4248153492,,,,,,,,,,,,,,,,,,,,16634930694,,16777024919,,,,,
IV. Hàng tồn kho140,2824191594,143920667536,827775895451,479379168966,569398906174,230963578690,1238466822,439300807573,21334800513,54243291194,457178996560,2513053791,69809321543,43409141192,15109262666,167197668607,81650141678,24174906379,,797655790886,185129535,3849171437,4970977219,413196180869,4402115697,,7395727852,131297065754,44152104546,2582184604799,172386603573,17822019157,61637465146,5946702761,53095917917,156680388830,15635621701,117811064678,87539703698,47616552925,533421737149,3001449215,447270650
1. Hàng tồn kho141,5170278725,145471472405,827775895451,501951713836,569398906174,230963578690,1238466822,439300807573,21334800513,54243291194,457178996560,2687235975,69809321543,43409141192,15846900494,167197668607,81650141678,24174906379,,801653718890,185129535,3887038391,4970977219,413196180869,4402115697,,7548661082,131297065754,44152104546,2628204413540,172957909407,17822019157,61637465146,5946702761,53095917917,159646407717,15635621701,117811064678,87539703698,54173471028,533421737149,3108525203,447270650
2. Dự phòng giảm giá hàng tồn kho 149,-2346087131,-1550804869,,-22572544870,,,,,,,,-174182184,,,-737637828,,,,,-3997928004,,-37866954,,,,,-152933230,,,-46019808741,-571305834,,,,,-2966018887,,,,-6556918103,,-107075988,
