Mã CK,NAV,NAW,NBB,NBC,NBE,NBP,NBT,NBW,NCG,NCS,NCT,ND2,NDC,NDN,NDP,NDT,NDW,NDX,NED,NEM,NET,NFC,NHA,NHC,NHH,NHT,NJC,NKG,NLG,NLS,NNC,NNT,NO1,NOS,NQB,NQN,NQT,NRC,NS2,NSC,NSG,NSH,NSL,NSS,NST,NT2
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AFC,A&C,iCPA,AASC,AASC,Deloitte,Vietvalues,AASC,A&C,UHY,UHY,EY,AASC,ASCO,RSM,KPMG,VACO,AISC,CPA VIETNAM,RSM,KPMG,VAE,IAV,AASCS,EY,VACO,AnViet,PWC,EY,A&C,AASCS,VACO,AFC,UHY,iCPA,VACO,Vietvalues,AISC,VAE,Deloitte,AASCS,UHY,VAE,AASC,AnViet,Deloitte
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,02-04-2025,08-04-2025,10-03-2025,25-03-2025,25-03-2025,02-04-2025,02-04-2025,03-04-2025,01-04-2025,27-02-2025,21-03-2025,25-02-2025,02-04-2025,02-04-2025,27-03-2025,01-04-2025,17-03-2025,01-04-2025,01-04-2025,02-04-2025,05-03-2025,03-03-2025,05-03-2025,31-03-2025,31-03-2025,01-04-2025,01-04-2025,25-03-2025,17-03-2025,02-04-2025,21-03-2025,05-03-2025,31-03-2025,26-03-2025,07-03-2025,01-04-2025,20-03-2025,02-04-2025,05-03-2025,27-03-2025,08-04-2025,02-04-2025,10-03-2025,01-04-2025,05-02-2025,17-03-2025
Ngày ký kiểm toán,18-02-2025,31-03-2025,06-03-2025,15-03-2025,24-03-2025,31-03-2025,27-03-2025,28-03-2025,31-03-2025,24-02-2025,10-03-2025,21-02-2025,26-03-2025,27-03-2025,20-03-2025,31-03-2025,10-03-2025,28-03-2025,24-03-2025,29-03-2025,24-02-2025,28-02-2025,25-02-2025,25-03-2025,28-03-2025,28-03-2025,20-03-2025,24-03-2025,14-03-2025,26-03-2025,17-03-2025,25-02-2025,28-03-2025,19-03-2025,06-03-2025,26-03-2025,15-03-2025,31-03-2025,26-02-2025,24-03-2025,28-02-2025,27-03-2025,03-03-2025,28-03-2025,22-01-2025,07-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,94103641039,238817617074,3389657485670,1054753257675,143130126085,369881586665,93471161810,126105314975,2058303725144,161154139650,518817831800,123674269526,372199825833,1011448565385,186250165905,370700513819,110940485327,139950467041,38534057757,39347550759,714889274816,341311146403,194006433766,24956780216,835183275843,160322122520,283454335161,10202370500547,27549227406220,76136136036,236735767992,271795280805,458760647718,119744945729,42261646335,154549943253,126985436315,399050602046,284368744776,1290546146074,11752593531,779580637754,58448203314,155068914469,227798019674,5773811804064
