Mã CK,NTC,NTF,NTH,NTL,NTP,NTT,NTW,NUE,NVL,NVP,NVT,NWT,NXT,OCH,ODE,OGC,OIL,ONE,ONW,OPC,PAC,PAI,PAN,PAP,PAS,PAT,PBC,PBP,PBT,PC1,PCC,PCE,PCF,PCH,PCM,PCT,PDB,PDC,PDN,PDR,PDV,PEG,PEN,PEQ
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASC,NVT,AAC,A&C,KPMG,AFC,A&C,A&C,AISC,VACO,Grant Thornton,CPA VIETNAM,A&C,CPA VIETNAM,AASCS,CPA VIETNAM,Deloitte,A&C,IAV,EY,KPMG,VACO,Deloitte,EY,UHY,PWC,iCPA,Deloitte,Deloitte,KPMG,AASC,Deloitte,AASCS,AISC,AVA,Deloitte,AFA,IAV,RSM,EY,Deloitte,AnViet,CPA VIETNAM,CPA VIETNAM
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần
Ngày công bố báo cáo,21-03-2025,01-04-2025,20-03-2025,20-03-2025,28-03-2025,01-04-2025,12-02-2025,25-02-2025,31-03-2025,31-03-2025,27-03-2025,25-03-2025,01-04-2025,02-04-2025,03-04-2025,01-04-2025,11-03-2025,27-03-2025,08-04-2025,27-03-2025,10-03-2025,03-04-2025,31-03-2025,25-03-2025,03-04-2025,24-02-2025,02-04-2025,11-03-2025,28-02-2025,31-03-2025,10-04-2025,17-03-2025,20-01-2025,03-03-2025,31-03-2025,06-03-2025,31-03-2025,02-04-2025,17-03-2025,04-04-2025,11-03-2025,13-02-2025,26-03-2025,24-02-2025
Ngày ký kiểm toán,14-03-2025,27-03-2025,15-03-2025,17-03-2025,25-03-2025,28-03-2025,06-02-2025,21-02-2025,28-03-2025,24-03-2025,26-03-2025,18-03-2025,27-03-2025,31-03-2025,27-03-2025,31-03-2025,28-02-2025,21-03-2025,31-03-2025,24-03-2025,28-02-2025,27-03-2025,31-03-2025,14-03-2025,28-03-2025,19-02-2025,31-03-2025,26-02-2025,25-02-2025,31-03-2025,31-03-2025,05-03-2025,17-01-2025,27-02-2025,26-03-2025,28-02-2025,24-03-2025,29-03-2025,12-03-2025,03-04-2025,06-03-2025,08-02-2025,18-03-2025,20-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,1904586374638,73900423361,37867702215,2117847681181,4472882423054,739726368206,93739666653,105574979172,207831078798684,51035424060,180662443452,92241864131,27206116680,628613173938,138492173327,676236857416,35543078564691,326764419683,7266411807,903835324897,1832261785850,62033663892,18283085243253,744278577109,766745735052,619450520441,777700050219,104901214406,244594365742,8085980091224,759138671920,292841733819,9024590792,104946605247,47708309975,403056652360,166916892334,103180914673,842985861151,21482523941226,636901664548,369234998883,254368939975,190076015821
