Mã CK,PET,PFL,PGC,PGD,PGN,PGS,PGT,PGV,PHC,PHH,PHN,PHP,PHR,PIA,PIC,PIS,PIT,PIV,PJC,PJS,PJT,PLA,PLC,PLE,PLP,PLX,PMB,PMC,PMG,PMJ,PMP,PMS,PMT,PMW,PNC,PND,PNG,PNJ,PNP,PNT,POB,POM,POS,POT,POV
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,PWC,AASC,KPMG,PWC,UHY,EY,AASCS,Deloitte,CPA VIETNAM,AASC,AASC,UHY,AASC,CPA VIETNAM,AFA,FAC,CPA VIETNAM,AASCS,AnViet,Vietvalues,KPMG,CPA VIETNAM,KPMG,CPA VIETNAM,AFC,KPMG,Deloitte,Vietvalues,AAC,VACO,FAC,CPA VIETNAM,AAC,iCPA,A&C,AnViet,A&C,PWC,A&C,AASCS,AnViet,,PWC,AASC,AnViet
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,18-03-2025,26-03-2025,01-04-2025,24-02-2025,01-04-2025,20-03-2025,02-04-2025,01-04-2025,25-03-2025,18-03-2025,24-03-2025,26-02-2025,31-03-2025,20-03-2025,05-03-2025,03-04-2025,28-03-2025,01-04-2025,07-03-2025,29-03-2025,26-03-2025,24-03-2025,02-04-2025,21-03-2025,01-04-2025,31-03-2025,05-03-2025,28-03-2025,28-03-2025,03-04-2025,31-03-2025,20-03-2025,18-02-2025,24-02-2025,01-04-2025,12-02-2025,07-03-2025,28-03-2025,29-03-2025,25-03-2025,13-02-2025,22-03-2025,20-03-2025,10-03-2025,14-02-2025
Ngày ký kiểm toán,15-03-2025,20-03-2025,29-03-2025,14-02-2025,27-03-2025,17-03-2025,28-03-2025,31-03-2025,20-03-2025,10-03-2025,20-03-2025,21-02-2025,28-03-2025,10-03-2025,25-02-2025,29-03-2025,20-03-2025,26-03-2025,25-02-2025,26-03-2025,24-03-2025,14-03-2025,31-03-2025,12-03-2025,31-03-2025,31-03-2025,03-03-2025,18-03-2025,26-03-2025,28-03-2025,20-03-2025,06-03-2025,17-02-2025,19-02-2025,31-03-2025,07-02-2025,27-02-2025,24-03-2025,19-03-2025,15-03-2025,07-02-2025,,07-03-2025,03-03-2025,06-02-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. TÀI SẢN NGẮN HẠN100,9021308150964,231252096473,1921002547936,3378374535481,164583126116,1769303160908,45120845084,16821305298169,2559728765947,233833514912,175257277695,3094005768117,2570451321097,86888587524,79000867628,250993808072,285453067494,12061351249,83117656351,143399827534,180889257420,76250656522,3238681107303,102065345565,1514439559341,59543529720085,184250440933,335435862125,806532268064,124562538632,180935151584,200884993115,89182888589,104064162727,518254932814,78468689020,62831284081,15692597267632,196320663753,146346107348,99823540589,2518916540218,1977300405927,1371007217058,240149334265
