STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,CF_Q,CF_Y,VS_Q,VS_Y
1,A32,CTCP 32,Hàng tiêu dùng và trang trí,UPCoM,6800000,False,False,False,False
2,AAA,CTCP Nhựa An Phát Xanh,Nguyên vật liệu,HOSE,382274496,False,False,False,False
3,AAH,CTCP Hợp Nhất,Năng lượng,UPCoM,117900000,False,False,False,False
4,AAM,CTCP Thủy sản MeKong,"Thực phẩm, đồ uống và thuốc lá",HOSE,12346411,False,False,False,False
5,AAS,CTCP Chứng khoán SmartInvest,Dịch vụ tài chính,UPCoM,229999521,False,False,False,False
6,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Hàng tiêu dùng và trang trí,HOSE,70819103,False,False,False,False
7,AAV,CTCP AAV Group,Phát triển và quản lý bất động sản,HNX,68987661,False,False,False,False
8,ABB,Ngân hàng TMCP An Bình,Tổ chức tín dụng,UPCoM,1035036762,False,False,False,False
9,ABC,CTCP Truyền thông VMG,Dịch vụ viễn thông,UPCoM,20393000,False,False,False,False
10,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm,UPCoM,72391750,False,False,False,False
11,ABR,CTCP Đầu tư Nhãn hiệu Việt,Dịch vụ viễn thông,HOSE,20000000,False,False,False,False
12,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE,80000000,False,False,False,False
13,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",HOSE,14387207,False,False,False,False
14,ABW,CTCP Chứng khoán An Bình,Dịch vụ tài chính,UPCoM,101150000,False,False,False,False
15,ACB,Ngân hàng TMCP Á Châu,Tổ chức tín dụng,HOSE,4466657912,False,False,False,False
16,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Tư liệu sản xuất,HOSE,104999993,False,False,False,False
17,ACE,CTCP Bê tông Ly tâm An Giang,Nguyên vật liệu,UPCoM,3050781,False,False,False,False
18,ACG,CTCP Gỗ An Cường,Nguyên vật liệu,HOSE,150787946,False,False,False,False
19,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,50159019,False,False,False,False
20,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCoM,51000000,False,False,False,False
21,ACS,CTCP Xây lắp Thương mại 2,Tư liệu sản xuất,UPCoM,4000000,False,False,False,False
22,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải,UPCoM,2177173236,False,False,False,False
23,ADC,CTCP Mỹ thuật và Truyền thông,Truyền thông và giải trí,HNX,3977936,False,False,False,False
24,ADG,CTCP Clever Group,Truyền thông và giải trí,HOSE,21380521,False,False,False,False
25,ADP,CTCP Sơn Á Đông,Nguyên vật liệu,HOSE,23039850,False,False,False,False
26,ADS,CTCP Damsan,Hàng tiêu dùng và trang trí,HOSE,76394727,False,False,False,False
27,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,35000000,False,False,False,False
28,AG1,CTCP 28.1,Hàng tiêu dùng và trang trí,UPCoM,4863386,False,False,False,False
29,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,28109743,False,False,False,False
30,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển và quản lý bất động sản,HOSE,162528081,False,False,False,False
31,AGM,CTCP Xuất Nhập khẩu An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,18200000,False,False,False,False
32,AGP,CTCP Dược phẩm Agimexpharm,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,23143941,False,False,False,False
33,AGR,CTCP Chứng khoán Agribank,Dịch vụ tài chính,HOSE,215391309,False,False,False,False
34,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10800000,False,False,False,False
35,AIC,Tổng Công ty Cổ phần Bảo hiểm DBV,Bảo hiểm,UPCoM,100000000,False,False,False,False
36,AIG,CTCP Nguyên liệu Á Châu AIG,Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,170601298,False,False,False,False
37,ALT,CTCP Văn hóa Tân Bình,Nguyên vật liệu,HNX,6172523,False,False,False,False
38,ALV,CTCP Xây dựng ALVICO,Tư liệu sản xuất,UPCoM,5657936,False,False,False,False
39,AMC,CTCP Khoáng sản Á Châu,Nguyên vật liệu,HNX,2850000,False,False,False,False
40,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,Tư liệu sản xuất,UPCoM,163504874,False,False,False,False
41,AME,CTCP Alphanam E&C,Tư liệu sản xuất,HNX,65200000,False,False,False,False
42,AMP,CTCP Armephaco,Phân phối và bán lẻ hàng lâu bền,UPCoM,13000000,False,False,False,False
43,AMS,CTCP Cơ khí Xây dựng AMECC,Tư liệu sản xuất,UPCoM,60000000,False,False,False,False
44,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dịch vụ và thiết bị chăm sóc sức khỏe,HNX,131105650,False,False,False,False
45,ANT,CTCP Rau quả Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,18399823,False,False,False,False
46,ANV,CTCP Nam Việt,"Thực phẩm, đồ uống và thuốc lá",HOSE,266667500,False,False,False,False
47,APC,CTCP Chiếu xạ An Phú,Dịch vụ chuyên biệt và thương mại,UPCoM,20121395,False,False,False,False
