STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1,A32,CTCP 32,Hàng tiêu dùng và trang trí,UPCoM,6800000
2,AAA,CTCP Nhựa An Phát Xanh,Nguyên vật liệu,HOSE,382274496
3,AAH,CTCP Hợp Nhất,Năng lượng,UPCoM,117900000
4,AAM,CTCP Thủy sản MeKong,"Thực phẩm, đồ uống và thuốc lá",HOSE,12346411
5,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Hàng tiêu dùng và trang trí,HOSE,70819103
6,AAV,CTCP AAV Group,Phát triển và quản lý bất động sản,HNX,68987661
7,ABC,CTCP Truyền thông VMG,Dịch vụ viễn thông,UPCoM,20393000
8,ABR,CTCP Đầu tư Nhãn hiệu Việt,Dịch vụ viễn thông,HOSE,20000000
9,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE,80000000
10,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",HOSE,14387207
11,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Tư liệu sản xuất,HOSE,104999993
12,ACE,CTCP Bê tông Ly tâm An Giang,Nguyên vật liệu,UPCoM,3050781
13,ACG,CTCP Gỗ An Cường,Nguyên vật liệu,HOSE,150787946
14,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,50159019
15,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCoM,51000000
16,ACS,CTCP Xây lắp Thương mại 2,Tư liệu sản xuất,UPCoM,4000000
17,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải,UPCoM,2177173236
18,ADC,CTCP Mỹ thuật và Truyền thông,Truyền thông và giải trí,HNX,3977936
19,ADG,CTCP Clever Group,Truyền thông và giải trí,HOSE,21380521
20,ADP,CTCP Sơn Á Đông,Nguyên vật liệu,HOSE,23039850
21,ADS,CTCP Damsan,Hàng tiêu dùng và trang trí,HOSE,76394727
22,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,35000000
23,AG1,CTCP 28.1,Hàng tiêu dùng và trang trí,UPCoM,4863386
24,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,28109743
25,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển và quản lý bất động sản,HOSE,162528081
26,AGM,CTCP Xuất Nhập khẩu An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,18200000
27,AGP,CTCP Dược phẩm Agimexpharm,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,23143941
28,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10800000
29,AIG,CTCP Nguyên liệu Á Châu AIG,Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,170601298
30,ALT,CTCP Văn hóa Tân Bình,Nguyên vật liệu,HNX,6172523
31,ALV,CTCP Xây dựng ALVICO,Tư liệu sản xuất,UPCoM,5657936
32,AMC,CTCP Khoáng sản Á Châu,Nguyên vật liệu,HNX,2850000
33,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,Tư liệu sản xuất,UPCoM,163504874
34,AME,CTCP Alphanam E&C,Tư liệu sản xuất,HNX,65200000
